,NAME,LOCATION,COURSES,CONTACT NO.
0,Aarupadai Veedu Institute Of Technology," Paiyanoor, Mahalingapuram",Engineering Colleges,+914446294334_
1,Jaya Group of Institutions," Prakash Nagar, Thiruninravur",Engineering Colleges,
2,Madha Engineering College,"Madha Nagar ., Kundrathur",Engineering Colleges,
3,Aalim Muhammed Salegh College of Engineering,"Muthapudupet, Avadi",Engineering Colleges,
4,Apollo Priyadarshanam Institute of Technology,"Tambaram Kanchipuram Main Road, Oragadam, Chennai",Engineering Colleges,
5,Chennai School of Ship Management," Vandalur Kelambakkam Road, Vandalur",Engineering Colleges,
6,PB College of Engineering," Karambakkam, Porur",Engineering Colleges,
7,Vinayak Missions College of Management Studies,"Poonamallee High Road, Kilpauk",Engineering Colleges,
8,Balaji Institute of Engineering & Technology," Thiruporur, Thandalam",Engineering Colleges,
9,Chendu College of Engineering & Technology," Madurantakam, Kanchipuram",Engineering Colleges,
10,annai paramedical Institute,"Old Washermenpet, Chennai - 600021","MBBS Colleges, Medical Colleges",
11,Visayas Education," Jawarharlal Nehru Salai , Vadapalani, Chennai","MBBS Colleges, Medical Colleges",
12,College Zippy," Thiruvaleeswarar Nagar, Anna Nagar West, Chennai","MBBS Colleges, Medical Colleges",
13,Senses Education Academy," 1st Avenue, Ashok Nagar","MBBS Colleges, Medical Colleges",
14,UV Gullas College of Medicine,"lotus tower, Guindy, Chennai","MBBS Colleges, Medical Colleges",
15,Sri Venkateshwaraa Medical & Research Centre," Thirunagar, Vadapalani","MBBS Colleges, Medical Colleges",
16,Excel Educational Services,Also Servicing in Chennai,"MBBS Colleges, Medical Colleges",
17,Indian Institute For Medical Tech,"Venkatesh Nagar, Virugambakkam","MBBS Colleges, Medical Colleges",
18,Kilpauk Medical College,"Poonamallee High Road, Kilpauk","MBBS Colleges, Medical Colleges",
19,Sree Balaji Medical College & Hospitals,"C.L.C Works Road, Chromepet","MBBS Colleges, Medical Colleges",
20,Dr. M. G. R Educational &Research Institute University Department Of Hotel Management & Catering Technology,"Shanthi Colony 3rd Avenue, Anna Nagar",Hotel Management Degree Colleges,
21,Trident Institute of Hotels Management,"Perambur Barracks, Purasawalkam",Hotel Management Degree Colleges,
22,Metro School of Hotels Management," MMD Colony, Kilpauk",Hotel Management Degree Colleges,
23,Hotel Sri Annalakshmi,"Velachery Main Road, Gowrivakkam",Hotel Management Degree Colleges,
24,Indus Institute of Hospitality and Culinary Arts,", Chennai - 600032",Hotel Management Degree Colleges,
25,College Zippy," Thiruvaleeswarar Nagar, Anna Nagar West",Hotel Management Degree Colleges,
26,sa," chennai 600015, Saidapet",Hotel Management Degree Colleges,
27,Hotel Management," TAMILNADU, Sriperumbudur",Hotel Management Degree Colleges,
28,Sathyam International Institute of Hotel Management," SRIPERUMBUDUR, Sriperumbudur",Hotel Management Degree Colleges,
29,Jaya Institute of Hotel & Catering Management,"C.T.H. Road, Thiruninravur",Hotel Management Degree Colleges,
30,Amity Global Varsity Pvt. Ltd.," Cathedral Road, Gopalapuram, Chennai",MBA Colleges,+914449858949_
31,Versatile Business School," Marshall's Road , Egmore, Chennai",MBA Colleges,+914446291893_
32,AAM Business School," Josier Street, Nungambakkam, Chennai",MBA Colleges,+914449850487_
33,MFT Institute of Management & Technology," 100 Feet Road, Vadapalani, Chennai",MBA Colleges,
34,Jaro Education,"Roundtana 2nd Avenue, Anna Nagar, Chennai",MBA Colleges,
35,St. Britto's College," Officers Colony, Adambakkam",MBA Colleges,
