"",,,Nature,,
"",,Year,,,Courses offered
SL.No,Name and Address of the College,,of,Phone / Fax / E-Mail / Web,
"",,Estd.,,,with combination
"",,,Insttn.,,
"",,,,,"BSc - BT, C, Z; P.M.Cs; P,M,Elecs;"
"",,,,Ph.No. : 080 – 27828657/27828299,"MB, C, Z; Stat,M, Cs; Gen,C,Z;BC,"
"","A.M.C College,",,,,
"",,,,Fax: 080 – 27828657,"Gen, Z;"
1.,"18th Km. Bannerghatta Road,",1993,Pvt.,,
"",,,,E-mail : amcdegree@yahoo.co.in,"BCom, BBA, BCA,  BHM., MSc - BT"
"",Bangalore-83,,,,
"",,,,Web: www.amcgroup.edu.in,"; MB; BC; MCA,MCom,"
"",,,,,"MTA,&MBA"
"",,,,Ph.No. : 080 – 28441237,
"","AET College,",,,Fax: 080 – 25712061,
"",,,,,"BA – Tour, Geog, Eng;"
2.,"Doddakannelli Village,Carmelaram Post,",2004,Pvt.,Tele: +91 – 080-30965400,
"",,,,,"BSc- FAD;BCom,& BBA"
"",Bangalore -35.,,,E-mail : aetcollege@yahoo.com,
"",,,,Web: www.aetinstitution.com,
"",,,,Ph.No. : 080 - 22210802/22125007,
"",Abbas Khan College for Women,,,,"BA- H,E,Soc; H,E,Geog;H.Sc, E, Psy;"
"",,,Pvt.-,Fax: 080 – 22485061,
3.,"Durga Complex, OTC Road, Cubbon Pet,",1977,,,
"",,,Aided,E-mail : akcw1974@gmail.com,
"",,,,,"BSc - C, B, Z;C,B,H.Sc; P,M,Cs;"
"",Bangalore-560 002.,,,BCom  & BBA Web  : www.abbaskhancollegeforwomen.org,
"",,,,Ph.No. : 080 – 28439001-2,
"",Abhudaya degree College,,,Fax: 080 – 28440944,
"","#26/1, Chikkaballenadur Village, Caremlaram",,,E-mail : veehee1961@yahoo.com,"BA - J,Psy,Communicative English,"
4.,,2007,Pvt.,,
"","Road, P.O. Sarjapur Road,",,,Web :www.srikrishnagroupof,"BCA, BCom, & BBA"
"",Bangalore -35,,,institutions.edu.in,
"",,,,,
"",,,,Ph.No. : 080 – 28376430 / 31,
"",Acharya Institute of Management and,,,Fax: 91-080-28378268,
"",,,,,"BCom, BCA,  BBA,"
"",Science,,,E-mail: principal@acharyainstitutions.org/,
5.,,1994,Pvt.,,"MA- Eng;  MSW, MCA, MTA, MBA"
"","Ist Stage, Peenya Industrial Estate,",,,director@ acharyainstitutions.org,
"",,,,,&  MTA -INT
"",Bangalore-58,,,Web: www.acharyaiams.co.in,
"",,,,URL: www.acharyainstitutions.org,
"",,,Nature,,
"",,Year,,,Courses offered
SL.No,Name and Address of the College,,of,Phone / Fax / E-Mail / Web,
"",,Estd.,,,with combination
"",,,Insttn.,,
"",,,,,"BA- Psy, kg, E;E, Soc, Irs;J, Psy, Opt."
"",,,,,Eng;
"",,,,,"BSc- P,C,M; P,M,Eln; BSc FAD;"
"","Acharya Instiute Graduate Studies,",,,Ph.No : 080–28376430 / 28396011,"BCom, BBA,BCA, MA- Eng; MSc-"
"","No.80-90,Soladevanahalli, Chikkabanavara",,,Fax: 080 – 23700242 / 28375956,"Maths; M S Commn.,"
6.,,2005,Pvt.,,
"",pst,,,E-mail : principalaigs@acharya.ac.in,"MCom.,MIB., MBA & MFA PG Dip"
"",Bangalore -90,,,Web: www.acharya.ac.in,in-E-Commerce; IB; Insurance;
"",,,,,Enterp & Small Business
"",,,,,Management; Computer Based
"",,,,,Accounting
"",,,,,"BA- H, E, P;  H, E, Soc; H,E,Psy; H,"
"",,,,,"E, Opt.  Kan;  H, E, Opt.E; H, E,"
"",,,,Ph.No : 080 – 26672905/ 26603192,
"",Acharya Patashala College of Arts and Science,,,,"Music; Soc,Psy,E; Soc,Psy,P;Soc,"
"",,,Pvt.-,Fax: 080 - 26603192,"Psy, Music; Soc, Psy, Opt. K; Soc,"
7.,"N.R. colony,",1956,,,
"",,,Aided,E-mail : aps-a-science@sify.com,"Psy, Opt. E; Com, Psy, Mkg;"
"",Bangalore-19,,,,
"",,,,Web : www.apsartsandsciencecollege.org,"BSc-P,C,M; B,C,Z; B, Psy, Z; C,Z,Sc;"
