PHONE,COLLEGE NAME,STATE,DISTRICT,MAIL ID,PHONE
1,Challengers Academy of S.H.E,Orissa,Khordha,caoshe@gmail.com,8763538842
2,CHINMAYA TECHNICAL ACADEMY,Orissa,Sundargarh,chinmayaacademy@gmail.com,6612560164
3,INSTITUTE OF ENGINEERING & MANAGEMENT,West Bengal,Kolkata,admissions@iemcal.com,3323572969
4,APEX INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Haryana,Karnal,apexkarnal@gmail.com,9992500283
5,ASBM Institute of BBA,Orissa,Khordha,adminips@asbm.ac.in,6742374834
6,"Aastha Polytechnic,YamunaNagar",Haryana,Yamunanagar,aasthapolytechnic@gmail.c,1732340660
7,CHANDANA SCHOOL OF NURSING,Andhra Pradesh,Nalgonda,chandanasuryapet@yahoo.co,9848222109
8,CHANDANA BSC MLT COLLEGE,Andhra Pradesh,Nalgonda,chandanasuryapet@yahoo.co,9848224109
9,ACE College of Engineering & Management,Uttar Pradesh,Agra,acecollegeagra@gmail.com,5622390059
10,MAULANA AZAD NATIONAL INSTITUTE OF TEHCHNOLOGY,Madhya Pradesh,Bhopal,"academice@manit.ac.in , info@manit.ac.inacademic@manit.ac.in",7554051046
11,College of Engineering & Management,Punjab,Kapurthala,cemkapurthala@gmail.com,1822265170
12,Asansol Engineering College,West Bengal,Bardhaman,principal.aecwb@gmail.com,3412253057
13,"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY, BHUBANESWAR",Orissa,Khordha,offdean@iiit-bh.ac.in,6636008
14,Sri Sai Aditya Institute Of Science & Technology.,Andhra Pradesh,East Godavari,office@saiaditya.edu.in,9959176665
15,Maxim Institute of Technology,Madhya Pradesh,Bhopal,adi.edu@rediffmail.com,4226221
16,Ajmer Institute of  Technology,Rajasthan,Ajmer,ait_ajmer@rediffmail.com,8058642047
17,DHANESWAR RATH INST OF ENGG & MGMT STUDIES,Orissa,Cuttack,driemscuttack@rediffmail.,6712595061
18,MODINAGAR INSTITUTE OF TECHNOLOGY,Uttar Pradesh,Ghaziabad,director@miteducation.org,9760091605
19,Montfort Pvt. Industrial Training Institute,Goa,North Goa,montfortitigoa@gmail.com,2285524
