"",,LIST OF DEEMED UNIVERSITIES
S.No.,Name & Address,Contact
1.,"Rashtriya Sanskrit Vidyapeeth,",E-mail: rsvp_registrar@yahoo.co.in
"",Tirupati-517507 Andhra Pradesh,Tel: 0877- 2287680
"",www.sansknet.org,Fax: 0877- 2287680; 2287826
2.,Sri Sathya Sai Institute of Higher Learning,E-mail: registrar@sssu.edu.in
"","Prasanthinilayam,",Tel: 08555- 286191
"",Anantapur Dist.- 515134 Andhra Pradesh,Fax: 08555- 287239
"",www.sssu.edu.in,
3.,"International Institute of Information Technology,",E-mail: query@iiit.net
"","Gachibowli,",Tel: 040- 23001967
"",Hyderabad 500 019  Andhra Pradesh,Fax: 040- 23001413
"",www.iiit.ac.in,
4.,Gandhi Institute of Technology and Management E-mail: gitam@gitam.org ; gitam@gitam.edu,
"","(GITAM), Gandhi Nagar Campus, Rushikonda,",Tel: 0891-2790101; 2790202; 2790404; 2790505
"",Visakhapatnam-530045 Andhra Pradesh,Fax:  2790399; 2790037; 2790036
"",www.gitam.edu,
5.,North Eastern Regional Institute of Science and,E-mail: registrar@nerist.ernet.in
"","Technology, Nirjuli",Tel:0360-2245094; 2257584; 2245095
"",Itanagar – 791109 Arunachal Pradesh,Fax: 0360-2244307
"",www.nerist.ac.in,
6.,"Bihar Yoga Bharati,",E-mail: None
"","Ganga Darshan Fort, Munger,",Tel: 06344-222480
"",Bihar -811201,Fax: 06344-220169
7.,"Nava Nalanda Mahavihara,",E-mail: nnmdirector@sify.com
"",Nalanda- 803111  Bihar,Tel: 06112-281672; 281697; 281820
"",www.navanalanda.org,Fax: 06112-281907
8.,Punjab Engineering College,E-mail: registrar@pec.ac.in
"","Sector -12, Chandigarh 160012",Tel: 0172-2753700
"",www.pec.ac.in,Fax: 0172-2745175
9.,"Gujarat Vidyapith, PO Navjivan, Near Income",E-mail: registrar@gujaratvidyapith.org
"","Tax Office Ashram Road, Ahmedabad-38-014",Tel: 079-27541392
"",Gujarat,Fax: 079- 27542547
"",www.gujaratvidyapith.org,
10.,"Sumandeep Vidyapeeth,",E-mail: registrar@gujaratvidyapith.org
"","P.O. Piparia, Tal. Vaghodia,",Tel: 079-27541392
"","Dist. Vadodara, Gujarat",Fax: 079- 27542547
"",www.sumandeepuniversity.org,
11.,"National Dairy Research Institute,",E-mail: registrar.ndri@gmail.com
"",Karnal-132001 Haryana,Tel: 0184-2252800; 2259002
"",www.ndri.res.in,Fax: 0184- 22500042
12.,"National Brain Research Centre, Nainwal More,",E-mail: info@nbrc.ac.in
"","NH-8, Manesar-122 050 Gurgaon Haryana","Tel: 0124-2338920,22-26"
"",www.nbrc.ac.in,Fax: 0124- 22338910; 2338928
13.,"Maharishi Markandeshwar University,",E-mail: NA
"",Mullana-Ambala - 133203 Haryana,Tel: 01731-304100
"",www.mmetmullana.com,Fax: NA
14.,"Birla Institute of Technology,",E-mail:registrarbitmesra@rediffmail.com
"","Mesra, Ranchi-835215 Jharkhand",Tel: 0651-2276052
"",www.bitmesraranchi.org,Fax: 0651-2275401
"",,
15.,"Indian School of Mines,",E-mail: rg@ismdhanbad.ac.in
"",Dhanbad-826004 Jharkhand,Tel: 0326-2205403
"",www.ismdhanbad.ac.in,Fax:0326-2202380; 2203042
16.,"Indian Institute of Science,",E-mail: regr@admin.iisc.ernet.in
"",Bangalore-560012 Karnataka,Tel: 080-23600690
"",www.iisc.ernet.in,Fax: 080-23600936; 23600757
17.,"Manipal Academy of Higher Education,",E-mail: info@manipal.edu
"","Madhav Nagar, Manipal-576119",Tel: 08252-29222615
"",Karnatakawww.manipal.edu,Fax: 08252-2570062
