S.N,Name of College,Name of Principal,List of Permanently Affiliated,List of Yearly Affiliated Courses Intake Capacity,
o.,Type of Grant / Year of,,Courses,,
"",Establishment,,UG PG,UG PG UG,PG
1,[EMC69387] - Anjuman-I-Islams,Dr. Shaikh,1. Bachelor of,1. Bachelor of 1. M.Com 1. Bachelor of,1. M.Com
"",Akbar Peerbhoy College of,Mehmood Hasan,Commerce,Mass Media (Advance Mass Media,(Advance
"",Commerce & Economics,,(B.Com),(B.M.M) Accountancy) (B.M.M) - 60,Accountancy) -
"",,Phone No. : 22-,,2. B.M.S. 2. Ph.D. in 2. Bachelor of,60
"","Maulana Shaukatali Road, Near Two",23074122,,3. Bachelor of Commerce Commerce,2. M.Sc.
"",Tank,Mobile :,,"Science (B.Sc.) [Commerce ,] (B.Com) - 120",Information
"",Grant Road (East) - 400008,9820873063,,(Computer 3. M.Sc. 3. Bachelor of,Technology -
"",Tal : Mumbai City,,,Science) Information Science (B.Sc.),20
"",Dist : Mumbai City,,,4. Bachelor of Technology (Computer,3. Ph.D. in
"",,,,Science [Computer Science) - 60,Commerce - 8
"",(Year of Estb. - 1969-70),,,(Information programming & 4. Bachelor of,
"",Granted,,,Technology) system Science,
"",(College Type - COMMERCE),,,"(B.Sc.I.T) analysis,] (Information",
"",,,,Technology),
"",email : apcce_college@yahoo.com,,,(B.Sc.I.T) - 60,
"",,,,5. B.M.S. - 60,
2,[EMC84935] - B.E.S. Sant Gadge,Dr. Keshav,1. Bachelor of,1. B.M.S. 1. 1. Bachelor of,1.
"",Maharaj College of Commerce &,Yadavrao Shinde,Commerce,M.Com.(Busine Commerce,M.Com.(Busine
"",Economics,,(B.Com),ss (B.Com) - 120,ss
"",,Phone No. : 22-,,Management) 2. B.M.S. - 60,Management) -
"","12 th lane Khetwadi, Behind",23824204,,2. M.Com,60
"","Harkisandas Hospital,Opp.",Mobile :,,(Advance,2. M.Com
"","Bhausaheb Palkandwar Chowk,",9920489576,,Accountancy),(Advance
S.N,Name of College,Name of Principal,List of Permanently Affiliated,List of Yearly Affiliated Courses,Intake Capacity,,,
o.,Type of Grant / Year of,,Courses,,,,,
"",Establishment,UG,PG,UG,PG,UG,PG,
"",,,,,,,,
"",Girgon Mumbai - 400004,,,,,3. Ph.D. in,,Accountancy) -
"",Mumbai(East) - 400004,Commerce,60,,,,,
"",Tal : Mumbai City,"[Commerce ,]",3. Ph.D. in,,,,,
"",Dist : Mumbai City,,Commerce - 5,,,,,
"",,,,,,,,
"",(Year of Estb. - 1972-73),,,,,,,
"",Granted,,,,,,,
"",(College Type - COMMERCE),,,,,,,
"",,,,,,,,
"",email :,,,,,,,
"",sgmcollege.khetwadi@yahoo.co.in,,,,,,,
"",,,,,,,,
3,[EMC75928] - Bharatiya Vidya,Dr.(Smt.),1. Bachelor of,1. M.Sc.,1. Bachelor of,1. Master of,1. Bachelor of,1. Master of
Bhavans Hazarimal Somani College,M.J.Gupte,Science (B.Sc.),Organic,Arts (B.A.),Commerce,Arts (B.A.) - 240,Commerce,
"",,,,,,,,
of Arts & Science J.P. College of,,,Chemistry,2. Bachelor of,(M.Com),2. Bachelor of,(M.Com) - 60,
Commerce & Management Studies,Phone No. : 22-,,Commerce,2. Master of,Commerce,2. Master of,,
"",23691508,(B.Com),Science,(B.Com) - 360,Science,,,
K.M.Munshi Marg Chowpatty,Mobile :,3. Bachelor of,(M.Sc.) Degree,3. Bachelor of,(M.Sc.) Degree,,,
Grant Road (West) - 400007,9819128148,Commerce,Course,Commerce,Course - 10,,,
Tal : Mumbai City,,(Accounting and,[Inorganic,(Accounting and,,,,
Dist : Mumbai City,Finance),"Chemistry,]",Finance) - 60,,,,,
"",4. Bachelor of,3. M.Sc.,4. Bachelor of,,,,,
(Year of Estb. - 1965-66),Management,Chemistry,Management,,,,,
Granted,Studies (B.M.S),(Physical) By,Studies (B.M.S),,,,,
"(College Type - ARTS, COMMERCE",,Papers,- 60,,,,,
& SCIENCE),,4. M.Sc.,5. Bachelor of,,,,,
S.N,Name of College,Name of Principal List of Permanently Affiliated,,List of Yearly Affiliated Courses Intake Capacity,
o.,Type of Grant / Year of,Courses,,,
"",Establishment,UG,PG,UG PG UG,PG
"",,,,Chemistry Science (B.Sc.) -,
"",email :,,,(InOrganic) (By 240,
"",hazarimalsomani@rediffmail.com,,,papers),
"",,,,,
4,[EMC87423] - Bombay Physical,Dr. Rajendra 1. B.Ed,,1. Master of 1. B.Ed,1. Master of
"",Culture Association College of,Rangnath Dhakne (Physical,,Physical (Physical,Physical
"",Physical Education,Education),,Education Education),Education
"",,Phone No. : 22- (B.P.Ed.),,(M.P.Ed) (B.P.Ed.) - 1,(M.P.Ed) - 1
"","Bharatiya Krida Mandir, Naigaum",24168609,,2. Ph.D. (Arts),2. Ph.D. (Arts)
"","Cross Road,",Mobile :,,degree in the,degree in the
"",Wadala(East) - 400031,9821316213,,subject of,subject of
"",Tal : Mumbai City,,,Education,Education - 1
"",Dist : Mumbai City,,,,
"",(Year of Estb. - 1978-79),,,,
"",Granted,,,,
"",(College Type - PHYSICAL,,,,
"",EDUCATION),,,,
"",,,,,
"",email : bpcacpemumbai@gmail.com,,,,
"",,,,,
5,[EMC39274] - Bombay Teachers,Dr. (Mrs.) Mintu 1. Bachelor of,,1. Bachelor of,
"",Training College,Sinha Education,,Education,
"",,(B.Ed.) (Full,,(B.Ed.) (Full,
"","Mahakavi Bhushan Marg, Near Regal",Phone No. : 22- Time),,Time) - 50,
"","Cinema, Opp. Apollo Hotel, Colaba",22845856,,,
"",Colaba - 400039 Tal : Mumbai City,Mobile :,,,
S.N,Name of College,Name of Principal,List of Permanently Affiliated,List of Yearly Affiliated Courses,Intake Capacity,,,
o.,Type of Grant / Year of,,Courses,,,,,
"",Establishment,UG,PG,UG,PG,UG,PG,
"",,,,,,,,
"",Dist : Mumbai City,9820524455,,,,,,
"",,,,,,,,
"",(Year of Estb. - 1969-70),,,,,,,
"",Granted,,,,,,,
"",(College Type - EDUCATION),,,,,,,
"",,,,,,,,
"",email : bttcollege1969@gmail.com,,,,,,,
"",,,,,,,,
6,[EMC25483] - Burhani College of,DR. HAIDER-E-,1. Bachelor of,,1. Bachelor of,1.,1. Bachelor of,1.
