"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
AI Code,AI Name,State,Type/Category of Academic Institution (AI)
30080,"IIIT Nuzvid, Rajiv Gandhi University of Knowledge Technologies",Andhra Pradesh,"Autonomous Colleges affiliated toUniversity/Board"
30057,"State Board of Technical Education & Training, Andhra Pradesh",Andhra Pradesh,Board
11469,Assam Higher Secondary Education Council,Assam,Board
11470,Bihar School Examination Board,Bihar,Board
11472,Chhattisgarh Board of Secondary Education- Raipur,Chhatisgarh,Board
11513,"Chhattisgarh Sanskrit Board, Raipur",Chhatisgarh,Board
30010,"Chhattisgarh State Open School, Raipur",Chhatisgarh,Board
11519,Board of Technical Education,Delhi,Board
11463,CBSE,Delhi,Board
11464,National Institute of Open  Schooling,Delhi,Board
30007,State Council of Education Research and Training,Delhi,Board
11473,Goa Board of Secondary and Higher Secondary Education (GBSHSE),Goa,Board
30064,"Himachal Pradesh Takniki Shiksha board, Dharamshala",Himachal Pradesh,Board
11477,J & K State Board of School Education,Jammu and Kashmir,Board
30013,"Board of Technical Examination, Bengaluru",Karnataka,Board
11485,"M.P. State Open School Education Board, Bhopal",Madhya Pradesh,Board
11512,"Maharshi Patanjali Sanskrit Sansthan, Bhopal",Madhya Pradesh,Board
11486,"Board of Secondary Education, Manipur",Manipur,Board
11487,Council of HR Secondary Education Manipur,Manipur,Board
11488,Meghalaya Board of school education,Meghalaya,Board
11489,Mizoram Board of School Education,Mizoram,Board
30009,Mizoram state Council for technical Education,Mizoram,Board
11490,Nagaland Board Of School Education,Nagaland,Board
30118,The Punjab State Board of Technical Education and Industrial Training,Punjab,Board
30073,Board of Technical Education-Rajasthan,Rajasthan,Board
11496,"Directorate of Government Examination,Chennai",Tamilnadu,Board
30090,State Board Of Technical Education And Training Telangana,Telangana,Board
11499,Tripura Board of Secondary Education (TBSE),Tripura,Board
10708,"Board of Technical Education, Lucknow",Uttar Pradesh,Board
11500,U.P. Board of High School & Intermediate Education,Uttar Pradesh,Board
30094,"West Bengal State Council Of Technical & Vocational Education And SkillDevelopment",West Bengal,Board
30081,"IIIT Srikakulam, Rajiv Gandhi University of Knowledge Technologies",Andhra Pradesh,"Central Higher Education Institutions -CHEI"
10006,"Indian Institute of Science Education & Research (IISER), Tirupati",Andhra Pradesh,"Central Higher Education Institutions -CHEI"
10007,"Indian Institute of Technology, Tirupati",Andhra Pradesh,"Central Higher Education Institutions -CHEI"
10032,"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,"Central Higher Education Institutions -CHEI"
10039,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,"Central Higher Education Institutions -CHEI"
10045,"National Institute of Technology, Silchar",Assam,"Central Higher Education Institutions -CHEI"
10075,"All India Institute of Medical Sciences, Patna",Bihar,"Central Higher Education Institutions -CHEI"
11012,Indian Institute of Management Bodh Gaya,Bihar,"Central Higher Education Institutions -CHEI"
10079,"Indian Institute of Technology, Patna",Bihar,"Central Higher Education Institutions -CHEI"
10083,"National Institute of Technology, Patna",Bihar,"Central Higher Education Institutions -CHEI"
11347,"Indian Institute of Management, Raipur",Chhatisgarh,"Central Higher Education Institutions -CHEI"
10111,"National Institute of Technology, Raipur",Chhatisgarh,"Central Higher Education Institutions -CHEI"
11303,RITEE Business School,Chhatisgarh,"Central Higher Education Institutions -CHEI"
11353,"Indian Institute of Mass Communication, New Delhi",Delhi,"Central Higher Education Institutions -CHEI"
10125,National Institute of Technology Delhi,Delhi,"Central Higher Education Institutions -CHEI"
10116,"School of Planning & Architecture, New Delhi",Delhi,"Central Higher Education Institutions -CHEI"
10143,"National Institute of Technology, Goa",GOA,"Central Higher Education Institutions -CHEI"
30006,"National Institute of Pharmaceutical Education and Research (NIPER) -Ahmedabad",Gujarat,"Central Higher Education Institutions -CHEI"
30107,"Central Institute Of Plastics Engineering And Technology, Murthal",Haryana,"Central Higher Education Institutions -CHEI"
11374,"National Institute of Financial Management, Faridabad",Haryana,"Central Higher Education Institutions -CHEI"
10229,"National Institute of Technology, Kurukshetra",Haryana,"Central Higher Education Institutions -CHEI"
11007,Indian Institute of Management Sirmaur,Himachal Pradesh,"Central Higher Education Institutions -CHEI"
10277,"National Institute of Technology, Srinagar",Himachal Pradesh,"Central Higher Education Institutions -CHEI"
11382,"Indian Institute of Management, Ranchi",Jharkhand,"Central Higher Education Institutions -CHEI"
10281,"Indian School of Mines, Dhanbad",Jharkhand,"Central Higher Education Institutions -CHEI"
30022,National Institute of Foundry & Forge Technology,Jharkhand,"Central Higher Education Institutions -CHEI"
10297,"National Institute of Technology, Jamshedpur",Jharkhand,"Central Higher Education Institutions -CHEI"
10328,"National Institute of Technology, Karnataka",Karnataka,"Central Higher Education Institutions -CHEI"
30112,"Indian Institute of Handloom Technology, Kannur",Kerala,"Central Higher Education Institutions -CHEI"
11387,"Indian Institute of Management, Kozhikode",Kerala,"Central Higher Education Institutions -CHEI"
10364,"Indian Institute of Science Education & Research (IISER),Thiruvananthapuram",Kerala,"Central Higher Education Institutions -CHEI"
10373,"All India Institute of Medical Sciences, Bhopal",Madhya Pradesh,"Central Higher Education Institutions -CHEI"
11396,"Indian Institute of Management, Indore",Madhya Pradesh,"Central Higher Education Institutions -CHEI"
10400,"Indian Institute of Technology, Indore",Madhya Pradesh,"Central Higher Education Institutions -CHEI"
10388,School of Planning and Architecture-Bhopal,Madhya Pradesh,"Central Higher Education Institutions -CHEI"
30072,All India Institute of Local Self-Government - Mumbai,Maharashtra,"Central Higher Education Institutions -CHEI"
11403,"Film and Television Institute of India, Pune",Maharashtra,"Central Higher Education Institutions -CHEI"
30103,"Government Polytechnic, Nagpur",Maharashtra,"Central Higher Education Institutions -CHEI"
10454,"Indian Institute of Information Technology, Pune",Maharashtra,"Central Higher Education Institutions -CHEI"
10970,"Institute for Design of Electrical Measuring Instruments, Sion Mumbai",Maharashtra,"Central Higher Education Institutions -CHEI"
30001,National Institute of Industrial Engineering - NITIE,Maharashtra,"Central Higher Education Institutions -CHEI"
10470,"Indian Institute of Information Technology, Senapati",Manipur,"Central Higher Education Institutions -CHEI"
10469,National Institute of Technology Manipur,Manipur,"Central Higher Education Institutions -CHEI"
10473,National Institute of Technology Meghalaya,Meghalaya,"Central Higher Education Institutions -CHEI"
10482,National Institute of Technology Mizoram,Mizoram,"Central Higher Education Institutions -CHEI"
10484,"National Institute of Technology, Nagaland",Nagaland,"Central Higher Education Institutions -CHEI"
10512,National Institute of Technology Puducherry,Puducherry,"Central Higher Education Institutions -CHEI"
10539,"Indian Institute of Science Education & Research (IISER), Mohali",Punjab,"Central Higher Education Institutions -CHEI"
10591,"All India Institute of Medical Sciences, Jodhpur",Rajasthan,"Central Higher Education Institutions -CHEI"
10276,Digital Shiksha and Rojgar Vikas Sansthan,Rajasthan,"Central Higher Education Institutions -CHEI"
