"Sr.No.","District","Name of the College,Full Address with Pin Code","LocationRural ®Urban(U)","Year ofEstablish-ment","Type ofCollege forMen only(M)For Womenonly(W)Co-education(CE)","Coursesoffered inthe CollegeUp toBachelorDegree(UG)Up toMasterDegree(PG)Or above","Whetherrecognized by theUGCunderSection2(f)&12B",Course Conduced
1.,2.,3.,4.,5.,6.,7.,8.,9.
1,Pune,"Deccan Education Society’sFergusson College,(Arts, Science)Deccan, Pune – 411 004.Ph.No.020-25654212/25675960E.Mail: office@fergusson.edu(ID.NO.PU/PN/AS/02/1885)",U,1885,MW,"UG, PG",,"B.A., B.A-Music., B.Sc.,B.Sc.-Computer Science,B.Sc-Bio-technologyB.Sc-EnvironmentalScience,B.Sc- Microbiology,Vocational ElectronicEquipment maintenance,Vocational StillPhotography andAudiovisual,Vocational BiotechnolgyM.A-English, Marathi,Economics,Psychology,M.Sc- Org Chemistry,Analytical Chemistry,Bio-Chemistry,M.Sc.Tec.Ind.Maths,"
"",,,,,,,"Microbiology, Physics,"
"",,,,,,,"Petrolium Technology,"
"",,,,,,,"Electronics Science,"
"",,,,,,,"Environmental science,"
"",,,,,,,"Geology, Bio-tech,"
"",,,,,,,"Botany, Zoology"
"",,,,,,,M.Sc- Computer Science
"",,,,,,,"MCA-(Science),"
2,Pune,Shikshan Prasarak Mandal’s,U,1916,MW,"UG, PG","B.A., B.Com.,B.B.A.,"
"",,Sir Parashurambhau College,,,,,"B.Sc.-Computer Science,"
"",,"(Arts,Science and Commerce),",,,,,"MA.- Economics, Politics,"
"",,"Tilak Road, Pune-411030.",,,,,"Geography, Psychology,"
"",,"Ph. No. 020- 24331978,",,,,,"Philosophy, Logic"
"",,Fax No. 020-24332479,,,,,"M.A.M.Sc- Mathmatics,"
"",,(ID.NO.PU/PN/ASC/003/1916),,,,,"M.Sc-Computer Science,"
"",,,,,,,"M.Sc – Org Chemistry,"
"",,,,,,,"Inorganic Chemistry,"
"",,,,,,,"Geography. Geology,"
"",,,,,,,"M.Com.,"
3,Pune,Modern Education Society’s,U,1932,MW,"UG,PG","B.A.,"
"",,"Nowrosjee Wadia College,",,,,,"B.Sc.-Computer Science,"
"",,(Arts & Science),,,,,B.Sc - Bio-Technology
"",,"19, Late. Prin. V.K. Joag path",,,,,"B.Sc – Botany,"
"",,Pune – 411 001,,,,,"MA.-English, Economics,"
"",,Ph. No. 020-,,,,,Psychology
"",,26127024/26122944,,,,,"M.A.M.Sc-Geography,"
"",,(ID.NO.PU/PN/AS/005/1932),,,,,"M.Sc. Organic Chemistry,"
"",,,,,,,"Physical Chemistry,"
"",,,,,,,"Analytical Chemistry,"
"",,,,,,,"Polymer Science, Physics,"
"",,,,,,,"Petroliam Technology,"
"",,,,,,,"Geography, Geology,"
"",,,,,,,"Electronics, Zoology,"
"",,,,,,,Bio-Chemistry
"",,,,,,,M.Sc Tec & Ind
"",,,,,,,Mathematics with Computer
"",,,,,,,Application
"",,,,,,,"M.Sc-Computer Science,"
"",,,,,,,B.Lib.Sc
4,Pune,Deccan Education Society’s,U,1943,MW,"UG,PG","B.Com., B.B.A.,"
"",,Brihan Maharashtra College of,,,,,"B.C.A.,B.B.M.,"
"",,"Commerce,",,,,,B.Com-Computer
"",,"Deccan Gymkhana,",,,,,application-(Vocational
"",,Pune-411 004.,,,,,"Course), Tax  Procedure &"
"",,Ph.No.-020-25654943/,,,,,Practices-(Vocational
"",,25655348,,,,,"Course),"
"",,Web site:www.bmcc.ac.in,,,,,P.G. Diploma in- Banking
"",,(ID.NO:-PU/PN/C/010/1943),,,,,"Finance.,  P.G. Diploma in-"
"",,,,,,,"Internationl Business., P.G."
"",,,,,,,"Diploma in- Taxation.,"
"",,,,,,,"M.Com,"
5,Pune,Maharashtra Education Society’s,U,1945,MW,"UG,PG","B.A.,"
"",,"Abasaheb Garware College,",,,,,"B.Sc.- Computer Science,"
"",,(Arts & Science),,,,,B.Sc-Biotechnology
"",,"Karve Road ,Pune – 411 004",,,,,B.Sc.Electronic Science
"",,Ph.No.020-25440311/25440721,,,,,B.Lib.I.Sc
"",,Website:,,,,,"M.A.- Hindi, Economics,"
"",,www.abasahebgarwarecolleg.co,,,,,"Politics, History,"
"",,m,,,,,M.A/Mass communication
"",,(ID.NO:-PU/PN/AS/011/1945),,,,,& Journalism
"",,,,,,,"M.Sc.,- Organic Chemistry,"
"",,,,,,,"Analytical Chemistry,"
"",,,,,,,"Biotechnology, Botany,"
"",,,,,,,"Physics, Biodiversity,"
"",,,,,,,"Microbiology,"
"",,,,,,,M.Sc-Computer Science
"",,,,,,,P.G.Diploma in Foreign
"",,,,,,,Trade
6,Pune,Akhil Bhartiya Maratha,U,1960,MW,"UG,PG","B.A., B.Com., B.B.A,"
"",,Shikshan Parishad’s,,,,,B.C.A
"",,Shri. Shahu Mandir,,,,,"MA.- Economics, English,"
"",,Mahavidyalaya,,,,,"Marathi.,"
"",,(Arts &  Commerce),,,,,M.Com.
"",,Near Parvati Ramana,,,,,
"",,Pune – 411 009,,,,,
"",,Ph.No.020-24221424,,,,,
"",,www.shahucollegepune.ac.in,,,,,
"",,(ID.NO:-PU/PN/AC/014/1960),,,,,
7,Pune,Sadhu Vaswani Mission’s,U,1962,W,"UG,PG","B.A., B.Com., B.B.A,"
"",,St. Mira’s College for Girls,,,,,B.C.A
"",,"(Arts and Commerce),",,,,,"B.Sc-Computer Science.,"
"",,"6, Koregaon Park, Pune-411001.",,,,,"MA- Sociology, Economics"
"",,Ph.No. 26124846,,,,,M.A/Mass Communication
"",,Fax No. 020-26124846,,,,,"& Journalism, M.Com."
"",,Website : www.miracollege.org,,,,,P.G.Diploma in Banking &
"",,(ID.NO:-PU/PN/AC/015/1962),,,,,"Finance., Certificate Cource"
"",,,,,,,in E-Commerce
8,Pune,"Anekant Education Society’s,",R,1962,MW,"UG,PG","B.A., B.Com., B.B.A.,"
"",,Tuljaram Chaturchand College,,,,,"B.C.A., B.Sc- Computer"
"",,"(Arts, Science and Commerce),",,,,,"Science,B.Sc-Applied wine"
"",,Baramati-413102.,,,,,"Technology.,  MA.,English,"
"",,(Dist. Pune).,,,,,"Marathi, Hindi Economics,"
"",,"Ph.No. (02112) 222405, 222728",,,,,"Politics, History,"
"",,Fax No. 222728,,,,,"M.Sc.-Inorganic Chemistry,"
"",,(ID.NO:PU/PN/ASC/016/1962),,,,,"Organic Chemistry, Botany,"
"",,,,,,,"Physics,Zoology, Analytical"
"",,,,,,,"Chemistry.,"
"",,,,,,,"Microbiology, M.Com."
9,Pune,Rayat Shikshan Sanstha’s,R,1966,MW,"UG,PG","B.A., B.Com., B.C.A.,"
"",,"Annasaheb Awate Arts,",,,,,"B.Sc.,"
"",,Commerce & Hutatma Babu,,,,,B.Sc- Biotechnology
"",,Genu Science College.,,,,,"MA.-English, Marathi,"
"",,"Mancher-410503, (Dist.Pune)",,,,,"Hindi,"
"",,Ph.No. (02133) 223160/25721,,,,,M.Com.
"",,Fax No. 223160,,,,,
"",,www.rayatshikshan.edu,,,,,
"",,(ID.NO:PU/PN/ASC/017/1966),,,,,
"",,,,,,,
10,Pune,Maharashtra Education Society’s,U,1967,MW,"UG,PG","B.Com.,"
"",,"Garware College of Commerce,",,,,,"B.B.A., B.C.A., B.B.M"
"",,"Karve Road, Pune-411004.",,,,,M.Com.
"",,Ph.No.020- 25440605/25441629,,,,,
"",,E.Mail:,,,,,
"",,gcc_office@rediffmail.com,,,,,
"",,(ID.NO:PU/PN/C/018/1967),,,,,
"",,,,,,,
"",,,,,,,
11,Pune,Shirur Shiksha Prasarak,R,1968,MW,"UG,PG","B.A., B.Com., B.B.A.,"
"",,Mandal’s,,,,,"B.C.A., B.Sc.,"
"",,Shri Chandamal Tarachand Bora,,,,,"MA.-English, Marathi,"
"",,"Arts, Science and Commerce",,,,,"Hindi, Economics, History,"
"",,"College,",,,,,"M.Com. , M.C.A"
"",,Shirur (Ghodnadi)-422 210,,,,,B.Lib & I.Sc
"",,(Dist.Pune),,,,,M.Lib & I.Sc
"",,Ph.No. (02138) 222301/222498,,,,,
"",,Fax No. (02138) 224160,,,,,
"",,(ID.NO:PU/PN/ASC/019/1968),,,,,
12,Pune,Indrayani Vidya Prasarak,R,1968,MW,"UG,PG","B.A., B.Com., B.B.A.,"
"",,Mandal’s,,,,,"B.C.A., M.Com."
"",,Indrayani Mahavidyalaya,,,,,
"",,"(Arts and Com.),",,,,,
"",,"Near Railway Station,",,,,,
"",,Talegaon (Dabhade),,,,,
"",,Dist.Pune - 410507,,,,,
"",,Ph.No. (02114) 222225,,,,,
"",,Fax No. 02114- 222554,,,,,
"",,E-mail:,,,,,
"",,indrayanicollege@yahoo.co.in,,,,,
"",,(ID.NO:PU/PN/AC/020/1968),,,,,
