,NAME,LOCATION,COURSES,CONTACT NO.
0,Agra Public Institute of Technology & Computer Education," Artoni, Agra Road",Engineering Colleges,
1,SS Institute of Mangement Technology & Research,"MG Road, Dhanaula Kalan",Engineering Colleges,
2,Eshan College of Engineering,"Delhi-Agra Highway NH-2, Farah",Engineering Colleges,
3,SS Institute of Medical Sciences Management Technology & Research Agra,"MG Road, Agra",Engineering Colleges,
4,CAD CAM Expert,"Bye Pass Road, Nehru Nagar, Agra",Engineering Colleges,
5,Raja Balwant Singh Engineering Technical Campus,"Bharatpur Road, Midhakur",Engineering Colleges,
6,Neelam College of Engineering & Technology,"Sector 9, Sikandra",Engineering Colleges,
7,Dr.s singh sagar,"home visit in Agra anywhere in any location, Khandari, Agra","Job Training Centres, Digital marketing job training",
8,Hams Ocean Institute,"Sector 7, Sikandra","Corporate Training, Professional development training",
9,Hablemos Espanol,"Laxmi Nagar, Tajganj","Corporate Training, Language lab training",
10,Safeducate Learning Pvt. Ltd.," Agra-282002, Sanjay Place","Corporate Training, Professional development training",
11,Institute for Growth & Development,", Agra - 282010",Corporate Training,
12,Mahendra Institute," NH. No. 2, Agra","Corporate Training, Professional development training",
13,Iifca- Institute Of Finance & Computer,"Bhagwan Cinema Agra, Bypass Road","Corporate Training, Professional development training",
14,Newage Consultants,"Sanjay Place, Civil Lines","Corporate Training, Professional development training",
15,CMC Academy Agra," Sanjay Place, Mg Road","Corporate Training, People skills training",
16,Equity Explorer," Shahganj, Mahatma Gandhi Road","Corporate Training, Professional development training",
17,Arena Animation," Sanjay Place, Sanjay Place, Agra","Multimedia Design Training, Adobe training",+911140122064_
18,CAD CAM Experts Agra," Agra, Nehru Nagar","Multimedia Design Training, CAD & CAM training",
19,Arena Animation," Near Rawali Mandir, Chhipitola, Agra","Multimedia Design Training, Animation & Multimedia training",
20,ProCAD Solutions,", Agra - ","Multimedia Design Training, CAD & CAM training",
21,Animation,"Kalindi Vihar, Agra - 282006","Multimedia Design Training, Animation & Multimedia training",
22,Frame Boxx Animation & Visual Effects,"Agra H.O., Idgah Colony","Multimedia Design Training, Animation & Multimedia training",
23,MAAC - Maya Academy of Advanced Cinematics,"Agra H.O., Nehru Nagar, Agra","Multimedia Design Training, Adobe training",
24,Mittal Computer Education Industry," Awas Vikas Colony, Sikandra, Agra","Multimedia Design Training, CAD & CAM training",
25,Academic Dimension," Bodla Sikandra Road, Agra","AMIE Coaching, ENGG / ARCH entrance exam coaching",
26,Academy for Competitive Examinations,"North Vijay Nagar Colony, Wazir Pura","AMIE Coaching, ENGG / ARCH entrance exam coaching",
27,Aggarwal Bandhu Gyan Kendra,"Surya Nagar, Mg Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",
28,Nidesh Sharma Classes,"Dev Nagar, Khandari","AMIE Coaching, ENGG / ARCH entrance exam coaching",
29,Kota Tutorials,"Sanjay Place, Civil Lines","AMIE Coaching, ENGG / ARCH entrance exam coaching",
30,Horizon Classes," Panchkuiyan Road, Mg Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",
31,Nimcat Technologies,"Pashupati Colony, Khandari, Agra",Bank Exam Coaching,
32,Career Avenues," Bhagwan Cinema Crossing, Bypass Road",Bank Exam Coaching,
33,Daan 100 Expert,"Ahmedabad Road, Kehari",Bank Exam Coaching,
34,IMS Learning Resource Pvt. Ltd.," Hari Parvat, Civil Lines",Bank Exam Coaching,
35,Tutions and coaching clasess," agra, Sanjay Place",Bank Exam Coaching,
36,NIFM," Police Chowkie, Sanjay Place, Agra",Bank Exam Coaching,
