,NAME,LOCATION,COURSES,CONTACT NO.
0,The Icfai University,Also Servicing in Amritsar,Engineering Colleges,+911141108603_
1,Apeejay Institute Of Management & Engineering Technical Campus,Also Servicing in Amritsar,Engineering Colleges,+911140168516_
2,Institute of Aeronautics & Engineering,Also Servicing in Amritsar,Engineering Colleges,+918099937201_
3,Beant College of Engineering & Technology,"Pathankot Road, Amritsar",Engineering Colleges,
4,Student,", Amritsar - 143001",Engineering Colleges,
5,Arignar Anna Institute of Science & Technology," Valasaravakkam, Amritsar, Amritsar",Engineering Colleges,
6,University Institute of Engineering & Technology," Sector 25, Ranjit Avenue",Engineering Colleges,
7,Central Institute of Plastics Engineering & Technology,"Rayon & Silk Mills Road, Amritsar",Engineering Colleges,
8,Baba Kumma Singh Ji Engineering College,"Attari Road, Hoshiar Nagar",Engineering Colleges,
9,Khalsa College of Engineering & Technology,"Ranjit Avenue, Amritsar",Engineering Colleges,
10,Target9 Educational Solutions,Also Servicing in Amritsar,"Entrance Exam Coaching, Foreign education entrance exam coaching",+911140117002_
11,Success Mantra,Also Servicing in Amritsar,"Entrance Exam Coaching, Law entrance exam coaching",+911140130921_
12,CTS ACADEMY,Also Servicing in Amritsar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140130928_
13,Vikramaditya Academy,Also Servicing in Amritsar,"Entrance Exam Coaching, School entrance exam coaching",+911140497196_
14,Shiv Ansh Art Coaching Academy,Also Servicing in Amritsar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140166526_
15,Institute Of International Education,Also Servicing in Amritsar,"Entrance Exam Coaching, Foreign education entrance exam coaching",+911140119439_
16,QRIO Studio,Also Servicing in Amritsar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
17,Krishna Study Academy,Also Servicing in Amritsar,"Entrance Exam Coaching, Law entrance exam coaching",+911140166742_
18,The Creative Compass,Also Servicing in Amritsar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917569862799_
19,Study Smart,Also Servicing in Amritsar,"Entrance Exam Coaching, Foreign education entrance exam coaching",
20,Dayitwa Consultancy Services Pvt. Ltd.,Also Servicing in Amritsar,"Job Training Centres, Engineering and technician job training",+911140116530_
21,VLCC Health Care Ltd,"B BLOCK MARKET, Ranjit Avenue","Job Training Centres, Beauty and spa job training",
22,NFCI Educations Pvt. Ltd.," India, Green Avenue, Amritsar","Job Training Centres, Cooking & baking classes",
23,International Maritime Consultancy Services,Also Servicing in Amritsar,"Job Training Centres, Engineering and technician job training",+917569005112_
24,Jaya Agarwal,Also Servicing in Amritsar,"Job Training Centres, Arts & media job training",+917949075036_
25,Academy of Aviation & Engineering,Also Servicing in Amritsar,"Job Training Centres, Engineering and technician job training",+918048102214_
26,D R Reddys Foundation,"punjab, Amritsar Bus Stand Road, Amritsar","Job Training Centres, HR & Administration job training",
27,"Adventure Flight Education Pvt. Ltd.,",Also Servicing in Amritsar,"Job Training Centres, Aviation job training",+917569001435_
28,Chinook Canada Immigration Services,Also Servicing in Amritsar,"Job Training Centres, Arts & media job training",+911140116440_
29,Fashionbox institute of design,Also Servicing in Amritsar,"Job Training Centres, Fashion and apparel design training",+917949074567_
30,Red Leaf Immigration Pvt. Ltd.,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+911140127025_
31,Rex Fuels Management Pvt. Ltd.,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+912249428142_
32,REX GBE SERVICES [ LA SIERRA UNIVERSITY ],Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+912249411354_
33,Valedra Private Limited,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+911140169919_
34,GGS Enterprises,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+911140164945_
35,ELON CONSULTING SERVICE (OPC) PRIVATE LIMITED,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+911140169517_
36,Go Abroad Consultants,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+911140136068_
37,VAC Global Education,Also Servicing in Amritsar,"Overseas Education Consultants, Overseas education",+911140142433_
38,Canam Consultants Ltd.,"B Block, Ranjit Avenue","Overseas Education Consultants, Overseas education",
39,Pacasia Study Abroad,"G.T.Road, Putligarh","Overseas Education Consultants, Overseas education",
40,Veron Institute," Rani Ka Bagh, Rani Ka Bagh, Amritsar","Corporate Training, Professional development training",
41,Chinook Canada Immigration Services,Also Servicing in Amritsar,"Corporate Training, People skills training",+911140116440_
42,Kapri Institute of English Speaking," Lawrence Road, Dayanand Nagar","Corporate Training, People skills training",
43,K-Tech Institute," GT Road, Putligarh, Amritsar","Corporate Training, People skills training",
44,Calibre Tree,"GT Road, Kabir Park Colony","Corporate Training, People skills training",
45,Jetking Infotrain Ltd.,Also Servicing in Amritsar,Corporate Training,+912249433632_
46,Aptech Computer Education," 1st Floor, Kangra Colony","Corporate Training, People skills training",
47,Vibgyor Education," Ram Tirath Road, Rani Ka Bagh, Amritsar","Corporate Training, Language lab training",
48,Dashmesh Academy,"22 no Phatak road opp Khalsa college women, Amritsar Cantonment, Amritsar","Corporate Training, People skills training",
49,Veron-Visit To Hit Bulls Eye," Kchehri Chowk, Rani Ka Bagh, Amritsar","Corporate Training, Professional development training",
50,OXL School of Acting and Multimedia Amritsar," Distt shopping Complex, Ranjit Avenue, Amritsar","Multimedia Design Training, CAD & CAM training",
51,Computer Success," Chawttiwind Gate, Fatehgarh Churian Road, Amritsar","Multimedia Design Training, Adobe training",
52,Pixel Arts,"Tunda Talab, Shakti Nagar","Multimedia Design Training, Animation & Multimedia training",
53,OXL School of Acting & Multimedia," Complex B-Block, Ranjit Avenue, Amritsar","Multimedia Design Training, CAD & CAM training",
54,i Technologies,"Katra Ahluwalia, Amritsar - 143001","Multimedia Design Training, Animation & Multimedia training",
55,Brilliko Institute Of Multimedia,Also Servicing in Amritsar,"Multimedia Design Training, Adobe training",+911140127494_
56,Jetking Infotrain Ltd.,Also Servicing in Amritsar,"Multimedia Design Training, CAD & CAM training",+912249433632_
57,SXILL,Also Servicing in Amritsar,"Multimedia Design Training, Adobe training",
58,I Technologies,Also Servicing in Amritsar,"Multimedia Design Training, Adobe training",
59,Pegasus Institute," kot Khalsa Road , Kabir Park Colony, Amritsar","Multimedia Design Training, CAD & CAM training",
60,CTS ACADEMY,Also Servicing in Amritsar,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140130928_
61,QRIO Studio,Also Servicing in Amritsar,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
62,The Gate Academy,Also Servicing in Amritsar,"AMIE Coaching, Law entrance exam coaching",+914449919914_
63,Synergy IAS Academy,Also Servicing in Amritsar,"AMIE Coaching, Law entrance exam coaching",
64,Modulation Institute,Also Servicing in Amritsar,"AMIE Coaching, ENGG / ARCH entrance exam coaching",
65,Innovative Techno Institute,Also Servicing in Amritsar,"AMIE Coaching, Management entrance exam coaching",
66,vidhan public school,Also Servicing in Amritsar,"AMIE Coaching, ENGG / ARCH entrance exam coaching",
67,Uppal Associate,"G.T. Road, Sant Nagar","AMIE Coaching, Management entrance exam coaching",
68,Sukhoi Academy,Also Servicing in Amritsar,"AMIE Coaching, Law entrance exam coaching",+911140128241_
69,Amritsar Home Tuitions,"Bazar Lachmansar , 100 Feet Road, Amritsar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
70,PBI Institute," Second floor, Kabir Park Colony, Amritsar",Bank Exam Coaching,+917569123880_
71,Sushankaram,Also Servicing in Amritsar,Bank Exam Coaching,+919021119461_
72,Shiva Institute," 100 Feet Road, Azad Nagar",Bank Exam Coaching,
73,K-Tech Institute," GT Road, Putligarh, Amritsar",Bank Exam Coaching,
74,Calibre Tree,"GT Road, Kabir Park Colony",Bank Exam Coaching,
75,Ed. Sacred Institute,"opp. POST MORTEM, Majitha Road, Amritsar",Bank Exam Coaching,
76,Mahendra Educational Pvt. Ltd.,"GT Road, City Centre",Bank Exam Coaching,
77,Synergy IAS Academy,Also Servicing in Amritsar,Bank Exam Coaching,
78,Innovative Techno Institute,Also Servicing in Amritsar,Bank Exam Coaching,
79,Innovative Techno Institute,Also Servicing in Amritsar,Bank Exam Coaching,
80,IMS Learning Resources Pvt. Ltd.,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
81,AptitudeMate,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",+911140120301_
82,Guru's Classes,Also Servicing in Amritsar,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
83,The Prayas India,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",+912249433642_
84,BDS Research,"Near Spring Dale Senior School, Fatehgarh Churian Road, Amritsar","CAT Coaching Centers, Management entrance exam coaching",
85,The Gate Academy,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",+914449919914_
86,Synergy IAS Academy,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",
87,IMS LALKOTHI,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",+918657608031_
88,Lpro Academy LLP,Also Servicing in Amritsar,"CAT Coaching Centers, Management entrance exam coaching",
89,Career Launcher,Also Servicing in Amritsar,"CAT Coaching Centers, Law entrance exam coaching",+911140116431_
90,IMS Learning Resources Pvt. Ltd.,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
91,AptitudeMate,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140120301_
92,Guru's Classes,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
93,The Prayas India,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433642_
94,K-Tech Institute," GT Road, Putligarh, Amritsar","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
95,The Gate Academy,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+914449919914_
96,Synergy IAS Academy,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
97,IMS LALKOTHI,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+918657608031_
98,MILESTONE INSTITUTE," Lawrence Road, Dayanand Nagar","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
99,Nimbus Catalyst,Also Servicing in Amritsar,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140128318_
100,PBI Institute," Second floor, Kabir Park Colony, Amritsar","CTET Coaching, UPSC exam coaching",+917569123880_
101,K-Tech Institute," GT Road, Putligarh, Amritsar","CTET Coaching, UPSC exam coaching",
102,EDUCRAFTERS for IAS PCS UGC AfCAT SSC GOVT EXAM,"First floor opposite Khalsa College public school g.t road, Kabir Park Colony","CTET Coaching, UPSC exam coaching",
103,The Gate Academy,Also Servicing in Amritsar,"CTET Coaching, UGC NET coaching",+914449919914_
104,Synergy IAS Academy,Also Servicing in Amritsar,"CTET Coaching, UPSC exam coaching",
105,IBT Institute," Amritsar Cantonment, Rani Ka Bagh, Amritsar","CTET Coaching, UGC NET coaching",
106,MILESTONE INSTITUTE," Lawrence Road, Dayanand Nagar","CTET Coaching, UGC NET coaching",
107,Ek Onkar IAS Pinnacle," amritsar, White Avenue","CTET Coaching, UGC NET coaching",
108,Gyanm Education & Training Institute Pvt. Ltd.,Also Servicing in Amritsar,"CTET Coaching, UGC NET coaching",+917569322629_
109,Educrafter,"F-7/314, Kashmir Avenue, Amritsar","CTET Coaching, UGC NET coaching",
110,PBI Institute," Second floor, Kabir Park Colony, Amritsar","IBPS Bank Interview Coaching, Bank exam coaching",+917569123880_
111,Shiva Institute," 100 Feet Road, Azad Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
112,K-Tech Institute," GT Road, Putligarh, Amritsar","IBPS Bank Interview Coaching, Bank exam coaching",
113,Calibre Tree,"GT Road, Kabir Park Colony","IBPS Bank Interview Coaching, Bank exam coaching",
114,Ed. Sacred Institute,"opp. POST MORTEM, Majitha Road, Amritsar","IBPS Bank Interview Coaching, Bank exam coaching",
