,NAME,LOCATION,COURSES,CONTACT NO.
0,Narayana IIT PMT Academy,"Manjeet Nagar, Jalna Road",Engineering Colleges,
1,PES College of Engineering,"Nagsenvana, Kotwalpura",Engineering Colleges,
2,Arignar Anna Institute of Science & Technology,"Aurangabad H.O., Aurangabad - 431001",Engineering Colleges,
3,Savitribai Phule Womens Engineering College,"Sharnapur, Waluj",Engineering Colleges,
4,Central Institute of Plastics Engineering & Technology,"MIDC Industrial Area, Chikalthana",Engineering Colleges,
5,Sai Institute of Engineering & Technology," Chowka Bilda, Ajanta Road",Engineering Colleges,
6,Sityog Institute of Technology,"Aurangabad, Aurangabad - 431001",Engineering Colleges,
7,VLCC Health Care Ltd," KALDA CORNER, Aurangabad City","Job Training Centres, Beauty and spa job training",+912249430605_
8,Digital Sandeep," Aurangpura, Aurangabad City, Aurangabad","Job Training Centres, Digital marketing job training",+912249429140_
9,Arzoo Education Consultants," Lower Ground Floor, Garkheda, Aurangabad","Overseas Education Consultants, Overseas education",+912249429118_
10,Complete Services Solutions,"Plot No. 6, Jalna Road","Corporate Training, People skills training",
11,4C Training,"Usmanpura Main Road, Usmanpura","Corporate Training, Call centre & BPO training",
12,English Vinglish,"Trimurti Chowk, Ulkanagari, Aurangabad","Corporate Training, Language lab training",
13,Golden Light Training,"Paithan Road , Anand Nagar","Corporate Training, Language lab training",
14,Ingenious Academy,"Eknath Rangmandir Road, Osmanpura","Corporate Training, Language lab training",
15,Absolute Mathematics,"Sindhi Colony, Aurangabad - 431001","Corporate Training, Professional development training",
16,OFFYX CONSULTOS INDIA PVT LTD,"Shop no 205 eldora 2nd floor golden city center , Aurangabad (MH), Aurangabad","Corporate Training, Professional development training",+912249434439_
17,Team Work,"Aurangabad (MH), Aurangabad - 431005",Corporate Training,
18,Nayan Kulkarni Spoken English Classes," Darga Road, Osmanpura","Corporate Training, People skills training",
19,Dolphin Corporate Training solutions,"Vijay Nagar, Jalna Road","Corporate Training, Language lab training",
20,Om Kreations,"jyotinagar, Usmanpura, Aurangabad","Multimedia Design Training, Adobe training",
21,Horizon Multi Services,"Rana Nagar, Jalna Road","Multimedia Design Training, CAD & CAM training",
22,Xplora Design Skool Marathwada - 1st ISO Certified Multimedia Co.," Deepnagar, Jalna Road, Aurangabad","Multimedia Design Training, Adobe training",
23,Frame 24 Animation & Visual Effect,"Jalna Road, Vidya Nagar, Aurangabad","Multimedia Design Training, Animation & Multimedia training",
24,MAAC - Maya Academy of Advanced Cinematics," Chetan trade center, Jalna Road, Aurangabad","Multimedia Design Training, Adobe training",
25,ARY Studios," CBS Road, Samarth Nagar","Multimedia Design Training, Animation & Multimedia training",
26,CADD Centre," Opp Badi masjid , Osmanpura, Aurangabad","Multimedia Design Training, CAD & CAM training",
27,Brain Guru Education Pvt. Ltd.," Seven Hills, Jalna Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",
28,Hallmark Group of Educational Institutes," N- 13, Hudco, Aurangabad","AMIE Coaching, Management entrance exam coaching",
29,OCF,"N 7, CIDCO, Aurangabad","AMIE Coaching, Law entrance exam coaching",
30,Bakliwal Tutorials," Adalat Road, Gangapur, Aurangabad","AMIE Coaching, ENGG / ARCH entrance exam coaching",
31,National School of Banking," Gajanan Maharaj Mandir Road, Garkheda, Aurangabad",Bank Exam Coaching,
32,Aditya Carrier Academy," Trimurthy Chowk, Garkheda, Aurangabad",Bank Exam Coaching,
33,Sankalp Education,"Choudary Chambers, Paithan, Aurangabad",Bank Exam Coaching,
34,Nawle Online Study Guide (OPC) Pvt. Ltd.," Karkin, Paithan, Aurangabad",Bank Exam Coaching,
35,Aadarsha Paripurti Coaching Classes,"Aurangpura, Aurangabad - 431001",Bank Exam Coaching,
