,NAME,LOCATION,COURSES,CONTACT NO.
0,Academy of Aviation & Engineering," NH-7, Yelahanka",Engineering Colleges,+917306941475_
1,Sri Krishna Institute of Technology," Chimney Hills, Chikkabanavara",Engineering Colleges,
2,M.S. Ramaiah College of Education,"MSR College Road, Mathikere",Engineering Colleges,
3,Rajarajeswari College of Engineering,"Mysore Road, Kumbalgodu",Engineering Colleges,
4,Innovative Solutions," Yellar Bonda, RT Nagar, Bangalore",Engineering Colleges,
5,Magnum Educational Solutions,"Yeshwanthpur , Yeshwanthpur, Bangalore",Engineering Colleges,
6,RR Institute of Technology," Raja Reddy Layout, Chikkabanavara, Bangalore",Engineering Colleges,
7,M.S. Engineering College," Navarathna Agrahara, Sadahalli",Engineering Colleges,
8,Brindavan College of Engineering," Bagalur Main Road, Yelahanka",Engineering Colleges,
9,Basava Academy of Engineering,"Gangondanahalli Main Road, Nagasandra",Engineering Colleges,
10,Canter CADD," BSK 1st Stage, Srinagar, Bangalore","MBBS Colleges, Medical Colleges",+919021118285_
11,Magnum Educational Solutions,"Yeshwanthpur , Yeshwanthpur, Bangalore","MBBS Colleges, Medical Colleges",
12,Bhaskar Medical College,"MC Layout, Bapuji Nagar","MBBS Colleges, Medical Colleges",
13,Nexgen Tech Solutions," Sarjapur Road, Kasavanahalli, Bangalore","MBBS Colleges, Medical Colleges",
14,angalore tops college,"J.C. Road, Sudhama Nagar","MBBS Colleges, Medical Colleges",
15,Eduking,"Whitefield, Bangalore - 440022","MBBS Colleges, Medical Colleges",
16,Shiksha Sewa," MS Ramaiah Nagar, Mathikere","MBBS Colleges, Medical Colleges",
17,Eduking,Also Servicing in Bangalore,"MBBS Colleges, Medical Colleges",
18,Direct Admission Engineering College,"Vijaya Nagar, Vijayanagar","MBBS Colleges, Medical Colleges",
19,Make India Grow,"Cambridge Layout, Jogupalya","MBBS Colleges, Medical Colleges",
20,Presidency College of Hotel Management," Old Airport Road, Domlur",Hotel Management Degree Colleges,
21,Army Institute of Hotel Management & Catering Technology," Nagareshwara, Kothanur",Hotel Management Degree Colleges,
22,Ganesh Bakery,"FCI Main Road, Krishnarajapura",Hotel Management Degree Colleges,
23,Ayappa Bakery,"Cholanagar Rd Ananda Nagar Balaji Layout, RT Nagar",Hotel Management Degree Colleges,
24,Hotel,"MS Palya, Bangalore - 560097",Hotel Management Degree Colleges,
25,Hotal,"Rajaji Nagar, Bangalore - 560079",Hotel Management Degree Colleges,
26,Magnum Educational Solutions,"Yeshwanthpur , Yeshwanthpur",Hotel Management Degree Colleges,
27,International food fiesta,"Museum Road, Ashok Nagar",Hotel Management Degree Colleges,
28,Chennais Amirta,"Jayanagar Behind Planet Fashion Bangalore, Jayanagar",Hotel Management Degree Colleges,
29,College Portal Educational consultants,"hosur, Jayanagar",Hotel Management Degree Colleges,
30,National School Of Business," Anekal Taluk, Electronic City, bangalore",MBA Colleges,+918048052915_
31,ISC - Indian School Of Commerce," 11th Main Road , Vasanth Nagar",MBA Colleges,+918048101160_
32,Systems Domain Marathalli," Main Road, Marathahalli, Bangalore",MBA Colleges,+919883037490_
33,IBMR International Business School," 80 Feet Road, Koramangala, Bangalore",MBA Colleges,+918048031357_
34,Gitam University Centre for Distance Learning," 2nd Floor, Malleshwaram, Bangalore",MBA Colleges,+918048104638_
35,IBSW Education Pvt. Ltd.," Kothanoor, Narayanapura",MBA Colleges,+918048091860_
36,HKBK Degree College,"No. 222/1, Nagavara",MBA Colleges,+918048031061_
37,Rajarajeswari College of Engineering,"Mysore Road, Kumbalgodu",MBA Colleges,
38,Maharani Lakshmi Ammanni College for Women,"18th Cross, Malleswaram",MBA Colleges,
39,Innovative Solutions," Yellar Bonda, RT Nagar, Bangalore",MBA Colleges,
40,Canter CADD," BSK 1st Stage, Srinagar, Bangalore",Pharmacy Colleges,+919021118285_
41,Krupanidhi College," Varthur Hobli, Varthur",Pharmacy Colleges,
42,Giri Medicals," K P Agrahara, Cottonpet",Pharmacy Colleges,
43,Krupanidhi Group of Education,"Sarjapur Road, Carmelaram",Pharmacy Colleges,
44,Krupanidhi College,"Koramangala 1st Block, Koramangala",Pharmacy Colleges,
45,St. Xavier's," Anekal Thaluk, Chandapura, Bangalore",Pharmacy Colleges,
46,BANGALORE COLLEGE OF PHARMACY,"Kodigehalli Main Road, Chikkakannalli",Pharmacy Colleges,
47,Admission Mentor," dodda banaswadi, Dodda Banaswadi",Pharmacy Colleges,
48,UNIVERSITIES ALLIANCE,"Gandhi Nagar, Bangalore - 560009",Pharmacy Colleges,
