,NAME,LOCATION,COURSES,CONTACT NO.
0,Bansal Institute of Science & Technology,"Anand Nagar Kokta, Shastri Nagar",Engineering Colleges,
1,Millennium Group of Institutions,"Nayapura, Lalghati",Engineering Colleges,
2,Sagar Institute of Reseatch & Technology,"Ayodhya Bypass Road, Ayodhya Bypass",Engineering Colleges,
3,Bansal Institute of Research & Technology,"Anand Nagar, Anand Nagar",Engineering Colleges,
4,Malhotra Academy of Management,"Shankar Nagar, Shivaji Nagar",Engineering Colleges,
5,Ojaswini Institute of Management & Technology," Sagar Road, Bhopal",Engineering Colleges,
6,Patel Group of Institutions,"Bhadbada Road, Ratibad",Engineering Colleges,
7,Acropolis Institute of Technology & Research,"Tehsil Huzoor, Ratibad",Engineering Colleges,
8,AISECT Institute of Science & Technology,"Chiklod Road, Chouraha Bairiya Road",Engineering Colleges,
9,LAW PREP Tutorial," modi complex opp honda showroom mp nagar zone 2, M.P. Nagar","Entrance Exam Coaching, Law entrance exam coaching",+911140132369_
10,Sarjana Academy For Design & Fine Arts," Bhojpur Club, Arera Colony, Bhopal","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140131059_
11,Design Dreamers," Mp Nagar Zone-2, Maharana Pratap Nagar, Bhopal","Entrance Exam Coaching, Design entrance exam coaching",+911140117940_
12,World Wide Education," Zone 2, M.P. Nagar, Bhopal","Entrance Exam Coaching, Management entrance exam coaching",+919021118303_
13,Shikshalaya Teacher`s Training Institute,"M.p.nagar, M.P. Nagar, Bhopal","Job Training Centres, Teacher job training",+917569008817_
14,Lydzen International Pvt. Ltd.," Zone-1, M.P. Nagar, Bhopal","Job Training Centres, Digital marketing job training",+911140167998_
15,World Wide Education," Zone 2, M.P. Nagar, Bhopal","Overseas Education Consultants, Overseas education",+919021118303_
16,MBBS Study Abroad Consultancy," Gokuldham Society, Gautam Nagar, Bhopal","Overseas Education Consultants, Overseas education",+911140122025_
17,CraftPPL Combine,"Lg 005, Chuna Bhatti, Bhopal","Overseas Education Consultants, Overseas education",+911140169115_
18,AN & P Enterprises,"Lake Pearl Garden , Air Port, Bhopal","Corporate Training, People skills training",
19,Excellence Institute,"Zone 2, M.P. Nagar","Corporate Training, Language lab training",
20,ACE Training & Consultancy,"Danish Kunj, Kolar","Corporate Training, People skills training",
21,Technology Horizons India Pvt. Ltd.,"Zone 1, M.P. Nagar, Bhopal","Corporate Training, Professional development training",
22,Inscribe to Change,"No. 10/E-3, Arera Colony, Bhopal","Corporate Training, People skills training",
23,Ashcom Consultant,"No. 308, Shakti Nagar","Corporate Training, Professional development training",
24,High Tech Computer Institute & Internet Cafe,"No. 102, Naveen Nagar","Corporate Training, Professional development training",
25,Parle Agency,"Vlage and post bakthara, Khamkheda","Corporate Training, People skills training",
26,Beyond Horizon," Hoshangabad Road Bag Mungalia Opposite Ashima Mall Bhopal 462026, Bag Mungalia","Corporate Training, People skills training",
27,Tonar Technical Training," BHEL, ","Corporate Training, Language lab training",
28,Arya Animation Academy & Studio," mp nagar, M.P. Nagar, bhopal","Multimedia Design Training, Adobe training",+911140168878_
29,Icon Computer Institute,"Aish Bagh, Bhopal - 462010","Multimedia Design Training, CAD & CAM training",
30,SoftCAD Automation & Training LLP,"Chepak Bridge, Kasturba Nagar","Multimedia Design Training, CAD & CAM training",
31,The Immersive Project,"Ahmedabad Palace Road, Kohefiza, Bhopal","Multimedia Design Training, CAD & CAM training",
32,Digital Bandhu," Zone II, M.P. Nagar, Bhopal","Multimedia Design Training, Adobe training",
33,mCreative,"Arera colony Bhopal , Arera Colony","Multimedia Design Training, Adobe training",
34,Galaxy Education Center,"K J Tower Jawahar chowk, Jawahar Chowk","Multimedia Design Training, Adobe training",
35,ITDP," Chetak Bridge, Maharana Pratap Nagar","Multimedia Design Training, CAD & CAM training",
36,EXELIQ GROUP," Madhya Pradesh India – 462030, Bairagarh, Bhopal","Multimedia Design Training, CAD & CAM training",
37,A T Sir Maths Classes,"Zone 1, M.P. Nagar","AMIE Coaching, Management entrance exam coaching",
38,Promotees Coaching,"1st Floor, Mata Mandir","AMIE Coaching, ENGG / ARCH entrance exam coaching",
39,Teko Classes,"Zone 2, M.P. Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
40,Chitranjan Classes,"Zone 2, M.P. Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
41,Pathfinder Education Services Pvt. Ltd.,"Zone II, M.P. Nagar","AMIE Coaching, Management entrance exam coaching",
42,Super Group,"Zone II, M.P. Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
