,NAME,LOCATION,COURSES,CONTACT NO.
0,Nigam Institute of Engineering & Technology,"Ruchika Market, Baramunda",Engineering Colleges,
1,Synergy Institute of Engineering & Technology,"NH 55, Bhubaneshwar",Engineering Colleges,
2,Trident Academy of Creative Technology,"Chandaka Industrial Estate, Info City Patia",Engineering Colleges,
3,Orissa Engineering College,"Plot No. 36A, Sahid Nagar",Engineering Colleges,
4,BIIT Group of Institution," Retang Road, Janla",Engineering Colleges,
5,Jiban Admission Consultant,"master canteen road, Ashok Nagar",Engineering Colleges,
6,Epic,"Sector 1, Acharya Vihar, bhubaneswar",Engineering Colleges,
7,Mastermind Coaching Classes," Satya nagar, Laxmi Sagar Chowk, Bhubaneswar",Engineering Colleges,
8,Allen Career Institute," Near Press Chhak, Gajapati Nagar, Bhubaneswar","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249433989_
9,Eeuro Maritime Academy," Unit-8, Baramunda, Bhubaneswar","Job Training Centres, Occupational safety job training",+912249433119_
10,Academy Of Hairdressers & Beauticians,"Bhubaneshwar, Chandrasekharpur, Bhubaneswar","Job Training Centres, Beauty and spa job training",+912249428240_
11,CINET IT SOLUTION,"Odisha, Nilakantha Nagar, Bhubaneswar","Job Training Centres, Digital marketing job training",+912249474800_
12,"Bankedge, bbsr"," India, Jayadev Vihar, Bhubaneswar","Job Training Centres, Banking, Finance & GST job training",+912249429719_
13,National Institute Of Interior And Fashion Technology," Nayapalli, Nayapalli, Bhubaneswar","Job Training Centres, Fashion and apparel design training",+919021110256_
14,Manabaditya Trading Academy," Odisha 752104, Lingipur, Bhubaneswar","Job Training Centres, Share market courses",+912249430136_
15,Sanjukta Trading Academy,"Kalyani Plaza, Patrapada","Job Training Centres, Share market courses",+912249429109_
16,Achivia," DLF Cyber City, Info City Patia, Bhubaneswar","Overseas Education Consultants, Overseas education",+911140139457_
17,MOKSH OVERSEAS," (In front of Koel Campus), Patia, bhubaneswar","Overseas Education Consultants, Overseas education",+917569016549_
