,NAME,LOCATION,COURSES,CONTACT NO.
0,The Icfai University,"Sector 7c, Sector 7",Engineering Colleges,+911141108603_
1,Gian Jyoti Institute of Management & Technology,"Phase 2, Mohali, Chandigarh",Engineering Colleges,
2,GGS College of Modern Technology,"Kharar, Mohali",Engineering Colleges,
3,SUS Group of Institutions," Tangori, Mohali",Engineering Colleges,
4,Aryans Group of Colleges,"Chandigarh Patiala, Main Bazar",Engineering Colleges,
5,Rayat & Bahra Institute Of Engineering & Biotechnology," Kharar, Mohali",Engineering Colleges,
6,Sri Sukhmani Group of Institutes,"No. 140, Dera Bassi",Engineering Colleges,
7,Qrio Studio Pvt. Ltd.,"SCO No. 213, Sector 24, Chandigarh","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140130864_
8,Pahal Design," 2nd Floor, Sector 34A, Chandigarh","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140130158_
9,Nimbus Catalyst," 3rd Floor, Sector 34A, Chandigarh","Entrance Exam Coaching, Law entrance exam coaching",+911140128318_
10,Smarttalk Netcom Pvt. Ltd.," Sector 44D, Sector 44D, Chandigarh","Entrance Exam Coaching, Foreign education entrance exam coaching",+911140016502_
11,Academic & Professional Studies Abroad," 3rd Floor, Sector 34A, Chandigarh","Entrance Exam Coaching, Foreign education entrance exam coaching",+911140120929_
12,Scholars Hub," Sector 24D, Sector 24, Chandigarh","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917670824169_
13,Expert Institute Of Advance Technologies," Nac Manimajra, Manimajra, Chandigarh","Job Training Centres, Engineering and technician job training",+918099939461_
14,VLCC Health Care Ltd," SCO-62-63, Sector 34A","Job Training Centres, Beauty and spa job training",+911141109081_
15,mbbsuniversities.com," Govind Vihar , Zirakpur","Overseas Education Consultants, Overseas education",+911140166854_
16,Aster Foreign Education Consultants," Level-4, Sector 17C, Chandigarh","Overseas Education Consultants, Overseas education",+911140165803_
17,Red Leaf Immigration Pvt. Ltd.," Sector 44-C, Sector 44","Overseas Education Consultants, Overseas education",+911140127025_
18,Metis Immigration Consultants," 1st floor, Sector 22C, Chandigarh","Overseas Education Consultants, Overseas education",+911140186641_
19,IEC consultants,"Sector 9D, Sector 9, Chandigarh","Overseas Education Consultants, Overseas education",+911140116791_
20,Chinook Canada Immigration Services," Cabin No 4, Chandigadh","Corporate Training, People skills training",+911140116440_
21,TCIL-IT,"Bijwara Market, Sector 22D","Corporate Training, Professional development training",
22,Elvek Labs,"Madhya Marg Road, Sector 9","Corporate Training, Professional development training",
23,Institute of Information Security Network Intelligence,"Swastik Vihar MDC 5, Panchkula","Corporate Training, Language lab training",
24,Kurali Computer Centre,"Patiala Kundi , Kundi","Corporate Training, Professional development training",
25,Learning Edge,"No. 57, Sector 46","Corporate Training, Language lab training",
26,MAAC - Maya Academy of Advanced Cinematics," 4th Floor, Sector 17, Chandigarh","Multimedia Design Training, Animation & Multimedia training",+911140132494_
27,Computer Kids Pvt Ltd," 3rd floor, Sector 34A, Chandigarh","Multimedia Design Training, Adobe training",+911140016712_
28,Apace Vision Studio," Top Floor, Sector 40","Multimedia Design Training, CAD & CAM training",
29,Next Page IT Solutions,"Industrial Area Phase 9, Mohali","Multimedia Design Training, Adobe training",
30,Satya Hans Coaching of Art & Painting," Sector 20-A, Chandigadh, Chandigarh","Multimedia Design Training, Adobe training",
31,A.M. Consultants," 2nd Floor, Sector 30","Multimedia Design Training, Adobe training",
32,Vault Works Digital Academy," Floor, Sector 34A","Multimedia Design Training, Adobe training",
33,CTS ACADEMY,"Sco 16, Sector 20","AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140130928_
34,Gill home tutions,"shanti nagar, Manimajra","AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140127941_
35,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015","AMIE Coaching, Law entrance exam coaching",
36,B.M. Sharma Academy,"No. 53, Sector 20C","AMIE Coaching, ENGG / ARCH entrance exam coaching",
37,Open Tutors Community,"Tricity, Mohali","AMIE Coaching, ENGG / ARCH entrance exam coaching",
38,Aim Success Pvt Ltd," Second Floor, Sector 34A, Chandigarh","AMIE Coaching, Law entrance exam coaching",
39,B.M. Sharma Academy of Physics,"Sector 20C, Chandigadh","AMIE Coaching, ENGG / ARCH entrance exam coaching",
40,IBT Institute,"Sco- 80- 82, Sector 34A, Chandigarh",Bank Exam Coaching,+917670824128_
41,Ambition Quest," 3rd Floor, Sector 34A, Chandigarh",Bank Exam Coaching,+911140118958_
42,Sushankaram," 1st Floor, Sector 34C, Chandigarh",Bank Exam Coaching,+919021119461_
43,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015",Bank Exam Coaching,
44,Best GATE Training Center,"Phase 7, Mohali",Bank Exam Coaching,
45,BSC Academy," 3rd Floor, Sector 34A",Bank Exam Coaching,
46,Aditya Sanghi,"No. 19, Sector 1",Bank Exam Coaching,
47,Bright Future Education,"No. 1, Mohali",Bank Exam Coaching,
48,Bright Institute," Sas Nagar, Mohali, Chandigarh",Bank Exam Coaching,
49,Sai Service Education,"Patiala Road, Zirakpur",Bank Exam Coaching,
50,Nimbus Catalyst," 3rd Floor, Sector 34A, Chandigarh","CAT Coaching Centers, Law entrance exam coaching",+911140128318_
51,IMS Learning Resources Pvt. Ltd.,"4TH FLOOR , Sector 34A, Chandigarh","CAT Coaching Centers, Law entrance exam coaching",+917569504537_
52,Nimbus Catalyst," 3rd Floor, Sector 34","CAT Coaching Centers, Management entrance exam coaching",+911140116779_
53,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015","CAT Coaching Centers, Law entrance exam coaching",
54,Nimbus Catalyst," 3rd Floor, Sector 34A, Chandigarh","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140128318_
55,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
56,Aditya Sanghi,"No. 19, Sector 1","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
57,Aim Success Pvt Ltd," Second Floor, Sector 34A, Chandigarh","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
58,Bhanu Physics Home Tuition,"Sector 44, Chandigadh","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
59,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015","CTET Coaching, UGC NET coaching",
60,Seabird International,"Sector 64, Mohali","CTET Coaching, UPSC exam coaching",
61,Defence Institute,"SCO No. 118-120, Sector 34A","CTET Coaching, UGC NET coaching",
62,Aim Success Pvt Ltd," Second Floor, Sector 34A, Chandigarh","CTET Coaching, UPSC exam coaching",
63,EduGaps," 1st Floor, Sector 36, Chandigarh","CTET Coaching, UPSC exam coaching",
64,Edu Gaps,"No. 210, Sector 36","CTET Coaching, UPSC exam coaching",
65,Bhanu Physics Home Tuition,"Sector 44, Chandigadh","CTET Coaching, UPSC exam coaching",
66,Brtish IELTS,"Sector 34/A, Chandigadh","CTET Coaching, UPSC exam coaching",
67,English Classes for All Competitive Exams,"Sector 34D, Sector 34, Chandigarh","CTET Coaching, Teachers exam coaching",
68,Excellence Technology," 3rd Floor, Sector 34A","CTET Coaching, Teachers exam coaching",
69,IBT Institute,"Sco- 80- 82, Sector 34A, Chandigarh","IBPS Bank Interview Coaching, Bank exam coaching",+917670824128_
70,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015","IBPS Bank Interview Coaching, Bank exam coaching",
71,BSC Academy," 3rd Floor, Sector 34A","IBPS Bank Interview Coaching, Bank exam coaching",
72,Aditya Sanghi,"No. 19, Sector 1","IBPS Bank Interview Coaching, Bank exam coaching",
73,Sai Service Education,"Patiala Road, Zirakpur","IBPS Bank Interview Coaching, Bank exam coaching",
74,India Number No. 1 Institute of Lelts Spring Bell Education," Kharar, Mohali","IBPS Bank Interview Coaching, Bank exam coaching",
75,Aim Success Pvt Ltd," Second Floor, Sector 34A, Chandigarh","IBPS Bank Interview Coaching, Bank exam coaching",
76,Renaissance coaching," Panchkula, Chandigadh, Chandigarh","IBPS Bank Interview Coaching, Bank exam coaching",
77,B.M. Sharma Academy of Physics,"Sector 20C, Chandigadh","IBPS Bank Interview Coaching, Bank exam coaching",
78,3rd Axis,"SCO 76 , Sector 15D, Chandigarh","IBPS Bank Interview Coaching, Bank exam coaching",
79,Nimbus Catalyst," 3rd Floor, Sector 34A, Chandigarh","KMAT Coaching, Law entrance exam coaching",+911140128318_
80,Blue Ribbon Home Tutions,"Sector 15D, Chandigarh - 160015","KMAT Coaching, Law entrance exam coaching",
81,Brtish IELTS,"Sector 34/A, Chandigadh","KMAT Coaching, Management entrance exam coaching",
82,Career Group," 1st Floor, Sector 34, Chandigarh","KMAT Coaching, Law entrance exam coaching",
83,Infinite Toppers,"H.No- 2660, Sector 37C, Chandigarh","KMAT Coaching, Management entrance exam coaching",
84,Bajwa Institute For Competitive Examinations,"Vidya Nagar, Sector 24","KMAT Coaching, Management entrance exam coaching",
85,Smarttalk Netcom Pvt. Ltd.," Sector 44D, Sector 44D, Chandigarh","Language Training Centres, Spoken english training",+911140016502_
86,Academic & Professional Studies Abroad," 3rd Floor, Sector 34A, Chandigarh","Language Training Centres, Spoken english training",+911140120929_
87,Top German Coaching,"No. 1010, Sector 8C, Chandigarh","Language Training Centres, Foreign language training",+917569010403_
88,Perfect Education Academy," Second Floor, Sector 34A, Chandigarh","Language Training Centres, Spoken english training",+911140167454_
89,IMS Learning Resources Pvt. Ltd.,"4TH FLOOR , Sector 34A, Chandigarh","Law Entrance Coaching, Law entrance exam coaching",+917569504537_
90,Sameer Aggarwals Achiever Compitech," Sector 44 - D, Sector 44D, Chandigarh","Law Entrance Coaching, Law entrance exam coaching",+911140168003_
91,CRB Excelsior," Attawa, Sector 42, Chandigarh","Law Entrance Coaching, Law entrance exam coaching",+911140498332_
92,Krishna Study Academy," Chandigarh - 160023, Sector 24, Chandigarh","Law Entrance Coaching, Law entrance exam coaching",+911140166742_
93,Abhyasam Career Academy," 2nd Floor, Sector 40, Chandigarh","Law Entrance Coaching, Law entrance exam coaching",+911140116586_
94,Qrio Studio Pvt. Ltd.,"SCO No. 213, Sector 24","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140130864_
95,Pahal Design," 2nd Floor, Sector 34A","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140130158_
96,CTS ACADEMY,"Sco 16, Sector 20","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140130928_
97,Mohan Institute of Mathematics," Sector 20D, Sector 20D","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140142273_
98,The Creative Compass," First Floor , Sector 17C","NATA Coaching, ENGG / ARCH entrance exam coaching",+917569862799_
99,Gill home tutions,"shanti nagar, Manimajra","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140127941_
100,CTS ACADEMY,"Sco 16, Sector 20","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+911140130928_
101,Allen Career Institute," Phase-7, Mohali","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+911140169552_
