,NAME,LOCATION,COURSES,CONTACT NO.
0,Appolo Academy - A Unit of Appolo Study Centre," Kamaraj Nagar, Thiruvanmiyur, Chennai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914446281532_
1,Gemjee Gem Institute," Ponnambalam Salai, KK Nagar","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914446293232_
2,Mockat Classes (Coaching by IIM Graduates)," Adyar, Adyar","Entrance Exam Coaching, Management entrance exam coaching",+914449912497_
3,Kornerston Academy," (between Bus stop and Ruby Elites), Selaiyur, Chennai","Entrance Exam Coaching, Foreign education entrance exam coaching",+914449912342_
4,Colorcubes Studio," 3rd Street, Anna Nagar, Chennai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449855774_
5,Torah Ventures LLP," JAZZ Party Hall, Tambaram East, Chennai","Entrance Exam Coaching, Foreign education entrance exam coaching",+914446291236_
6,THE CONCEPTREE," VELACHERY-TAMBARAM MAIN ROAD, Rajakilpakkam, chennai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449852756_
7,Nata Coaching Center - Apto Inn," Kadaperi., Tambaram, Chennai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449911664_
8,Broadmind Consultant," Arcot Road, Vadapalani, Chennai","Entrance Exam Coaching, Management entrance exam coaching",+914449850211_
9,Nesto Institute," 1st Floor, T. Nagar, Chennai","Entrance Exam Coaching, Management entrance exam coaching",+914449856781_
10,PTC Aviation Academy," GST Road, Chromepet, Chennai","Job Training Centres, Aviation job training",
11,Adwants Digimac," Eldams Road, Teynampet, Chennai","Job Training Centres, Digital marketing job training",+914446281509_
12,Innovative Engineering Solution," Radha Nagar, Chromepet, Chennai","Job Training Centres, Engineering and technician job training",+914449853526_
13,V Design," West Cott Road, Royapettah, Chennai","Job Training Centres, Beauty and spa job training",+914446295181_
14,Naturals Training Academy," Near Poonamalle Bus Stand, Poonamallee, Chennai","Job Training Centres, Arts & media job training",+914446291534_
15,DREAMZONE," Near Poonamalle Bus Stand, Poonamallee, Chennai","Job Training Centres, Fashion and apparel design training",+914446292173_
16,Pebhok International Montessori Teacher Training Institute," Main Road, Moulivakkam, Chennai","Job Training Centres, Teacher job training",+914449924350_
17,TWG Group," Boopathy Street, Virugambakkam, Chennai","Job Training Centres, Engineering and technician job training",+914449853274_
18,Swaya Cadd Tech,"9th Avenue, Ashok Nagar","Job Training Centres, Engineering and technician job training",+914449851629_
19,Swaya Cadd Tech," 5th street, Velachery","Job Training Centres, Engineering and technician job training",+914449852804_
20,Haritha Overseas Education Consultants Llp," 12th Main Road, Anna Nagar, Chennai","Overseas Education Consultants, Overseas education",+914449859216_
21,TAFNE OVERSEAS EDUCATION PRIVATE LIMITED,"venkatapuram__ambattur, Ambattur","Overseas Education Consultants, Overseas education",+914449901283_
22,Broadmind Consultant," Arcot Road, Vadapalani, Chennai","Overseas Education Consultants, Overseas education",+914449850211_
23,JSP Global Solutions," Arcot Road, Vadapalani, Chennai","Overseas Education Consultants, Overseas education",+914449850512_
24,Azent Overseas Education Ltd.," Sevaliyar Sivaji Salai, T. Nagar","Overseas Education Consultants, Overseas education",+914446291977_
25,Walk International," Thirumurthy Nagar Main Road, Nungambakkam, Chennai","Overseas Education Consultants, Overseas education",+914449912626_
26,Dynamic Study Abroad Pvt Ltd," Montieth Lane, Egmore, Chennai","Overseas Education Consultants, Overseas education",+914449850846_
27,Opus Education Academy," 3rd Avenue, Anna Nagar, Chennai","Overseas Education Consultants, Overseas education",+914449914472_
28,SKV Medical Education Service Pvt Ltd,".No. 18 Mayor VR Ramanathan Salai. , Chetpet, Chennai","Overseas Education Consultants, Overseas education",+919021108796_
29,Storm Overseas Education," 2nd Floor, Nungambakkam, Chennai","Overseas Education Consultants, Overseas education",+914449901565_
30,Eyeopen Technologies," 18th Main Road, Anna Nagar, Chennai","Corporate Training, Professional development training",+914446294295_
31,Inlingua," Lawyer Jaganathan Street , Guindy, Chennai","Corporate Training, Language lab training",+914446294120_
32,SuperbHumans," Bricklin Road, Purasawalkam, Chennai","Corporate Training, People skills training",+914446293897_
33,PS Academy," Rajkamal 1st Cross Street, New Perungalathur, Chennai","Corporate Training, People skills training",+914446293936_
34,Elysium Academy," North Road, CIT Nagar, Chennai","Corporate Training, Professional development training",+914449850224_
35,Lernen," OLYMPIA TECHNOLOGY PARK, Guindy Industrial Estate, Chennai","Corporate Training, Call centre & BPO training",+914449919035_
36,EQSIS Capital Market Research Firm," Trustpuram, Kodambakkam, Chennai","Corporate Training, Professional development training",+914446294520_
37,Amora Exports & Panacea Valley Consulting," Brindavan Nagar Main Road, Valasaravakkam, Chennai","Corporate Training, People skills training",+914449909095_
38,Action DNA," South Dhandapani Street, T. Nagar, Chennai","Corporate Training, People skills training",+914449855435_
39,Splice Info," Perambur High Road, Perambur, Chennai","Corporate Training, Professional development training",+914446292163_
40,Maya Academy of Advanced Cinematics Guduvanchery,"Thailavaram, Guduvanchery, Chennai","Multimedia Design Training, Adobe training",+914446291547_
41,Electronic Multi Area Publishing Technology," Velachery, Velachery, Chennai","Multimedia Design Training, CAD & CAM training",+914449915034_
42,SSI Computer Education," 3rd Avenue, Anna Nagar, Chennai","Multimedia Design Training, Adobe training",+914449851163_
43,CADPOINT & USSOFT - Anna Nagar," 2nd Avenue, Anna Nagar, Chennai","Multimedia Design Training, CAD & CAM training",+914449853758_
44,MAAC - Maya Academy of Advance Cinematics," Ac 2nd Avenue, Anna Nagar, Chennai","Multimedia Design Training, Animation & Multimedia training",+914449850488_
45,Aace Multimedia,"Madipakkam Koot Road, Madipakkam, Chennai","Multimedia Design Training, Adobe training",+914449850710_
46,Alpha Gro Technologies," Kambar Salai, Mogappair West, Chennai","Multimedia Design Training, Adobe training",+914449855661_
47,CSS Computer Education Center,"N Mada St, Villivakkam, Chennai","Multimedia Design Training, Animation & Multimedia training",+914446292857_
48,Shantha Kumar - Apollo Computer Education," Indhira Gandhi Road, Pallavaram, Chennai","Multimedia Design Training, Adobe training",+914449915496_
49,EGB Systems And Solutions Private Limited," 17th street, Anna Nagar, Chennai","Multimedia Design Training, Adobe training",+914449855460_
50,Rajendra Bhatia's Design IFAAA,Also Servicing in Chennai,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+918048031945_
51,Aiden Academy," Madhanadhapuram, Kovur","AMIE Coaching, ENGG / ARCH entrance exam coaching",+914449850635_
52,Nirmala Nandakumar," seethammal colony, Alwarpet, Chennai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
53,Hari Narayana Rao," Chennai 94, Nungambakkam","AMIE Coaching, ENGG / ARCH entrance exam coaching",
54,Arun," Chromepet, Chromepet","AMIE Coaching, ENGG / ARCH entrance exam coaching",
55,Global Education Tech,"44th Street, Nanganallur, Chennai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
56,Alchemy Classes,"10th Cross Street, Velachery","AMIE Coaching, ENGG / ARCH entrance exam coaching",
57,Veera Raghavan,"No. 12/L, KK Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
58,VNC Sirpi Academy," Royapettah High Road, Royapettah, Chennai","AMIE Coaching, Management entrance exam coaching",
59,OM COACHING CENTRE," Kennedy Square, Agaram","AMIE Coaching, Management entrance exam coaching",
60,Chennai Race Coaching Institute Pvt. Ltd.," Mahalakshmi Street, T. Nagar",Bank Exam Coaching,+914449850672_
61,We Shine Academy," Rangasamy Street, Chromepet, Chennai",Bank Exam Coaching,+914446294367_
62,Dhrona s Academy,"No16 clc works road near lakshmi vilas bank, Chromepet, chennai",Bank Exam Coaching,+914449852503_
63,Bharath Institute of Banking," Muthu Mariamman Kovil Street, Valasaravakkam, Chennai",Bank Exam Coaching,+914446292111_
64,Phenix Academy,"Chennai - 600045, Tambaram West, Chennai",Bank Exam Coaching,+914446291337_
