,NAME,LOCATION,COURSES,CONTACT NO.
0,BM GROUP OF INSTITUTIONS,Also Servicing in Faridabad,Engineering Colleges,+911140120151_
1,AR Group of Education,Also Servicing in Faridabad,Engineering Colleges,+911140126577_
2,Mangalmay Group of Institutions,Also Servicing in Faridabad,Engineering Colleges,+911140131069_
3,Applied Education Point,Also Servicing in Faridabad,Engineering Colleges,+911140149252_
4,Engineering And Management Institute Of India,Also Servicing in Faridabad,Engineering Colleges,+911140467226_
5,Institute of Aeronautics & Engineering,Also Servicing in Faridabad,Engineering Colleges,+918099937201_
6,Rawal Institute of Management,"Sohna Road, Zakopur",Engineering Colleges,
7,AIIM Academy,Also Servicing in Faridabad,Engineering Colleges,
8,Echelon Institute of Technology,"Neharpar, Sector 87",Engineering Colleges,
9,Admission Time(Infogenies group),Also Servicing in Faridabad,Engineering Colleges,
10,PAHAL DESIGN,Also Servicing in Faridabad,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140126048_
11,Ease Vidya - Success Mantra,Also Servicing in Faridabad,"Entrance Exam Coaching, Law entrance exam coaching",+911140016360_
12,Academy of Fashion & Art,Also Servicing in Faridabad,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140121211_
13,Jamboree Education Pvt. Ltd.,Also Servicing in Faridabad,"Entrance Exam Coaching, Management entrance exam coaching",+911140016487_
14,Trendz Academy,Also Servicing in Faridabad,"Entrance Exam Coaching, Design entrance exam coaching",+911141124021_
15,Sukhoi Academy," Sohna Road, Pali, Faridabad","Entrance Exam Coaching, Law entrance exam coaching",+911140128241_
16,Amity Institute for Competitive Examinations,Also Servicing in Faridabad,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140127040_
17,I Made Creative Studio,Also Servicing in Faridabad,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911141134655_
18,The Princeton Review Manya,Also Servicing in Faridabad,"Entrance Exam Coaching, Management entrance exam coaching",+917022373248_
19,Silica,Also Servicing in Faridabad,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140165642_
20,Dayitwa Consultancy Services Pvt. Ltd.,Also Servicing in Faridabad,"Job Training Centres, Digital marketing job training",+911140116530_
21,S & S Care Skills Academy Pvt. Ltd,Also Servicing in Faridabad,"Job Training Centres, Engineering and technician job training",+919021109311_
22,Talent Shiksha,Also Servicing in Faridabad,"Job Training Centres, Digital marketing job training",+911140116462_
23,Indus Institute Of Event Management & Skill Development,Also Servicing in Faridabad,"Job Training Centres, Arts & media job training",+911140118651_
24,VLCC Health Care Ltd,"SCO-8 FIRST FLOOR, Sector 16","Job Training Centres, Beauty and spa job training",+911140497168_
