,NAME,LOCATION,COURSES,CONTACT NO.
0,Arignar Anna Institute of Science & Technology," Valasaravakkam, Goa, Goa",Engineering Colleges,
1,National Institute of Technology," Ponda, Ponda",Engineering Colleges,
2,Padre Conceicao College of Engineering,"Agnel Ashram : Salcete, Verna",Engineering Colleges,
3,Goa College of Architecture," Campal, Panaji, Goa",Engineering Colleges,
4,Icfai University," Patta, Panjim",Engineering Colleges,
5,Birla Institue of Technology & Science,"Bypass Road, Zuarinagar",Engineering Colleges,
6,Shri Rayeshwar Engineering & Information Technology,"Karai Shiroda Road, Shiroda",Engineering Colleges,
7,Goa Engineering College," Ponda, Goa",Engineering Colleges,
8,Goa University,"Taleigao Road, Goa - 403206",Engineering Colleges,
9,Joyversity Overseas Education PVT. LTD.," Complex L&L Correias, Margao, Goa","Entrance Exam Coaching, Foreign education entrance exam coaching",+918048043869_
10,Prof. Kaushiks Coaching Classes,"Goa, Patto Panjim, Goa","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249429236_
11,JD Institute of Fashion Technology," Panjim Goa, Panjim","Job Training Centres, Arts & media job training",+912249429531_
12,C-Libz Computer Education & Business Zone,"Marmugao, Vasco-da-gama","Job Training Centres, Engineering and technician job training",
13,Joyversity Overseas Education PVT. LTD.," Complex L&L Correias, Margao, Goa","Overseas Education Consultants, Overseas education",+918048043869_
14,Orbit Education & Immigration Services,"Donapal, Goa","Overseas Education Consultants, Overseas education",
15,Go Globale,"Damodar College Road , Margao","Overseas Education Consultants, Overseas education",
16,Geebee Education," Panaji Muncipal Market, Panaji, Goa","Overseas Education Consultants, Overseas education",
17,Confluence Educational Services Pvt. Ltd.," Hyderabad - 500038, Goa, Goa","Overseas Education Consultants, Overseas education",
18,Maxxcell Overseas Education Services," 1st Floor, Madgaon, Goa","Overseas Education Consultants, Overseas education",
19,Exoctica Training Centre,"Valaulikar Road, Salcete","Corporate Training, Language lab training",
20,nlp," Anjuna Mopusa road, ","Corporate Training, Language lab training",
21,The Guest,"Top In Town, Goa Velha, Goa","Corporate Training, Language lab training",
22,Eventura India Hub Pvt. Ltd.," Aquem, Aquem Margao","Corporate Training, Call centre & BPO training",
23,Tabla class & Home Tutions by Arjun,"Panjim Porvorim, Colvale","Corporate Training, People skills training",
24,Smart Edge Learning & Development Solutions,"Dr. A. Borkar Road, Panaji","Corporate Training, Language lab training",
25,Bilsoft Information Technology Goa," 2nd Floor, Margao","Corporate Training, Professional development training",
26,Brahmakamal Accessories,"Calangute Village, Calangute","Corporate Training, Professional development training",
