,NAME,LOCATION,COURSES,CONTACT NO.
0,Academy of Aviation & Engineering,Also Servicing in Hubli,Engineering Colleges,+917306941475_
1,excel edusolutions," prashant colony, ",Engineering Colleges,
2,Arignar Anna Institute of Science & Technology," Valasaravakkam, Hubli, Hubli",Engineering Colleges,
3,SDM Educational Society," Sattur, Dharwad",Engineering Colleges,
4,The ICFAI National College,"Ahalya Plaza, Club Road",Engineering Colleges,
5,Adarsh Hindi Vidyapeeth,"Nehru Nagar, Nehru Stadium Road",Engineering Colleges,
6,B.V. Bhoomraddi College of Engineering & Technology,"Vidyanagar, Vidya Nagar",Engineering Colleges,
7,SDM College of Engineering & Technology,"Dhavalagiri, Dharwad",Engineering Colleges,
8,BV Bhoomaraddi College of Engineering and Technology,"Vidyanagar, Hubli",Engineering Colleges,
9,NRI Institute of Technology,Also Servicing in Hubli,Engineering Colleges,
10,DQ Labs,Also Servicing in Hubli,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918048104619_
11,Royale International,Also Servicing in Hubli,"Entrance Exam Coaching, Management entrance exam coaching",+919021114110_
12,Study Smart,Also Servicing in Hubli,"Entrance Exam Coaching, Foreign education entrance exam coaching",
13,INPS Classes,Also Servicing in Hubli,"Entrance Exam Coaching, Computer science entrance exam coaching",+911140169257_
14,My Design Studio,Also Servicing in Hubli,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
15,IMS Learning Resources Pvt. Ltd.,Also Servicing in Hubli,"Entrance Exam Coaching, Law entrance exam coaching",+919066021467_
16,Career Launcher,Also Servicing in Hubli,"Entrance Exam Coaching, Law entrance exam coaching",+911140116431_
17,GIT-IT-Academy," Kittur Enclave, Vidya Nagar, Hubli","Entrance Exam Coaching, Foreign education entrance exam coaching",
18,Colorcubes Studio,Also Servicing in Hubli,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449855774_
19,Sigma Institute,Also Servicing in Hubli,"Entrance Exam Coaching, Medical entrance exam coaching",+911140468775_
20,Jaya Agarwal,Also Servicing in Hubli,"Job Training Centres, Arts & media job training",+917949075036_
21,VisionFly," Above Bank of Baroda, Vidya Nagar, Hubli","Job Training Centres, Engineering and technician job training",
22,GIT-IT-Academy," Kittur Enclave, Vidya Nagar, Hubli","Job Training Centres, Digital marketing job training",
23,Fashionbox institute of design,Also Servicing in Hubli,"Job Training Centres, Fashion and apparel design training",+917949074567_
24,AIDM: Asian Institute Of Digital Marketing,Also Servicing in Hubli,"Job Training Centres, Digital marketing job training",+911140147372_
25,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Hubli,"Job Training Centres, Banking, Finance & GST job training",
26,Digital Platter,Also Servicing in Hubli,"Job Training Centres, Digital marketing job training",+912249427635_
27,Government Tool Room & Training Centre,"KSSIDC Industrial Estate, Gokul Road","Job Training Centres, Engineering and technician job training",
28,International Institute of Fashion Design,"Kusugal Road, Hubli","Job Training Centres, Aviation job training",
29,Chaitra Home Nursing Training & Services Home,"Rajeebaanpath, Hubli","Job Training Centres, Aviation job training",
30,Medicon Overseas,Also Servicing in Hubli,"Overseas Education Consultants, Overseas education",+918048104193_
31,Destinex Global Services Pvt. Ltd.,Also Servicing in Hubli,"Overseas Education Consultants, Overseas education",+918043691265_
32,VAC Global Education,Also Servicing in Hubli,"Overseas Education Consultants, Overseas education",+911140142433_
33,International Training & Consulting Services,Also Servicing in Hubli,"Overseas Education Consultants, Overseas education",+918048104455_
34,Confluence Educational Services Pvt. Ltd.," Bangalore - 560001, Hubli, Hubli","Overseas Education Consultants, Overseas education",
