,NAME,LOCATION,COURSES,CONTACT NO.
0,Ganpat University,Also Servicing in Indore,Engineering Colleges,
1,Sha-Shib Aerospace Engineering,Also Servicing in Indore,Engineering Colleges,
2,GT Computer & Hardware Engineering College Pvt. Ltd.,"No. 4, A.B. Road",Engineering Colleges,
3,Shri Venkteshwar Institute of Technology,"Ujjain Highway , Sanwer Road",Engineering Colleges,
4,Dr. APJ Abdul Kalam University,"Indore, Indore - 424001",Engineering Colleges,
5,Admission in Mp," Navlakha square, Navlakha",Engineering Colleges,
6,C Square Classes," 2nd Floor, Girdhar Nagar",Engineering Colleges,
7,Sanjeevani Seva Sangam,"A. B. Road, Vijay Nagar",Engineering Colleges,
8,Admivo Abroad Educations Consulting," Kanadia Road, Sanvid Nagar, Indore",Engineering Colleges,
9,Dot Net Guru," Shikshak Nagar Airport Road Indore, Aerodrome Main Road",Engineering Colleges,
10,Rajendra Bhatia's Design IFAAA," Madhya Pradesh, Sapna Sangeeta Road, Indore","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949072489_
11,Law Prep Tutorials," Old Agarwal Nagar, Sapna Sangeeta Road, Indore","Entrance Exam Coaching, Law entrance exam coaching",+917949070506_
12,Headache Tutorials," Palasia, Indore H O, Indore","Entrance Exam Coaching, Law entrance exam coaching",+919021117817_
13,Pahaldesign Education Pvt. Ltd.,"Hamilton Road, Indore - 452001","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949073570_
14,PDA Indore," Tower Road, Indore H O, Indore","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+919021115378_
15,Silica,"Janjeerwala Square, Race Course Road, Indore","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140139757_
16,Design Aspirants," Next to Murliwala Sweets, Vijay Nagar, Indore","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917569008509_
17,Kalakaksh," New Palasia, Bhanwar Kuwa, Indore","Entrance Exam Coaching, Law entrance exam coaching",+919021119248_
18,IMS Learning Resources Pvt. Ltd,"Main Road, Sadar Bazar, Indore","Entrance Exam Coaching, Management entrance exam coaching",+917949073424_
19,School Of Mathematics," Vijay Nagar, Scheme No.54, Indore","Entrance Exam Coaching, School entrance exam coaching",+917949071010_
20,ZICA Institute," New Palasia, Palasia, Indore","Job Training Centres, Digital marketing job training",+919021117480_
21,A FLYER AN AIRHOSTESS TRAINING INSTITUTE,"17-18 Diamond Colony, Palasia, Indore","Job Training Centres, Aviation job training",+917949072395_
22,Digital Mind Web Solutions," A.B. Road, Indore H O, Indore","Job Training Centres, Digital marketing job training",+911140145197_
23,Future Multimedia," Orange Business Park, Bhanwar Kuwa, Indore","Job Training Centres, Digital marketing job training",+917569005280_
24,Technical Training & Research House," Opposite Apna Sweets, New Palasia, Indore","Job Training Centres, Share market courses",+917949076262_
25,Aksa International Air hostess training institute," No. 576, MG Road, Indore","Job Training Centres, Aviation job training",+911140125567_
26,Panache Academy," 8/5 South Tukoganj undefined undefined, Tukoganj, Indore","Job Training Centres, Aviation job training",+919021118485_
27,ADP IT Rescuer Pvt. Ltd. - Dell Realme Authorized Service Centre," Indore H O, R.N.T. Marg, Indore","Job Training Centres, Engineering and technician job training",+911140132444_
28,Bimal Institute For Market Research," Old Palasi, A.B. Road, Indore","Job Training Centres, Share market courses",+917949071556_
29,Kala Ashram,"No. 24 Saket Nagar., Saket Nagar","Job Training Centres, Arts & media job training",+917949070779_
30,Chevalier Education Consultancy,Also Servicing in Indore,"Overseas Education Consultants, Overseas education",+917949070431_
31,Study Euro Indore," Indore - 452001, Indore H O","Overseas Education Consultants, Overseas education",+917949074083_
32,mbbsuniversities.com,Also Servicing in Indore,"Overseas Education Consultants, Overseas education",
33,HRS," Palasia Square Indore, Manorama Ganj, Indore","Overseas Education Consultants, Overseas education",+917949070577_
34,Europe Study Centre," Madhya Pradesh, Indore H O, Indore","Overseas Education Consultants, Overseas education",+917569001291_
35,Admivo Abroad Education Consulting," Shri Krishna Classic, A.B. Road, Indore","Overseas Education Consultants, Overseas education",+917949070989_
36,Shiksha Mitra (OPC) Pvt. Ltd.,Also Servicing in Indore,"Overseas Education Consultants, Overseas education",+911140118344_
37,THE GLOBALEARN," Veda Business Park, Bhanwar Kuwa, indore","Overseas Education Consultants, Overseas education",+911140127855_
38,Univers Education,Also Servicing in Indore,"Overseas Education Consultants, Overseas education",+911140126227_
39,REX GBE SERVICES [ LA SIERRA UNIVERSITY ],Also Servicing in Indore,"Overseas Education Consultants, Overseas education",+912249411354_
40,Bimal Institute For Market Research," Old Palasi, A.B. Road, Indore","Corporate Training, Professional development training",+917949071556_
41,Samyak Computer Classes - 25 Branches," Above Apna Sweets A.B. Road , Vijay Nagar, Indore","Corporate Training, Language lab training",+917569001325_
42,Maheshwari Institute of Careers & Research," 316 Dm Tower, Palasia, Indore","Corporate Training, Professional development training",+919021118006_
43,Global Sports Academy,"South Tukoganj, Kanadia Road, Indore","Corporate Training, Professional development training",
44,Edu Vikas,"No. M-108, Veena Nagar","Corporate Training, Professional development training",
