,NAME,LOCATION,COURSES,CONTACT NO.
0,College Funda Services Pvt. Ltd.," Madhyam Marg, Mansarovar, Jaipur",Engineering Colleges,+911140117039_
1,Malaviya National Institute of Technology,"Jawahar Lal Nehru Marg, Malviya Nagar",Engineering Colleges,
2,Poornima College of Engineering," RIICO Institutional Area, Sitapura",Engineering Colleges,
3,Rajasthan Engineering College," Dausa, Jaipur",Engineering Colleges,
4,Jaipur Engineering College,"RIICO Industrial Area, Kukas",Engineering Colleges,
5,Poornima Institute of Engineering & Technology,"RIICO Institutional Area, Sitapura, Jaipur",Engineering Colleges,
6,Regional College For Education Research & Technology,"RIICO Institutional Area, Sitapura",Engineering Colleges,
7,Jagan Nath University," Phase 4, Sitapura",Engineering Colleges,
8,IMS LALKOTHI," Apex Mall, Lal Kothi, Jaipur","Entrance Exam Coaching, Law entrance exam coaching",+918657608031_
9,Endeavor Career Pvt. Ltd.," Tonk Road, Tonk Road, Jaipur","Entrance Exam Coaching, Foreign education entrance exam coaching",+918657390604_
10,Bhanwar Rathore Design Studio,"Jaipur, N.I. Road","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140139645_
11,Bulls Eye," Gujar ki Thadi, Jaipur City S.O., Jaipur","Entrance Exam Coaching, Law entrance exam coaching",+911140168094_
12,Aptimania," Vidhyadhar Nagar, Shastri Nagar, Jaipur","Entrance Exam Coaching, Management entrance exam coaching",+919021122520_
13,IMS Vaishali Nagar," India, Vaishali Nagar, jaipur","Entrance Exam Coaching, Law entrance exam coaching",+911141136787_
14,Mentors & Coaches," Riddhi Siddhi Crossing, Gopalpura Bypass Road, Jaipur","Entrance Exam Coaching, Management entrance exam coaching",+911140167798_
15,S 2 S Defence Academy," Khatipura, Vaishali Nagar","Entrance Exam Coaching, School entrance exam coaching",+917569015757_
16,Karni Defence Academy," Khirni Phatak Road, Jhotwara, Jaipur","Entrance Exam Coaching, School entrance exam coaching",+919021108127_
17,Studymetro," Swej Farm, Shyam Nagar, Jaipur","Entrance Exam Coaching, Foreign education entrance exam coaching",+918956815879_
18,Digi Learning," Gopalpura Bypass, Gopalpura, Jaipur","Job Training Centres, Digital marketing job training",+911140116134_
19,Ventureheap Academy," Gopalnagar A, Gopalpura Bypass Road, jaipur","Job Training Centres, Digital marketing job training",+917949071904_
20,BIGIXT Training Academy," Ajmer Road, Tagore Nagar, jaipur","Job Training Centres, Digital marketing job training",+911140116021_
21,TGC Animation & Multimedia," 2nd Floor, Malviya Nagar, Jaipur","Job Training Centres, Digital marketing job training",+917949072682_
22,Institute of Design & Technology," Niwaru Road, Jhotwara, Jaipur","Job Training Centres, Construction & interior designing job training",+911140116797_
23,Grras Solutions Pvt Ltd,"219 himmat nagar gopalpura mode, Gopalpura Bypass Road, Jaipur","Job Training Centres, Digital marketing job training",+911140168118_
24,DICEST Education Pvt. Ltd.," 80 Feet Road, Gopalpura, Jaipur","Job Training Centres, Banking, Finance & GST job training",+911140168277_
25,Frankfinn Institute of Air Hostess Training," Sun tower, Gandhi Nagar, Jaipur","Job Training Centres, Aviation job training",+911140117421_
26,cadd centre," Madhyam Marg, Mansarovar, Jaipur","Job Training Centres, Engineering and technician job training",+911140125715_
27,mbbsuniversities.com,"Madhyam marg, Mansarovar, Jaipur","Overseas Education Consultants, Overseas education",+918956903872_
28,Studymetro," Swej Farm, Shyam Nagar, Jaipur","Overseas Education Consultants, Overseas education",+918956815879_
29,Sai Ram Educational Consultants," Ridhi Sidhi Link Road, Gopalpura Bypass Road","Overseas Education Consultants, Overseas education",+918956914197_
