,NAME,LOCATION,COURSES,CONTACT NO.
0,The Icfai University,Also Servicing in Jalandhar,Engineering Colleges,+911141108603_
1,Apeejay Institute Of Management & Engineering Technical Campus," Hoshiarpur Road, Rama Mandi, Jalandhar",Engineering Colleges,+911140168516_
2,Institute of Aeronautics & Engineering,Also Servicing in Jalandhar,Engineering Colleges,+918099937201_
3,Sri Sai College of Engineering & Technology,"G.T. Road, Lajpat Nagar",Engineering Colleges,
4,St. Soldier Institute of Engineering & Technology," National Highway 1, Jalandhar",Engineering Colleges,
5,St. Soldier Group of Institutions,"No. 680L, Model Town",Engineering Colleges,
6,Punjab Technical University Jalandhar,"Kapurthala Road, Hardev Nagar",Engineering Colleges,
7,GNA University,"husharpoor road, Phagwara Gate",Engineering Colleges,
8,Arignar Anna Institute of Science & Technology," Valasaravakkam, Jalandhar, Jalandhar",Engineering Colleges,
9,Institute of Engineering & Technology,"Ropar, Jalandhar",Engineering Colleges,
10,The Teacher's Academy," Dashmesh Nagar, Garha Road, Jalandhar","Entrance Exam Coaching, Foreign education entrance exam coaching",+919021119553_
11,Aptiguide Institute," Crystal Plaza Market, Jalandhar City, Jalandhar","Entrance Exam Coaching, Law entrance exam coaching",+911140168469_
12,Manya," New Jawahar Nagar Market, Jalandhar City, jalandhar","Entrance Exam Coaching, Foreign education entrance exam coaching",+919021112838_
13,Castle Study Abroad," Opposite Pims Garha Road, Jalandhar City","Entrance Exam Coaching, Foreign education entrance exam coaching",+911140017563_
14,CTS ACADEMY,Also Servicing in Jalandhar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140130928_
15,Vikramaditya Academy,Also Servicing in Jalandhar,"Entrance Exam Coaching, School entrance exam coaching",+911140497196_
16,Shiv Ansh Art Coaching Academy,Also Servicing in Jalandhar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140166526_
17,Wings Of Dreams Edu,Also Servicing in Jalandhar,"Entrance Exam Coaching, School entrance exam coaching",+912249437902_
18,QRIO Studio,Also Servicing in Jalandhar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
19,Krishna Study Academy,Also Servicing in Jalandhar,"Entrance Exam Coaching, Law entrance exam coaching",+911140166742_
20,Dayitwa Consultancy Services Pvt. Ltd.,Also Servicing in Jalandhar,"Job Training Centres, Engineering and technician job training",+911140116530_
21,NFCI Educations Pvt. Ltd.," jalandhar, Jalandhar Cantt, Jalandhar","Job Training Centres, Cooking & baking classes",+911140121273_
22,Jaya Agarwal,Also Servicing in Jalandhar,"Job Training Centres, Arts & media job training",+917949075036_
23,"Adventure Flight Education Pvt. Ltd.,",Also Servicing in Jalandhar,"Job Training Centres, Aviation job training",+917569001435_
24,Chinook Canada Immigration Services,Also Servicing in Jalandhar,"Job Training Centres, Arts & media job training",+911140116440_
25,Fashionbox institute of design,Also Servicing in Jalandhar,"Job Training Centres, Fashion and apparel design training",+917949074567_
26,AIDM: Asian Institute Of Digital Marketing,Also Servicing in Jalandhar,"Job Training Centres, Digital marketing job training",+911140147372_
27,Jifsa,Also Servicing in Jalandhar,"Job Training Centres, Occupational safety job training",+911140120432_
28,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Jalandhar,"Job Training Centres, Banking, Finance & GST job training",
29,RMS School,Also Servicing in Jalandhar,"Job Training Centres, Banking, Finance & GST job training",+911140117434_
30,The Teacher's Academy," Dashmesh Nagar, Garha Road, Jalandhar","Overseas Education Consultants, Overseas education",+919021119553_
31,Aptiguide Institute," Crystal Plaza Market, Jalandhar City, Jalandhar","Overseas Education Consultants, Overseas education",+911140168469_
32,Valedra Private Limited,Also Servicing in Jalandhar,"Overseas Education Consultants, Overseas education",+911140169919_
33,GGS Enterprises,Also Servicing in Jalandhar,"Overseas Education Consultants, Overseas education",+911140164945_
34,ELON CONSULTING SERVICE (OPC) PRIVATE LIMITED,Also Servicing in Jalandhar,"Overseas Education Consultants, Overseas education",+911140169517_
35,CW SERVICES,Also Servicing in Jalandhar,"Overseas Education Consultants, Overseas education",+911140120096_
36,Go Abroad Consultants,Also Servicing in Jalandhar,"Overseas Education Consultants, Overseas education",+911140136068_
37,VAC Global Education,Also Servicing in Jalandhar,"Overseas Education Consultants, Overseas education",+911140142433_
38,B N Overseas Educational Services,"G.T. Road, Lajpat Nagar","Overseas Education Consultants, Overseas education",
39,Royal Travels,"No. 165, Defence Colony","Overseas Education Consultants, Overseas education",
40,Chinook Canada Immigration Services,Also Servicing in Jalandhar,"Corporate Training, People skills training",+911140116440_
41,IBT - Institute of Banking Training,"Jalandhar Cantt, Jalandhar - 144002",Corporate Training,
42,Nexus School of Skills,"Green Park, Jawahar Nagar","Corporate Training, Language lab training",
43,Skills Matter," Nakodar Road, Avtar Nagar, Jalandhar","Corporate Training, Professional development training",
