,NAME,LOCATION,COURSES,CONTACT NO.
0,Ganpat University,Also Servicing in Jamnagar,Engineering Colleges,
1,Hindustan Aerospace & Engineering,Also Servicing in Jamnagar,Engineering Colleges,+917303178220_
2,Sha-Shib Aerospace Engineering,Also Servicing in Jamnagar,Engineering Colleges,
3,Swarrnim Startup & Innovation University,Also Servicing in Jamnagar,Engineering Colleges,
4,Silver Oak College of Engineering & Technology,Also Servicing in Jamnagar,Engineering Colleges,
5,Arignar Anna Institute of Science & Technology," Valasaravakkam, Jamnagar, Jamnagar",Engineering Colleges,
6,Arignar Anna Institute of Science & Technology," Chennai - 602105, Jamnagar, Jamnagar",Engineering Colleges,
7,NRI Institute of Technology,Also Servicing in Jamnagar,Engineering Colleges,
8,Institute of Advanced Research,Also Servicing in Jamnagar,Engineering Colleges,+917949071617_
9,Victoria University-India,Also Servicing in Jamnagar,Engineering Colleges,
10,Swastik Academy,Also Servicing in Jamnagar,"Entrance Exam Coaching, Foreign education entrance exam coaching",+917949070200_
11,British Academy - Madhavi Khandwala,Also Servicing in Jamnagar,"Entrance Exam Coaching, Foreign education entrance exam coaching",+917949070272_
12,Study Smart,Also Servicing in Jamnagar,"Entrance Exam Coaching, Foreign education entrance exam coaching",
13,INPS Classes,Also Servicing in Jamnagar,"Entrance Exam Coaching, Computer science entrance exam coaching",+911140169257_
14,My Design Studio,Also Servicing in Jamnagar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
15,Swayam Art Academy,Also Servicing in Jamnagar,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249426540_
16,IMS Learning Resources Pvt. Ltd.,Also Servicing in Jamnagar,"Entrance Exam Coaching, Law entrance exam coaching",+919066021467_
17,Career Launcher,Also Servicing in Jamnagar,"Entrance Exam Coaching, Law entrance exam coaching",+911140116431_
18,Shree Renuka Institute of Neet/Biology,Also Servicing in Jamnagar,"Entrance Exam Coaching, Medical entrance exam coaching",+917949070991_
19,IMS,Also Servicing in Jamnagar,"Entrance Exam Coaching, Law entrance exam coaching",+912249434405_
20,Western India Institute Of Aeronautics Pvt. Ltd.,Also Servicing in Jamnagar,"Job Training Centres, Engineering and technician job training",+917949072606_
21,Radhe Airborne Academy,Also Servicing in Jamnagar,"Job Training Centres, Aviation job training",+917949072598_
22,Rising Media School,Also Servicing in Jamnagar,"Job Training Centres, Arts & media job training",+917949071914_
23,Foreign Trade Management & Training Centre,Also Servicing in Jamnagar,"Job Training Centres, Manufacturing & logistics job training",+911140017424_
24,Jaya Agarwal,Also Servicing in Jamnagar,"Job Training Centres, Arts & media job training",+917949075036_
25,INSTITUTE OF FASHION & JEWELLERY DESIGN,Also Servicing in Jamnagar,"Job Training Centres, Fashion and apparel design training",+912249434404_
26,Infinifly Aviation,Also Servicing in Jamnagar,"Job Training Centres, Aviation job training",+917949070378_
27,JITI Institute,Also Servicing in Jamnagar,"Job Training Centres, Occupational safety job training",+911140016735_
28,Fashionbox institute of design,Also Servicing in Jamnagar,"Job Training Centres, Fashion and apparel design training",+917949074567_
29,AIDM: Asian Institute Of Digital Marketing,Also Servicing in Jamnagar,"Job Training Centres, Digital marketing job training",+911140147372_
30,Annabella Med Educare,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+917569010422_
31,Abroad Education Consultancy,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+917949071909_
32,China Mbbs Consultancy - Dr.Jogadia,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+917949070451_
33,VAC Global Education,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+911140142433_
34,VIEC Overseas Education Consultant," 3rd Floor, Park Colony","Overseas Education Consultants, Overseas education",
35,Doctorplus Educational Consultancy,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+917949070206_
36,Petals International,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+911140016689_
37,MBBS Direct,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",+919021106944_
38,Pyramid Foreign Education,Also Servicing in Jamnagar,"Overseas Education Consultants, Overseas education",
39,Admissiongyan Education Consultancy," Jayanagar 9th Block, Jam Nagar, Jamnagar","Overseas Education Consultants, Overseas education",
40,Brisk Business Services LLP,"Office No. 6, Ranjit Nagar","Corporate Training, Professional development training",
41,Life Transformer Training Pvt. Ltd.,"G.G. Hospital Road, Jamnagar - 361001","Corporate Training, Professional development training",
42,Seling,"Bedi Gate, Jamnagar - 939148","Corporate Training, Language lab training",
43,Sun Techno,"Spring Hieght, Jam Nagar",Corporate Training,
44,Siddharth Speakers Academy,Also Servicing in Jamnagar,"Corporate Training, People skills training",
45,Sumukh Computer Education,"No. 5/1, Patel Colony","Corporate Training, Professional development training",
46,Parth Jitendra Pathak,"No. 6, Patel Colony, Jamnagar","Corporate Training, Language lab training",
47,Pushpesh Pathak,Also Servicing in Jamnagar,"Corporate Training, Language lab training",
