,NAME,LOCATION,COURSES,CONTACT NO.
0,Awadh Group Of Education," Bhilaipahari, Mango, Jamshedpur",Engineering Colleges,+911140166212_
1,Crane Operator Course Crane Institute Jamshedpur,"Sakchi, Jamshedpur - 831001",Engineering Colleges,
2,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih, Jamshedpur",Engineering Colleges,
3,RVS College of Engineering and Technology,"Edalbera, Mango",Engineering Colleges,
4,Arignar Anna Institute of Science & Technology," Valasaravakkam, Jamshedpur, Jamshedpur",Engineering Colleges,
5,RVS College of Engineering & Technology (Admin Office),"Mills Area, Sakchi, Jamshedpur",Engineering Colleges,
6,Career Adda," Sakchi, Sakchi",Engineering Colleges,
7,Welfare Industrial Training Institute," Dhatkidih Market, Tata Nagar, Jamshedpur","Job Training Centres, Occupational safety job training",+911140164105_
8,JITI Institute," Road No.16/B, Jawahar Nagar, Jamshedpur","Job Training Centres, Occupational safety job training",+911140016735_
9,Gulf Academy Of Safety (Jamshedpur Branch)," SNP Area, Sakchi, Jamshedpur","Job Training Centres, Occupational safety job training",+911140164933_
10,Stylofabbo customer care number 9134275497,"Adityapur, Jamshedpur - 831005","Corporate Training, Language lab training",
11,ARHKS Academy Jamshedpur,"Road No. 1, Bistupur","Corporate Training, Professional development training",
12,JITI INSTITUTE," jamshedpur , Jawahar Nagar","Corporate Training, Professional development training",
13,IFBI," 1st Floor, Bistupur","Corporate Training, Professional development training",
14,Subhash Mishra,"7th Phase, Kadma, Jamshedpur","Corporate Training, People skills training",
15,IMS Learning Resources Private Limited," Jamshedpur, Bistupur","Corporate Training, People skills training",
16,Graphix n Pix Academy," Mango, Mango","Multimedia Design Training, Animation & Multimedia training",
17,NIIT,"Thakurbadi Road , Sakchi","Multimedia Design Training, CAD & CAM training",
18,AVSAR Training & Consultancy Services Pvt. Ltd.,"Baradwari, Sakchi","Multimedia Design Training, Animation & Multimedia training",
19,ANSR CAD CAM Solution,"South Park, Bistupur","Multimedia Design Training, Animation & Multimedia training",
20,a2z web creator,"Near Ambition Tower, Adityapur","Multimedia Design Training, Adobe training",
21,C.M.S. Computer Instiute," Q Road, Bistupur","Multimedia Design Training, CAD & CAM training",
22,Informatics Computer Institute,"J Road, Sakchi","Multimedia Design Training, CAD & CAM training",
23,SVR Technologies,"Jamshedpur, Jamshedpur - 400001","Multimedia Design Training, CAD & CAM training",
24,Sketchbook Creations," Post Office Road, Jamshedpur","Multimedia Design Training, Animation & Multimedia training",
25,Frameboxx Animation & Visual Effects," Ranchi - 834002, Jamshedpur, Jamshedpur","Multimedia Design Training, Animation & Multimedia training",
26,Insight Classes & Career Junction," Kasidih, Sakchi","AMIE Coaching, ENGG / ARCH entrance exam coaching",
27,Pallavi Choudhary," Adityapur, Kharangajhar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
28,Shree Krishna Institute of Developing Talent,"Sidhgora Market, Sidhgora, Jamshedpur","AMIE Coaching, Law entrance exam coaching",
29,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","AMIE Coaching, Law entrance exam coaching",
30,XCEL JEE ACADEMY," Jamshedpur, Dimna Chawk, Jamshedpur","AMIE Coaching, ENGG / ARCH entrance exam coaching",
31,XCEL JEE ACADEMY," Jamshedpur, Dimna Chawk","AMIE Coaching, ENGG / ARCH entrance exam coaching",
32,Insight Classes & Career Junction," Kasidih, Sakchi",Bank Exam Coaching,
33,Intello Academy,"Thakurbari Road, Sakchi, Jamshedpur",Bank Exam Coaching,
34,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur",Bank Exam Coaching,
35,Viraj Eduventures," ambagan., Sakchi",Bank Exam Coaching,
36,WEBPRO WEBSITE DESIGN COMPANY FREELANCER,"TANK ROAD SAKCHI, Sakchi",Bank Exam Coaching,
37,prabhat classes," SAKCHI, Sakchi",Bank Exam Coaching,
38,Mahendra Educational Pvt. Ltd.,"Tank Road, Sakchi",Bank Exam Coaching,
39,Way to Learn," persudih, Parsudih, jamshedpur",Bank Exam Coaching,
40,Rajen Sir (QUANTAMATICS CLASSES)," Aambagan, Sakchi",Bank Exam Coaching,
41,Prabhat classes," Jamshedpur-831017, Baridih Basti",Bank Exam Coaching,
42,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih, Jamshedpur","CAT Coaching Centers, Law entrance exam coaching",
43,Shree Krishna Institute of Developing Talent,"Sidhgora Market, Sidhgora, Jamshedpur","CAT Coaching Centers, Law entrance exam coaching",
44,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","CAT Coaching Centers, Law entrance exam coaching",
45,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih, Jamshedpur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
46,Shree Krishna Institute of Developing Talent,"Sidhgora Market, Sidhgora, Jamshedpur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
47,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
48,Career Launcher,"Bistupur Main Road, Bistupur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
49,IMS,"Thakurbari Road, Sakchi","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
50,Intello Academy,"Thakurbari Road, Sakchi, Jamshedpur","CTET Coaching, Teachers exam coaching",
51,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","CTET Coaching, UGC NET coaching",
52,Helping Hand Foundation Trust," Bistupur Jamshedpur, Bistupur","CTET Coaching, Teachers exam coaching",
53,Expert competition centre,"Main Road vidhyapati Nagar near Birsa munda town Hall , Baridih","CTET Coaching, UGC NET coaching",
54,The Guardian Classes,"Aambagan, Sakchi","CTET Coaching, Teachers exam coaching",
55,Career Adda," Sakchi, Sakchi","CTET Coaching, UPSC exam coaching",
56,Student's Standard Classes,"Main Road, Adityapur, Jamshedpur","CTET Coaching, UGC NET coaching",
57,Insight Classes & Career Junction," Kasidih, Sakchi","IBPS Bank Interview Coaching, Bank exam coaching",
58,prabhat classes," SAKCHI, Sakchi","IBPS Bank Interview Coaching, Bank exam coaching",
59,Mahendra Educational Pvt. Ltd.,"Tank Road, Sakchi","IBPS Bank Interview Coaching, Bank exam coaching",
60,Intello Academy,"Thakurbari Road, Sakchi, Jamshedpur","IBPS Bank Interview Coaching, Bank exam coaching",
61,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","IBPS Bank Interview Coaching, Bank exam coaching",
62,WEBPRO WEBSITE DESIGN COMPANY FREELANCER,"TANK ROAD SAKCHI, Sakchi","IBPS Bank Interview Coaching, Bank exam coaching",
63,Rajen Sir (QUANTAMATICS CLASSES)," Aambagan, Sakchi","IBPS Bank Interview Coaching, Bank exam coaching",
64,Asian Career Institute,"6th floor sana complex Thakurbari Road Aambagan sakchi, Sakchi","IBPS Bank Interview Coaching, Bank exam coaching",
65,Sunflower Publication Printing Work,"Industrial Estate, Adityapur","IBPS Bank Interview Coaching, Bank exam coaching",
66,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih, Jamshedpur","KMAT Coaching, Law entrance exam coaching",
67,Shree Krishna Institute of Developing Talent,"Sidhgora Market, Sidhgora, Jamshedpur","KMAT Coaching, Law entrance exam coaching",
68,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","KMAT Coaching, Law entrance exam coaching",
69,Career Launcher,"Bistupur Main Road, Bistupur","KMAT Coaching, Law entrance exam coaching",
70,SIDDH ACADEMY,"g-79, Sakchi","KMAT Coaching, Law entrance exam coaching",
71,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih, Jamshedpur","Language Training Centres, Indian language training",
72,Insight Classes & Career Junction," Kasidih, Sakchi","Language Training Centres, Spoken english training",
73,Intello Academy,"Thakurbari Road, Sakchi, Jamshedpur","Language Training Centres, Spoken english training",
74,Jsld,"B5 f8E moon city mango jamshedpur, Mango, Jamshedpur","Language Training Centres, Spoken english training",
75,Helping Hand Foundation Trust," Bistupur Jamshedpur, Bistupur","Language Training Centres, Spoken english training",
76,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih, Jamshedpur","Law Entrance Coaching, Law entrance exam coaching",
77,Shree Krishna Institute of Developing Talent,"Sidhgora Market, Sidhgora, Jamshedpur","Law Entrance Coaching, Law entrance exam coaching",
78,Intello Academy,"Thakurbari Road, Sakchi, Jamshedpur","Law Entrance Coaching, Law entrance exam coaching",
79,"Sanchaar.Net Internet Cafe Cyber Cafe In Baridih , Birsanagar,Telco,Golmuri,Sidhgora","Shop No - 88 Old Purani Line Baridih Near Baiju Gari Repairing Shop Baridih , New Baridih, Jamshedpur","Law Entrance Coaching, Law entrance exam coaching",
80,Career Launcher,"Bistupur Main Road, Bistupur","Law Entrance Coaching, Law entrance exam coaching",
81,IMS,"Thakurbari Road, Sakchi","Law Entrance Coaching, Law entrance exam coaching",
82,SANCHAAR.NET CYBER CAFE INTERNET CAFE IN BARIDIH JAMSHEDPUR,"Baridih near mishti bhog, Baridih","NATA Coaching, Law entrance exam coaching",
83,Academy of Fashion & Art,"Thakurbari Road, Sakchi","NATA Coaching, ENGG / ARCH entrance exam coaching",
84,Shree Krishna Institute of Developing Talent,"Sidhgora Market, Sidhgora","NATA Coaching, Law entrance exam coaching",
