,NAME,LOCATION,COURSES,CONTACT NO.
0,Edumyra Services Pvt. Ltd.,Also Servicing in Kanpur,Engineering Colleges,+917670824195_
1,Ganga Group of Institutions,Also Servicing in Kanpur,Engineering Colleges,+911140130992_
2,Mangalmay Group of Institutions,Also Servicing in Kanpur,Engineering Colleges,+911140131069_
3,Sha-Shib Aviation Academy,Also Servicing in Kanpur,Engineering Colleges,+917569001706_
4,Sha-Shib Aerospace Engineering,Also Servicing in Kanpur,Engineering Colleges,
5,Seth Sriniwas Agarwal Institute of Engineering & Technology," GT Road, Naramau",Engineering Colleges,
6,Pranveer Singh Institute of Technology," Kanpur Agra Highway, Bhauti Pratappur",Engineering Colleges,
7,Naraina Group of Institutions," Gangaganj, Panki ",Engineering Colleges,
8,Axis Institute of Technology & Management,"Hatipur Roma, Hatia",Engineering Colleges,
9,Dayanand Dinanath Institute of Technology - Admin Office,"Fg, Kalyanpur",Engineering Colleges,
10,IMS Learning Resources Pvt. Ltd.," ground floor, Kakadeo, Kanpur","Entrance Exam Coaching, Law entrance exam coaching",+911140169613_
11,T.I.M.E.," Kanpur, Mall Road, Kanpur","Entrance Exam Coaching, Law entrance exam coaching",+911140166460_
12,Rajendra Bhatia's Design IFAAA,Also Servicing in Kanpur,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918048031945_
13,Success Mantra,Also Servicing in Kanpur,"Entrance Exam Coaching, Law entrance exam coaching",+911140130921_
14,Pahal Design,Also Servicing in Kanpur,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140016535_
15,Starminds Educations," Adjacent Narayan Deep Apartment, Tilak Nagar, Kanpur","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140467891_
16,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kanpur,"Entrance Exam Coaching, Law entrance exam coaching",+919021117605_
17,Vikramaditya Academy,Also Servicing in Kanpur,"Entrance Exam Coaching, School entrance exam coaching",+911140497196_
18,The Rising Smart Education Center,Also Servicing in Kanpur,"Entrance Exam Coaching, School entrance exam coaching",+911140135033_
19,Design Square,Also Servicing in Kanpur,"Entrance Exam Coaching, Design entrance exam coaching",+911140139666_
20,Flyway Airhosters Academy,Also Servicing in Kanpur,"Job Training Centres, Aviation job training",+911140120948_
21,Webganges Technologies Pvt. Ltd.," Ramdevi Chauraha, Ramadevi, Kanpur","Job Training Centres, Digital marketing job training",+911140139046_
22,Dayitwa Consultancy Services Pvt. Ltd.,Also Servicing in Kanpur,"Job Training Centres, Engineering and technician job training",+911140116530_
23,Eduvista Skill Power Academy,Also Servicing in Kanpur,"Job Training Centres, Occupational safety job training",+911140166482_
24,National Institute Of Event Management,Also Servicing in Kanpur,"Job Training Centres, Arts & media job training",+919883036258_
25,International Maritime Consultancy Services,Also Servicing in Kanpur,"Job Training Centres, Engineering and technician job training",+917569005112_
26,Foreign Trade Management & Training Centre,Also Servicing in Kanpur,"Job Training Centres, Manufacturing & logistics job training",+911140017424_
27,Jaya Agarwal,Also Servicing in Kanpur,"Job Training Centres, Arts & media job training",+917949075036_
28,National Digital Marketing Institute & Training,Also Servicing in Kanpur,"Job Training Centres, Digital marketing job training",+911140126815_
29,Finesse Institution Of Art & Animation," The Chat Chauraha, Kanpur Chowk, Kanpur","Job Training Centres, Construction & interior designing job training",+911140126634_
30,Shiksha Mitra (OPC) Pvt. Ltd.,Also Servicing in Kanpur,"Overseas Education Consultants, Overseas education",+911140118344_
31,mbbsuniversities.com,Also Servicing in Kanpur,"Overseas Education Consultants, Overseas education",
32,Univers Education,Also Servicing in Kanpur,"Overseas Education Consultants, Overseas education",+911140126227_
33,Krest Consultants,Also Servicing in Kanpur,"Overseas Education Consultants, Overseas education",+917949070835_
34,REX GBE SERVICES [ LA SIERRA UNIVERSITY ],Also Servicing in Kanpur,"Overseas Education Consultants, Overseas education",+912249411354_
35,Girnarsoft Education Services Private limited,Also Servicing in Kanpur,"Overseas Education Consultants, Overseas education",+911140147204_
