,NAME,LOCATION,COURSES,CONTACT NO.
0,Hindustan Aerospace & Engineering,Also Servicing in Kolhapur,Engineering Colleges,+917303178220_
1,Tatyasaheb Kore Institute of Engineering & Technology,"Warananagar, Panhala",Engineering Colleges,
2,Sanjay Ghodawat Institute of Technology Management & Research,"Sangli Highway, Atigre",Engineering Colleges,
3,No,"Lakshmipuri, Kolhapur - ",Engineering Colleges,
4,Arignar Anna Institute of Science & Technology," Valasaravakkam, Kolhapur, Kolhapur",Engineering Colleges,
5,DKTE Society's Textile & Engineering Institute," D.K.T.E. Socity, Ichalkaranji",Engineering Colleges,
6,DR JJ Magdum College of Engineering,"Shirol Wadi Road, Jaisingpur R.S.",Engineering Colleges,
7,Ashokrao Mane Polytechnic," Vadgaon Taluka, Hatkanangale",Engineering Colleges,
8,Bss Computer College,"Venus Corner, Shahupuri",Engineering Colleges,
9,Sou Sushila Danchand Ghodawat Cha Trusts Group of Institution,"Atigre , Hatkanangale",Engineering Colleges,
10,Sukhoi Academy,Also Servicing in Kolhapur,"Entrance Exam Coaching, Law entrance exam coaching",+911140128241_
11,EQL Classes,Also Servicing in Kolhapur,"Entrance Exam Coaching, Law entrance exam coaching",+912249434118_
12,Study Smart,Also Servicing in Kolhapur,"Entrance Exam Coaching, Foreign education entrance exam coaching",
13,INPS Classes,Also Servicing in Kolhapur,"Entrance Exam Coaching, Computer science entrance exam coaching",+911140169257_
14,My Design Studio,Also Servicing in Kolhapur,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
15,Swayam Art Academy,Also Servicing in Kolhapur,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249426540_
16,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolhapur,"Entrance Exam Coaching, Law entrance exam coaching",+919066021467_
17,Career Launcher,Also Servicing in Kolhapur,"Entrance Exam Coaching, Law entrance exam coaching",+911140116431_
18,Institute For Advanced Studies,Also Servicing in Kolhapur,"Entrance Exam Coaching, Medical entrance exam coaching",+919021119642_
19,Aarnell Education & Training Services,Also Servicing in Kolhapur,"Entrance Exam Coaching, Management entrance exam coaching",+912249430631_
20,NJEDUTECH,Also Servicing in Kolhapur,"Job Training Centres, HR & Administration job training",+919883030081_
21,Foreign Trade Management & Training Centre,Also Servicing in Kolhapur,"Job Training Centres, Manufacturing & logistics job training",+911140017424_
22,Jaya Agarwal,Also Servicing in Kolhapur,"Job Training Centres, Arts & media job training",+917949075036_
23,"Adventure Flight Education Pvt. Ltd.,",Also Servicing in Kolhapur,"Job Training Centres, Aviation job training",+917569001435_
24,Parmanand College of Fire Engineering & Safety Management,Also Servicing in Kolhapur,"Job Training Centres, Occupational safety job training",+917569010332_
25,NSFM ONLINE SHARE MARKET COURSES,Also Servicing in Kolhapur,"Job Training Centres, Share market courses",+912249428238_
26,Fashionbox institute of design,Also Servicing in Kolhapur,"Job Training Centres, Fashion and apparel design training",+917949074567_
27,AIDM: Asian Institute Of Digital Marketing,Also Servicing in Kolhapur,"Job Training Centres, Digital marketing job training",+911140147372_
28,Wealth Note Share Market Academy,Also Servicing in Kolhapur,"Job Training Centres, Share market courses",+912249434323_
29,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Kolhapur,"Job Training Centres, Banking, Finance & GST job training",
30,Sairam Educational Consultants,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+912249410895_
31,Edifice Education,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+912249460374_
32,Annabella Med Educare,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+917569010422_
33,Finix Education Academy,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+912249434665_
34,VAC Global Education,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+911140142433_
35,Ae Educational Advisors Pvt. Ltd.,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+911140118215_
36,AISPL Education,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",+919021103168_
37,FINESSE ACADEMY,"E Ward, Shahupuri","Overseas Education Consultants, Overseas education",
38,Cognizant Educational Consultants Pvt. Ltd.,"Tarabai Park, Karveer","Overseas Education Consultants, Overseas education",
39,Confluence Educational Services Pvt. Ltd.,Also Servicing in Kolhapur,"Overseas Education Consultants, Overseas education",
40,Adyasha Educon,"Dabholkar Corner, Kolhapur - 416001","Corporate Training, Language lab training",
41,ShuHaRi Digital Marketing Consultants," Kolhapur., Rajarampuri, Kolhapur","Corporate Training, Professional development training",
42,Smart Trade,"Manganwlarpeth, Kolhapur - 416012","Corporate Training, Professional development training",
43,Ganraj Patil," Kabnur, Chandur","Corporate Training, People skills training",
44,Indiacan Education Pvt. Ltd.," Ground Floor, Kasba Bavada","Corporate Training, Language lab training",
45,Jetking Infotrain Ltd.,Also Servicing in Kolhapur,Corporate Training,+912249433632_
46,Elegant Training Academy,Also Servicing in Kolhapur,"Corporate Training, People skills training",
47,IIHT,Also Servicing in Kolhapur,"Corporate Training, Language lab training",+912249437178_
48,I Fly Aviation,Also Servicing in Kolhapur,"Corporate Training, Call centre & BPO training",+919021116382_
49,Giant leap,Also Servicing in Kolhapur,"Corporate Training, People skills training",
50,Under I Roof - CADD,"Kolhapur, Rankala","Multimedia Design Training, CAD & CAM training",
51,Relish Infosoft," Market Yard Main Road, Market Yard","Multimedia Design Training, Adobe training",
52,Vivekanand Academy,"Rajyopadhye Bol, Mahadwar Road","Multimedia Design Training, Adobe training",
53,Seed Infotech Ltd.,"Paach Bunglow Chowk, Shahupuri","Multimedia Design Training, Animation & Multimedia training",
54,P Point Computer Education,"Shop No. 12, Kadamwadi","Multimedia Design Training, Adobe training",
55,Vantage Infotech Services Pvt. Ltd.,"4th Lane, Rajarampuri","Multimedia Design Training, Animation & Multimedia training",
56,Just Engineering Pvt. Ltd.,Also Servicing in Kolhapur,"Multimedia Design Training, CAD & CAM training",+917304077423_
57,Knowtran Technologies,"Near Railway Gate, Shahupuri, Kolhapur","Multimedia Design Training, CAD & CAM training",
58,Jetking Infotrain Ltd.,Also Servicing in Kolhapur,"Multimedia Design Training, CAD & CAM training",+912249433632_
59,Creation Multimedia," 30 E-ward, New Shahupuri, Kolhapur","Multimedia Design Training, CAD & CAM training",
60,Lakshya Forum for Competitions," 1st Lane, Rajarampuri, Kolhapur","AMIE Coaching, ENGG / ARCH entrance exam coaching",
61,The Gate Academy,Also Servicing in Kolhapur,"AMIE Coaching, Law entrance exam coaching",+914449919914_
62,Modulation Institute,Also Servicing in Kolhapur,"AMIE Coaching, ENGG / ARCH entrance exam coaching",
63,Chate Coaching Classes Pvt. Ltd.,"Rajarampuri, Karveer","AMIE Coaching, Management entrance exam coaching",
64,New Disha English Speaking Centre,"4th Lane, Shahupuri","AMIE Coaching, Management entrance exam coaching",
65,Pre Ias Training Centre,"Paradise Residency, Karveer","AMIE Coaching, Management entrance exam coaching",
66,Gateforum,"Venus Corner, Shahupuri","AMIE Coaching, ENGG / ARCH entrance exam coaching",
67,Swaroop Science Classes,"Mirajkar Tikati, Manganwlarpeth","AMIE Coaching, ENGG / ARCH entrance exam coaching",
68,Infotrack - Upsc Guru,Also Servicing in Kolhapur,"AMIE Coaching, ENGG / ARCH entrance exam coaching",
69,Sukhoi Academy,Also Servicing in Kolhapur,"AMIE Coaching, Law entrance exam coaching",+911140128241_
70,Apti Academy,Also Servicing in Kolhapur,Bank Exam Coaching,+912249428242_
71,Pratibha Academy Kolhapur," Mirajkar Tikati - Binkhambi Ganesh Mandir Road, Manganwlarpeth, Kolhapur",Bank Exam Coaching,
72,ICA Job Guarantee," Dabholkar Corner, Station Road",Bank Exam Coaching,
73,Sikkim Manipal University,"Mirajkar Tikati, Manganwlarpeth",Bank Exam Coaching,
74,Trace - Training And Research Academy For Career Excellence,Also Servicing in Kolhapur,Bank Exam Coaching,
75,Career Launcher,Also Servicing in Kolhapur,Bank Exam Coaching,+911140116431_
76,Elan Academy,Also Servicing in Kolhapur,Bank Exam Coaching,+917569008302_
77,Chate Coaching Classes Pvt. Ltd.,"Rajarampuri, Karveer",Bank Exam Coaching,
78,New Disha English Speaking Centre,"4th Lane, Shahupuri",Bank Exam Coaching,
79,Pre Ias Training Centre,"Paradise Residency, Karveer",Bank Exam Coaching,
80,EQL Classes,Also Servicing in Kolhapur,"CAT Coaching Centers, Law entrance exam coaching",+912249434118_
81,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolhapur,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
82,Tarkashastra,Also Servicing in Kolhapur,"CAT Coaching Centers, Management entrance exam coaching",+912249434464_
83,Guru's Classes,Also Servicing in Kolhapur,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
84,The Prayas India,Also Servicing in Kolhapur,"CAT Coaching Centers, Law entrance exam coaching",+912249433642_
85,The Gate Academy,Also Servicing in Kolhapur,"CAT Coaching Centers, Law entrance exam coaching",+914449919914_
86,IMS LALKOTHI,Also Servicing in Kolhapur,"CAT Coaching Centers, Law entrance exam coaching",+918657608031_
87,T.I.M.E. Kolhapur," Rajaram road, Rajarampuri","CAT Coaching Centers, Management entrance exam coaching",
88,Career Launcher,Also Servicing in Kolhapur,"CAT Coaching Centers, Law entrance exam coaching",+911140116431_
89,Elan Academy,Also Servicing in Kolhapur,"CAT Coaching Centers, Management entrance exam coaching",+917569008302_
90,EQL Classes,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249434118_
91,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
92,Guru's Classes,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
93,The Prayas India,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433642_
94,The Gate Academy,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+914449919914_
95,IMS LALKOTHI,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+918657608031_
96,Apti Academy,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249428242_
97,T.I.M.E. Kolhapur," Rajaram road, Rajarampuri","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
98,Elan Academy,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569008302_
99,ICE College of Management,Also Servicing in Kolhapur,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249410955_
100,The Gate Academy,Also Servicing in Kolhapur,"CTET Coaching, UGC NET coaching",+914449919914_
101,ICE College of Management,Also Servicing in Kolhapur,"CTET Coaching, UPSC exam coaching",+912249410955_
102,Apti Academy,Also Servicing in Kolhapur,"IBPS Bank Interview Coaching, Bank exam coaching",+912249428242_
103,ICA Job Guarantee," Dabholkar Corner, Station Road","IBPS Bank Interview Coaching, Bank exam coaching",
104,Elan Academy,Also Servicing in Kolhapur,"IBPS Bank Interview Coaching, Bank exam coaching",+917569008302_
105,Chate Coaching Classes Pvt. Ltd.,"Rajarampuri, Karveer","IBPS Bank Interview Coaching, Bank exam coaching",
106,New Disha English Speaking Centre,"4th Lane, Shahupuri","IBPS Bank Interview Coaching, Bank exam coaching",
107,Pre Ias Training Centre,"Paradise Residency, Karveer","IBPS Bank Interview Coaching, Bank exam coaching",
108,Sikkim Manipal University,"Mirajkar Tikati, Manganwlarpeth","IBPS Bank Interview Coaching, Bank exam coaching",
109,Study Circle,"10th Lane, Rajarampuri","IBPS Bank Interview Coaching, Bank exam coaching",
110,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolhapur,"KMAT Coaching, Law entrance exam coaching",+919066021467_
111,The Gate Academy,Also Servicing in Kolhapur,"KMAT Coaching, Law entrance exam coaching",+914449919914_
112,Elan Academy,Also Servicing in Kolhapur,"KMAT Coaching, Management entrance exam coaching",+917569008302_
113,ICE College of Management,Also Servicing in Kolhapur,"KMAT Coaching, Management entrance exam coaching",+912249410955_
114,Sukhoi Academy,Also Servicing in Kolhapur,"KMAT Coaching, Law entrance exam coaching",+911140128241_
115,National Institute,Also Servicing in Kolhapur,"KMAT Coaching, Law entrance exam coaching",+912249426892_
116,NJEDUTECH,Also Servicing in Kolhapur,"Language Training Centres, Spoken english training",+919883030081_
117,Fundaskill Services (OPC) Pvt. Ltd.,Also Servicing in Kolhapur,"Language Training Centres, Foreign language training",+918048042700_
118,Education Academy for English Speaking,Also Servicing in Kolhapur,"Language Training Centres, Spoken english training",+912249412208_
119,Ocean Language Academy,Also Servicing in Kolhapur,"Language Training Centres, Foreign language training",+919021108933_
