,NAME,LOCATION,COURSES,CONTACT NO.
0,Taksheela Institute of Education," Palm Avenue, Ballygunge, Kolkata","Entrance Exam Coaching, Management entrance exam coaching",+911140137846_
1,Eduaims Educational Services Pvt. Ltd.," Ballygunj Circular Road, Ballygunge, Kolkata","Entrance Exam Coaching, Management entrance exam coaching",+911140137563_
2,Sc Overseas Consultancy Services Pvt. Ltd.," 4th Floor, Dalhousie, Kolkata","Entrance Exam Coaching, Foreign education entrance exam coaching",+911140166337_
3,Agrani Education," Ramkrishna Upanibesh, Jadavpur, Kolkata","Entrance Exam Coaching, Nursing entrance exam coaching",+911140140915_
4,Success Point,"lake Terrace, Keyatala, Kolkata","Entrance Exam Coaching, Management entrance exam coaching",+911140135954_
5,Dheyan,"17/36 Dakshindari Road , Lake Town, Kolkata","Entrance Exam Coaching, Law entrance exam coaching",+911140136108_
6,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge, Kolkata","Entrance Exam Coaching, Foreign education entrance exam coaching",+911140132596_
7,Cubix Educational Institute Pvt. Ltd.," Kamdhenu Building, Park Street, Kolkata","Entrance Exam Coaching, Management entrance exam coaching",+911140139860_
8,Bhanwar Rathore Design Studio,Also Servicing in Kolkata,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949070852_
9,Worldwin," Nr Tank 9, Salt Lake City, Kolkata","Entrance Exam Coaching, Management entrance exam coaching",+911140136052_
10,J.T. Aviation Academy," North 24 Parganas, Baguiati, Kolkata","Job Training Centres, Aviation job training",+911140137763_
11,Inifd Saltlake," Sector-1, Salt Lake City, Kolkata","Job Training Centres, Construction & interior designing job training",+917620697390_
12,George Institute of Interior Design," opposite of Kohinoor building , Park Street, Kolkata","Job Training Centres, Construction & interior designing job training",+911140128256_
13,Golden Wings Talent Academy," Cit Road, Kankurgachi, Kolkata","Job Training Centres, Beauty and spa job training",+911140165846_
14,Golden Wings Talent Academy," Cit Road, Kankurgachi, Kolkata","Job Training Centres, Beauty and spa job training",+911140165846_
15,R.T.D.I Batanagar," Bylane - 1, Maheshtala, Kolkata","Job Training Centres, Construction & interior designing job training",+911140142260_
16,Dream Zone School of Creative Studies," 86 Golaghata Road, Ultadanga, Kolkata","Job Training Centres, Construction & interior designing job training",+911140139135_
17,The Inspiration," Kudghat Metro, Bansdroni, Kolkata","Job Training Centres, Beauty and spa job training",+911140166420_
18,Profex Institute Of Technical Education," J.N. Road, Park Street, Kolkata","Job Training Centres, Construction & interior designing job training",+911140119221_
19,Aakar Academy," Sector - 1, Salt Lake City, Kolkata","Job Training Centres, Digital marketing job training",+911140016425_
20,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge, Kolkata","Overseas Education Consultants, Overseas education",+911140132596_
21,Taksheela Institute of Education," Palm Avenue, Ballygunge, Kolkata","Overseas Education Consultants, Overseas education",+911140137846_
22,Sc Overseas Consultancy Services Pvt. Ltd.," 4th Floor, Dalhousie, Kolkata","Overseas Education Consultants, Overseas education",+911140166337_
23,Global Reach Education Services Pvt. Ltd.," The Millenium 235/2A, Elgin, Kolkata","Overseas Education Consultants, Overseas education",+919883038196_
24,Orion Edutech Pvt. Ltd.," 1st Floor, Rajarhat, Kolkata","Overseas Education Consultants, Overseas education",+911140139594_
25,Worldwin," Nr Tank 9, Salt Lake City, Kolkata","Overseas Education Consultants, Overseas education",+911140136052_
26,MBBSSOLUTION.COM,"15c Sarat Bose Road, Ballygunge, Kolkata","Overseas Education Consultants, Overseas education",+911140016688_
27,CLM COLLEGELAB MENTORING PRIVATE LIMITED," 1 Camac Street, Park Street, Kolkata","Overseas Education Consultants, Overseas education",+911140147536_
28,Sputnik Education Services," Durgapur, Golf Green, Kolkata","Overseas Education Consultants, Overseas education",+911140142431_
29,Zenith Educational Services," Lalbazar, Lal Bazar, Kolkata","Overseas Education Consultants, Overseas education",+911140137703_
30,KIMB Media & Broadcasting,"Golpark, Gariahat, Kolkata","Corporate Training, People skills training",+911140135883_
31,Sumit Kumar Choubey," seth bagan lal bagan road dumdum, Dum Dum, Kolkata","Corporate Training, Language lab training",+911141108762_
32,Diptajjal Banerjee," Talpukur Road, Sarsuna, Kolkata","Corporate Training, Professional development training",+911140139502_
33,ConsultSanjeevT," Howrah, Park Street, Kolkata","Corporate Training, People skills training",+911140118564_
34,We Care," Madurdaha, East Kolkata Township, Kolkata","Corporate Training, Language lab training",
35,The Institute of Computer Accountants,"D.H. Road, Behala","Corporate Training, Professional development training",
36,Brainware Computer Academy,"Ashwini Nagar, Baguiati, Kolkata","Corporate Training, Professional development training",
37,Novel Institute of Career Education,"Lal Bazar Street, Dalhousie","Corporate Training, Language lab training",
38,Nijantik The Yoga Center,"Minto Park, Elgin","Corporate Training, People skills training",
39,Answering Solutions,"Ballygunge Palace Road, Ballygunge","Corporate Training, Language lab training",
