,NAME,LOCATION,COURSES,CONTACT NO.
0,Edumyra Services Pvt. Ltd.," Sadaf Center, Aliganj, Lucknow",Engineering Colleges,+917670824195_
1,Himalayan Institute of Technology & Management," Paharpur, Chauraha",Engineering Colleges,
2,Aryavart Institute of Technology & Management," Utarethia, Lucknow Chowk H.O.",Engineering Colleges,
3,Central Institute of Plastics Engineering & Technology,"Amausi Industrial Area, Lucknow",Engineering Colleges,
4,Edbin India,"Raibareli Road, Telibagh",Engineering Colleges,
5,Himalayan Institute of Technology & Management,"Faizabad Road, Indira Nagar",Engineering Colleges,
6,Vidya Ashram Career Institute," Nirala Nagar, Hazratganj, Lucknow","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140126278_
7,Doctors & Engineers Institute(Giving Wings To Your Career)," Preti Bhawan, Hazratganj, Lucknow","Entrance Exam Coaching, Medical entrance exam coaching",+911140146111_
8,T.I.M.E.," Sky Business Center, Mahanagar, Lucknow","Entrance Exam Coaching, Law entrance exam coaching",+911140166979_
9,Brilliant Tutorials," Vipul Khand-6, Gomti Nagar, Lucknow","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917306903316_
10,Academy of fashion & art,"2-A Hasan Building 2 nd Floor Habibullah Estate , Hazratganj","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140186897_
11,Fundamakers," Aliganj, Jankipuram, Lucknow","Entrance Exam Coaching, Management entrance exam coaching",+917569012061_
12,Educate Next," Near Bhootnath, Indira Nagar, Lucknow","Entrance Exam Coaching, Law entrance exam coaching",+911140130977_
13,Pahaldesign Education Pvt. Ltd.,"HIG 7, Aliganj, lucknow","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+919021117459_
14,Academy For Creative Students,"Ashiyana Colony, Ashiyana, Lucknow","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140017539_
15,Paatshala Academy,"Shalimar Chauraha, Indira Nagar, Lucknow","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+919021117520_
16,Worldwide College Association," Vikalp Khand, Gomti Nagar, Lucknow","Overseas Education Consultants, Overseas education",+911140017555_
17,Career Plus," Sector A, Mahanagar","Corporate Training, People skills training",
18,Aptech Hardware & Networking Academy,"Sector K, Aliganj","Corporate Training, Language lab training",
19,Quantum English,"Sector F, Kapoorthala, Lucknow","Corporate Training, People skills training",
20,ACL Education Centre,"2nd Floor, Faizabad Road","Corporate Training, Professional development training",
21,College of Information & Technology,"Sitapur Main Road, Sitapur Road","Corporate Training, Professional development training",
22,Computer Academy & Service Centre,"Indira Nagar, Lucknow - 226016","Corporate Training, Professional development training",
23,Intel Computer Institute,"Bangla Bazar, Jail Road","Corporate Training, Professional development training",
24,Pass Computer,"Bangla Bazar, Bandi Mata Mandir Road","Corporate Training, Professional development training",
25,Canon Coaching Computer Institute,"Ganga Prasad Road, Aminabad","Corporate Training, Professional development training",
26,Busy Academy,"Latouche Road, Latouche Road","Corporate Training, Professional development training",
27,MAAC LUCKNOW," D block hazratganj lucknow, Hazratganj","Multimedia Design Training, CAD & CAM training",+918099937289_
28,Arena Animation Gomti Nagar," Vinay Khand opp. Tanishq and Senco showroom, Gomti Nagar, Lucknow","Multimedia Design Training, Adobe training",+911140497805_
29,ARENA ANIMATION ALIGANJ," Alkapuri, Aliganj, Lucknow","Multimedia Design Training, Adobe training",+911140164053_
30,Promosys Technology Pvt. Ltd.,"Faizabad Road, Indira Nagar, Lucknow","Multimedia Design Training, CAD & CAM training",+919021119436_
31,DREAM ZONE (KAPOORTHALA),"Lucknow - 226024, Aliganj, Lucknow","Multimedia Design Training, Adobe training",+911140117587_
32,Educadd Lucknow,"Lucknow - 226001, Hazratganj, Lucknow","Multimedia Design Training, CAD & CAM training",+911140467690_
33,TOONZ ANIMATIONS,"indira nagar, Faizabad Road","Multimedia Design Training, Adobe training",
34,Kreative Infotech," Halwasiya Market, Hazratganj, Lucknow","Multimedia Design Training, Adobe training",
35,Kalpanam Concepts," Sector M, Aliganj","Multimedia Design Training, Adobe training",
36,Pahaldesign Education Pvt. Ltd.,"HIG 7, Aliganj, lucknow","AMIE Coaching, ENGG / ARCH entrance exam coaching",+919021117459_
37,Paatshala Academy,"Shalimar Chauraha, Indira Nagar, Lucknow","AMIE Coaching, ENGG / ARCH entrance exam coaching",+919021117520_
38,"Utteprerak Academy For IIT-JEE, Medical & Foundation's","Chemistry , Gomti Nagar, Lucknow","AMIE Coaching, Management entrance exam coaching",
39,Traget Career,"Sector G, Kanpur Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",
40,IIT PMT Forum,"No. D-3221, Indira Nagar, Lucknow","AMIE Coaching, ENGG / ARCH entrance exam coaching",
41,Edunext India,"Nawal Kishore Road, Hazratganj","AMIE Coaching, Management entrance exam coaching",
42,Brigth Future Coaching Institute," Kalyanpur, Kalyanpur Ring Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",
43,Tech Forum,"Sector 13, Indira Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
44,NRT India," Sector 14, Indira Nagar, Lucknow","AMIE Coaching, ENGG / ARCH entrance exam coaching",
45,Avadh Tutorials,"Kanpur Road, Charbagh",Bank Exam Coaching,
46,Computer Empire,"Faizabad Road, Nishatganj",Bank Exam Coaching,
47,Sparkle English Classes,"Central Water Commission Office, Kapoorthala",Bank Exam Coaching,
48,URIT EDUCATION," CAMPWELL ROAD, Balaganj",Bank Exam Coaching,
49,Individual Maths for SSC & Bank,"Building No. 4/7, Gomti Nagar, Lucknow",Bank Exam Coaching,
50,Seed Learnopedia," sec I, Ashiyana",Bank Exam Coaching,
51,Lucknow,"Station, Gomti Nagar, Lucknow",Bank Exam Coaching,
52,Amit maths class,"60 Feet Rd, Sitapur Road",Bank Exam Coaching,
