,NAME,LOCATION,COURSES,CONTACT NO.
0,The Icfai University,Also Servicing in Ludhiana,Engineering Colleges,+911141108603_
1,Apeejay Institute Of Management & Engineering Technical Campus,Also Servicing in Ludhiana,Engineering Colleges,+911140168516_
2,Institute of Aeronautics & Engineering,Also Servicing in Ludhiana,Engineering Colleges,+918099937201_
3,Aryabhatta Group of Institutes," Barnala , Ludhiana",Engineering Colleges,
4,CNC PROGRAMMING TRAINING CENTRE,"ludhiana, Gill Road",Engineering Colleges,
5,Arignar Anna Institute of Science & Technology," Valasaravakkam, Ludhiana, Ludhiana",Engineering Colleges,
6,Radiant Institute of Engineering & Technology," Ferozepur, Ludhiana",Engineering Colleges,
7,Bhutta College of Engineering & Technology,"Ludhiana Rara Sahib Road, Bhutta",Engineering Colleges,
8,Guru Nanak Dev Engineering College,"Gill Park, Jawahar Market",Engineering Colleges,
9,Icfai University Tripura," Dolewal, Mall Road",Engineering Colleges,
10,KSA," Civil Lines, Kailash Chowk, Ludhiana","Entrance Exam Coaching, Law entrance exam coaching",+911140167438_
11,Institute Of International Education,Also Servicing in Ludhiana,"Entrance Exam Coaching, Law entrance exam coaching",+911140136243_
12,Pahal Design,Also Servicing in Ludhiana,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140016535_
13,Vikramaditya Academy,Also Servicing in Ludhiana,"Entrance Exam Coaching, School entrance exam coaching",+911140497196_
14,Shiv Ansh Art Coaching Academy,Also Servicing in Ludhiana,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140166526_
15,Wings Of Dreams Edu,Also Servicing in Ludhiana,"Entrance Exam Coaching, School entrance exam coaching",+912249437902_
16,QRIO Studio,Also Servicing in Ludhiana,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
17,Krishna Study Academy,Also Servicing in Ludhiana,"Entrance Exam Coaching, Law entrance exam coaching",+911140166742_
18,The Creative Compass,Also Servicing in Ludhiana,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917569862799_
19,Study Smart,Also Servicing in Ludhiana,"Entrance Exam Coaching, Foreign education entrance exam coaching",
20,Dayitwa Consultancy Services Pvt. Ltd.,Also Servicing in Ludhiana,"Job Training Centres, Digital marketing job training",+911140116530_
21,VLCC Health Care Ltd," 2ND FLOOR, Ludhiana H.O.","Job Training Centres, Beauty and spa job training",+911141109441_
22,NFCI Hotel Management & Culinary Institute," Near Passport Office, Preet Nagar, Ludhiana","Job Training Centres, Cooking & baking classes",+911140117082_
23,International Maritime Consultancy Services,Also Servicing in Ludhiana,"Job Training Centres, Engineering and technician job training",+917569005112_
24,Jaya Agarwal,Also Servicing in Ludhiana,"Job Training Centres, Arts & media job training",+917949075036_
25,IIFT- International Institute Of Fashion Technology," Deepak Hospital Road, Sarabha Nagar, Ludhiana","Job Training Centres, Construction & interior designing job training",+911140131077_
26,"Adventure Flight Education Pvt. Ltd.,",Also Servicing in Ludhiana,"Job Training Centres, Aviation job training",+917569001435_
27,IFM Trading Academy,Also Servicing in Ludhiana,"Job Training Centres, Share market courses",+911140116501_
28,CCIT - College of Computer & Information Technology," CCIT Lane, Model Town, Ludhiana","Job Training Centres, Digital marketing job training",+911140137761_
29,Oyester Institute Of Beauty & Wellness,"No. 174 - L, Model Town, Ludhiana","Job Training Centres, Beauty and spa job training",+911140017471_
30,Yellow Sapphire Visa & Education Consultants," Bharatnagar Road, Jawahar Nagar, Ludhiana","Overseas Education Consultants, Overseas education",+911140168778_
31,GGS Enterprises,Also Servicing in Ludhiana,"Overseas Education Consultants, Overseas education",+911140164945_
32,ELON CONSULTING SERVICE (OPC) PRIVATE LIMITED,Also Servicing in Ludhiana,"Overseas Education Consultants, Overseas education",+911140169517_
33,CW SERVICES,Also Servicing in Ludhiana,"Overseas Education Consultants, Overseas education",+911140120096_
34,Go Abroad Consultants,Also Servicing in Ludhiana,"Overseas Education Consultants, Overseas education",+911140136068_
35,VAC Global Education,Also Servicing in Ludhiana,"Overseas Education Consultants, Overseas education",+911140142433_
36,Axis International Education Consultant,"No. 2-A, Model Gram, Ludhiana","Overseas Education Consultants, Overseas education",
37,Eduworm Study Abroad Counselors,"Ghumar Mandi, Ghumar Mandi, Ludhiana","Overseas Education Consultants, Overseas education",
38,Absolute English Institute,"Dakha, Mullanpur","Overseas Education Consultants, Overseas education",
39,Kalyan Institute,"Feroze Gandhi Market, Ferozepur Road","Overseas Education Consultants, Overseas education",
40,Chinook Canada Immigration Services,Also Servicing in Ludhiana,"Corporate Training, People skills training",+911140116440_
41,Vision Institute,"GAD Nagar, Dholewal","Corporate Training, People skills training",
42,Spry Up Smart Classes,"#412 Near Nauharia Hospita , Jamalpur Colony, Ludhiana","Corporate Training, Professional development training",
43,Trainergenie," Near Holy Angels school, Bhai Randhir Singh Nagar, Ludhiana",Corporate Training,
44,Royal Scholarly World,"Gobind Nagar, Pakhowal Road","Corporate Training, People skills training",
45,G Tech,"Bharat Nagar, Ludhiana","Corporate Training, Language lab training",
46,IIFA,"Fountain Chowk, Civil Lines","Corporate Training, Language lab training",
47,India Can,"3rd Floor, Ludhiana","Corporate Training, Professional development training",
48,Mahendra's Institute,"2nd Floor, Link Road","Corporate Training, Professional development training",
49,Cherubic English Academy,"Rishi Nagar, Ludhiana - 141001","Corporate Training, Language lab training",
50,MAAC - Maya Academy of Advanced Cinematics,Also Servicing in Ludhiana,"Multimedia Design Training, Adobe training",+911140122053_
51,Arena Animation," Old Court Road, Civil Lines, Ludhiana","Multimedia Design Training, Adobe training",+917667307255_
52,Ak Global Infotech," Ludhiana H.O, Model Town, Ludhiana","Multimedia Design Training, Engineering design training",+911140127398_
53,Arena Animation,"Ram Nagar, Civil Lines, Ludhiana","Multimedia Design Training, Adobe training",
54,Shining 3D Animation & Rendering Services," Rajesh Nagar, Ghumar Mandi","Multimedia Design Training, CAD & CAM training",
55,CCIT,"Club Lane, Model Town, Ludhiana","Multimedia Design Training, Animation & Multimedia training",
56,hbinfotechsolutions," New Hargobind Nagar, Hargobind Nagar","Multimedia Design Training, Adobe training",
57,Animation Bugs," Chandigarh - 160017, Ludhiana, Ludhiana","Multimedia Design Training, CAD & CAM training",
58,Jain Coaching Centre,"Hambra Road, Haibowal Kalan","Multimedia Design Training, CAD & CAM training",
59,Numitech Solutions,"Feroze Gandhi Market, Ferozepur Road, Ludhiana","Multimedia Design Training, CAD & CAM training",
60,QRIO Studio,Also Servicing in Ludhiana,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
61,Roots Classes," Sua Road, Ludhiana H.O., Ludhiana","AMIE Coaching, ENGG / ARCH entrance exam coaching",+919021111503_
62,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana","AMIE Coaching, Law entrance exam coaching",
63,R. Minds English Solutions," Model Chowk, Gulati Chowk","AMIE Coaching, Management entrance exam coaching",
64,TCY,", Ludhiana - 141001","AMIE Coaching, Management entrance exam coaching",
65,Graduate Academy,Also Servicing in Ludhiana,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140120168_
66,The Gate Academy,Also Servicing in Ludhiana,"AMIE Coaching, Law entrance exam coaching",+914449919914_
67,Synergy IAS Academy,Also Servicing in Ludhiana,"AMIE Coaching, Law entrance exam coaching",
68,Modulation Institute,Also Servicing in Ludhiana,"AMIE Coaching, ENGG / ARCH entrance exam coaching",
69,Innovative Techno Institute,Also Servicing in Ludhiana,"AMIE Coaching, Management entrance exam coaching",
70,Sushankaram,Also Servicing in Ludhiana,Bank Exam Coaching,+919021119461_
71,IBT Institute Pvt Ltd.," SCO-3, Ferozepur Road, Ludhiana",Bank Exam Coaching,+911140169301_
72,Edu Academy,"No. 5, Field Ganj",Bank Exam Coaching,
73,Shri Krishna Tutorial,"Santokh Nagar, New Shivpuri",Bank Exam Coaching,
