,NAME,LOCATION,COURSES,CONTACT NO.
0,Aarupadai Veedu Institute Of Technology,Also Servicing in Madurai,Engineering Colleges,+914446294334_
1,Latha Mathavan Engineering College,"Latha Mathavan Nagar, Kidaripatti",Engineering Colleges,
2,Madurai Institute of Engineering & Technology,"Sivagangai District, Pottapatti",Engineering Colleges,
3,Vickram College of Engineering," Sreenivasa Gardens, Enathi",Engineering Colleges,
4,CR Engineering College,"Alagarkoil Road, Alagarkoil",Engineering Colleges,
5,Central Institute of Plastics Engineering & Technology,"Paddy & Flower Market, Melur",Engineering Colleges,
6,SACS MAVMM Engineering College,"Kidaripatti, Alagarkoil",Engineering Colleges,
7,St. Michael College of Engineering & Technology,"Sivagangai Road, Shenoy Nagar",Engineering Colleges,
8,KLN College of Engineering & Technology,"Sivagangai Road, Shenoy Nagar",Engineering Colleges,
9,Sri Raaja Raajan College of Engineering & Technology," Karaikudi, Karadikal",Engineering Colleges,
10,Starets Academy," Vakkil New Street, Simmakkal, Madurai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449904561_
11,Sai Hayagriva Academy," Rakesh Tower, Bypass Road, Madurai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449906289_
12,Sri Agni Meena Neet Academy,"No 86 kambar 1 street near natraj theter, Bypass Road, madurai","Entrance Exam Coaching, Medical entrance exam coaching",+914449852122_
13,Broadmind Consultant," Madurai City, Tallakulam, Madurai","Entrance Exam Coaching, Management entrance exam coaching",+919021116721_
14,IELTS Training Council," LIG Colony, Anna Nagar, Madurai","Entrance Exam Coaching, Foreign education entrance exam coaching",+914449922364_
15,I-Arch NATA Coaching Centre," 80 Feet Road, Anna Nagar, Madurai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449910159_
16,Triumphhub Training And Placement Institute,"Madurai, Shenoy Nagar, Madurai","Entrance Exam Coaching, Foreign education entrance exam coaching",+914449903139_
17,S.S. Medical Academy,Also Servicing in Madurai,"Entrance Exam Coaching, Medical entrance exam coaching",+918048043715_
18,Ed-Trix,Also Servicing in Madurai,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449908949_
19,Axent Institute,Also Servicing in Madurai,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449925655_
20,Jaya Meenakshi Training Institute," Surya Nagar, K. Pudur, Madurai","Job Training Centres, Beauty and spa job training",+919021119189_
21,Jaya Meenakshi Training Institute," Surya Nagar, K. Pudur, Madurai","Job Training Centres, Beauty and spa job training",+919021119189_
22,A.K. Safety Training Consultancy Pvt. Ltd.,Also Servicing in Madurai,"Job Training Centres, Occupational safety job training",+919021119371_
23,TWG Group,Also Servicing in Madurai,"Job Training Centres, Engineering and technician job training",+914449853274_
24,National Institute Of Management & Science," 80 Feet Road, Anna Nagar, Madurai","Job Training Centres, Banking, Finance & GST job training",+919883039130_
25,Sri Vasantham Beautician Course & Bridal Artist," Keelavaithiyanathapuram, Madurai North, Madurai","Job Training Centres, Beauty and spa job training",+914449854909_
26,Jaya Agarwal,Also Servicing in Madurai,"Job Training Centres, Arts & media job training",+917949075036_
27,Hi - Tech Cad Cam Centre," TPK Road, Periyar Bus Stand, Madurai","Job Training Centres, Engineering and technician job training",+919021117294_
28,Lash Branded Salon & Bridal Studio," Pt Rajan Main Road, Narimedu","Job Training Centres, Beauty and spa job training",+914449851062_
29,Innovative Engineering Solution,Also Servicing in Madurai,"Job Training Centres, Engineering and technician job training",+914449853526_
30,Broadmind Consultant," Madurai City, Tallakulam, Madurai","Overseas Education Consultants, Overseas education",+919021116721_
31,Sarem Education,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914449850077_
32,Safeway Edu Consultancy,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914449850939_
33,Divine Medicus Education,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914446292858_
34,Girnarsoft Education Services Private limited,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+911140147204_
35,Truematics Overseas Education Consultancy,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914449851757_
36,Thirdwave Overseas Education,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+918286085761_
37,FMG Educations Pvt. Ltd,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914449912239_
38,Infinity Doctors Educational Consultancy,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914449907861_
39,J-Global Overseas Educational Services,Also Servicing in Madurai,"Overseas Education Consultants, Overseas education",+914449852081_
40,Einstro Academy,Also Servicing in Madurai,"Corporate Training, Language lab training",+914449853346_
41,Modelexam," TPK Road, Andalpuram, Madurai","Corporate Training, Professional development training",
42,Kalvi Institute Pvt. Ltd.," Anna Nagar, Sathamangalam","Corporate Training, Call centre & BPO training",
43,Kalvi Institute Pvt. Ltd.,"1st Main Road, K.K. Nagar, Madurai","Corporate Training, Language lab training",
44,PS Spoken English Center," Sivagami Nagar, Pudur Bazaar, Madurai","Corporate Training, Language lab training",
45,Kalvi Higher Education & Research Institute," China Chokkikulam , Chinna Chokkikulam, Madurai","Corporate Training, Language lab training",
46,Dawn Technologies,"3rd Street, Koodal Nagar","Corporate Training, Professional development training",
47,Balamuthalagu Industrial School," Keelavaithiyanathapuram, Thathaneri","Corporate Training, Call centre & BPO training",
48,Classyflares Customer Care Number..8388066116.Toll,"B.B. Road, Madurai - 625011","Corporate Training, Language lab training",
49,Shulabh Customer Care Number.8101320217.8388066116,"Anbu Nagar, Madurai - 625009","Corporate Training, Language lab training",
50,Cadd Academy," North Masi Street, Madurai City, Madurai","Multimedia Design Training, CAD & CAM training",+919021112951_
51,Hi - Tech Cad Cam Centre," TPK Road, Periyar Bus Stand, Madurai","Multimedia Design Training, CAD & CAM training",+919021117294_
52,Kalvi Institute," Bypass Road, Madurai Main, Madurai","Multimedia Design Training, Adobe training",+914449913415_
53,G-Tec Education," Sathayamoorthy Naga, Bypass Road, Madurai","Multimedia Design Training, Adobe training",+914446281868_
54,Dream Zone," 80 Feet Road, Anna Nagar, Madurai","Multimedia Design Training, CAD & CAM training",+914449924127_
55,Acharya Computer Education,"Gokhale Main Road, Chinna Chokkikulam, Madurai","Multimedia Design Training, CAD & CAM training",
56,Kalvi Higher Education & Research Institute," China Chokkikulam , Chinna Chokkikulam, Madurai","Multimedia Design Training, Adobe training",
57,Vruksha Institute of Technology," Jeyam Complex, Sakkudi, Madurai","Multimedia Design Training, Animation & Multimedia training",
58,Digital production school and solutions,"Bharathiyar street, K.K. Nagar, Madurai","Multimedia Design Training, Adobe training",
59,YkNot Creative Studies," Nelpettai Bus Stop , Simmakkal","Multimedia Design Training, CAD & CAM training",
60,Starets Academy," Vakkil New Street, Simmakkal, Madurai","AMIE Coaching, ENGG / ARCH entrance exam coaching",+914449904561_
61,DHR Academy," Meenakshi Nagar, Villapuram, Madurai","AMIE Coaching, ENGG / ARCH entrance exam coaching",+914446293142_
62,Aim 4 Amazing Institute of Management,"No. 393, Sathamangalam, Madurai","AMIE Coaching, Management entrance exam coaching",
63,Perrys coaching centre,"Somasundaram colony, Madurai City","AMIE Coaching, ENGG / ARCH entrance exam coaching",
64,LAKSHYA ACADEMY," Anna Nagar, Anna Nagar, Madurai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
65,Thirumala Tuitions & Coaching Centre," 3rd Floor, Kamarajar Salai, Madurai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
66,Merit Learning Solutions Pvt. Ltd.," By-Pass Road, Bypass Road, Madurai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
67,Adhavan Academy," Bypass Road, Madurai Main, Madurai","AMIE Coaching, Management entrance exam coaching",
68,LAKSHYA ACADEMY (7 ARROWS)," (near Naveen Tiffin centre) Anna Nag, Anna Nagar, Madurai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
69,The Gate Academy,Also Servicing in Madurai,"AMIE Coaching, Law entrance exam coaching",+914449919914_
70,Chennai Race Coaching Institute Pvt. Ltd,"Arapalayam Bus stand, Arapalayam, Madurai",Bank Exam Coaching,+914449906671_
71,NATIONAL INSTITUTE OF BANKING," Near RTO Office, Pudur Bazaar, Madurai",Bank Exam Coaching,+919883036208_
72,Dexter Academy," Bye Pass Road, Arapalayam, Madurai",Bank Exam Coaching,+914449918058_
73,R. Suresh Kannan,"Surya motors (two-wheeler workshop), TVS Nagar, Madurai",Bank Exam Coaching,
74,PS Spoken English Center," Sivagami Nagar, Pudur Bazaar, Madurai",Bank Exam Coaching,
75,Kalvi Higher Education & Research Institute," China Chokkikulam , Chinna Chokkikulam, Madurai",Bank Exam Coaching,
76,Indian IAS Academy,"Collector Office Road, Madurai Bazaar, Madurai",Bank Exam Coaching,
77,Institute of banking preparation for selection,"NORTH VELI STREET , Simmakkal, Madurai",Bank Exam Coaching,
78,Aim 4 Amazing Institute of Management,"No. 393, Sathamangalam, Madurai",Bank Exam Coaching,
79,Catalyst Education," Anna Nagar, Sathamangalam, Madurai",Bank Exam Coaching,
80,Annai Career Institute,"madurai - 625001, Simmakkal, Madurai","CAT Coaching Centers, Management entrance exam coaching",+919021117844_
81,IMS Learning Resources Pvt. Ltd.,Also Servicing in Madurai,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
82,Guru's Classes,Also Servicing in Madurai,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
83,The Prayas India,Also Servicing in Madurai,"CAT Coaching Centers, Law entrance exam coaching",+912249433642_
84,Catalyst Education," Anna Nagar, Sathamangalam, Madurai","CAT Coaching Centers, Management entrance exam coaching",
85,Ragams Academy for Career Enhancement(RACE),"Thirupparankundram(TPK) Road, Subramaniapuram, Madurai","CAT Coaching Centers, Management entrance exam coaching",
86,Spaarkz Academy,"2nd East Main Road, Anna Nagar, Madurai","CAT Coaching Centers, Management entrance exam coaching",
87,Indeeya Spa Centre For Women," Vel Murugan Nagar, Ponmeni, Madurai","CAT Coaching Centers, Management entrance exam coaching",
88,Railway adda institute," Madurai-625020, Anna Nagar","CAT Coaching Centers, Management entrance exam coaching",
89,Balsu's Success Academy," Tamil Nadu 625001, Simmakkal, Madurai","CAT Coaching Centers, Law entrance exam coaching",
90,IMS Learning Resources Pvt. Ltd.,Also Servicing in Madurai,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
91,Guru's Classes,Also Servicing in Madurai,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
92,The Prayas India,Also Servicing in Madurai,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433642_
93,Catalyst Education," Anna Nagar, Sathamangalam, Madurai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
94,Indeeya Tuition Centre,"Aparna enclave, Ponmeni, Madurai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
95,Balsu's Success Academy," Tamil Nadu 625001, Simmakkal, Madurai","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
96,Adhavan Academy," Bypass Road, Madurai Main, Madurai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
97,The Gate Academy,Also Servicing in Madurai,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+914449919914_
98,Routes Educational Institute,Also Servicing in Madurai,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
99,The Scholars Academy,"Chennai Silks Road, Madurai Main, Madurai","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
100,Catalyst Education," Anna Nagar, Sathamangalam, Madurai","CTET Coaching, UPSC exam coaching",
101,Thirumala Tuitions & Coaching Centre," 3rd Floor, Kamarajar Salai, Madurai","CTET Coaching, Teachers exam coaching",
102,The Gate Academy,Also Servicing in Madurai,"CTET Coaching, UGC NET coaching",+914449919914_
103,Routes Educational Institute,Also Servicing in Madurai,"CTET Coaching, UPSC exam coaching",
104,The Scholars Academy,"Chennai Silks Road, Madurai Main, Madurai","CTET Coaching, UGC NET coaching",
105,Subhaash IAS Academy," Vakkil New Street, Simmakkal, Madurai","CTET Coaching, UPSC exam coaching",
106,Radian IAS Academy,"Simmakkal, Madurai Main","CTET Coaching, UPSC exam coaching",
107,Elysium Technologies Pvt. Ltd.," Annanagar, 80 Feet Road, Madurai","CTET Coaching, UPSC exam coaching",
108,Dexter Academy,Also Servicing in Madurai,"CTET Coaching, UPSC exam coaching",
109,Tuition a+,Also Servicing in Madurai,"CTET Coaching, UGC NET coaching",
110,Chennai Race Coaching Institute Pvt. Ltd,"Arapalayam Bus stand, Arapalayam, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",+914449906671_
111,Dexter Academy," Bye Pass Road, Arapalayam, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",+914449918058_
112,R. Suresh Kannan,"Surya motors (two-wheeler workshop), TVS Nagar, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
113,PS Spoken English Center," Sivagami Nagar, Pudur Bazaar, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
114,Kalvi Higher Education & Research Institute," China Chokkikulam , Chinna Chokkikulam, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
115,Indian IAS Academy,"Collector Office Road, Madurai Bazaar, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
116,Aim 4 Amazing Institute of Management,"No. 393, Sathamangalam, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
117,Catalyst Education," Anna Nagar, Sathamangalam, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
118,Brain Train Solution,"Good Shed Street, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
119,Ragams Academy for Career Enhancement(RACE),"Thirupparankundram(TPK) Road, Subramaniapuram, Madurai","IBPS Bank Interview Coaching, Bank exam coaching",
120,IMS Learning Resources Pvt. Ltd.,Also Servicing in Madurai,"KMAT Coaching, Law entrance exam coaching",+919066021467_
121,Adhavan Academy," Bypass Road, Madurai Main, Madurai","KMAT Coaching, Management entrance exam coaching",
122,The Gate Academy,Also Servicing in Madurai,"KMAT Coaching, Law entrance exam coaching",+914449919914_
123,Arjun Academy," Chokkalinga Nagar Main Road, Bypass Road, Madurai","KMAT Coaching, Management entrance exam coaching",
124,Elan Academy,Also Servicing in Madurai,"KMAT Coaching, Management entrance exam coaching",+917569008302_
125,Skam Tuition Centre," Aibea A Colony Extension, Paravai, Madurai","KMAT Coaching, Management entrance exam coaching",
126,Point Academy NEET/IIT/JEE Coaching Center,Also Servicing in Madurai,"KMAT Coaching, Management entrance exam coaching",+914449855023_
127,Broadmind Consultant," Madurai City, Tallakulam, Madurai","Language Training Centres, Foreign language training",+919021116721_
128,Biznet Learning Solutions," 80 Feet Road, K.K. Nagar, Madurai","Language Training Centres, Indian language training",+914446293537_
129,Fundaskill Services (OPC) Pvt. Ltd.,Also Servicing in Madurai,"Language Training Centres, Foreign language training",+918048042700_
130,Einstro Academy,Also Servicing in Madurai,"Language Training Centres, Indian language training",+914449853346_
131,Spoken Enlish," Pallavi Nagar, Madurai West, Madurai","Language Training Centres, Spoken english training",+914449901936_
132,DHR Academy," Meenakshi Nagar, Villapuram, Madurai","Language Training Centres, Spoken english training",+914446293142_
133,Einstro Academy,Also Servicing in Madurai,"Language Training Centres, Foreign language training",+919021109257_
134,Alhamdulillah Centre,Also Servicing in Madurai,"Language Training Centres, Indian language training",+914449850108_
135,Complete Coaching Centre (Especially - Hindi Prachar Sabha),Also Servicing in Madurai,"Language Training Centres, Indian language training",+914449910129_
