,NAME,LOCATION,COURSES,CONTACT NO.
0,Dr. Vishwa Coaching Classes,"Veer Savarkar Road, Prabhadevi, Mumbai","Entrance Exam Coaching, Medical entrance exam coaching",+912249432716_
1,The Prayas India," Centre Square , Andheri West, Mumbai","Entrance Exam Coaching, Law entrance exam coaching",+912249433084_
2,The Prayas India," SV Road, Borivali West, Mumbai","Entrance Exam Coaching, Law entrance exam coaching",+912249434184_
3,Sukhoi Academy,Also Servicing in Mumbai,"Entrance Exam Coaching, Law entrance exam coaching",+911140128241_
4,Apex Consultants," Ram Mandir Road, Vile Parle East, Mumbai","Entrance Exam Coaching, Foreign education entrance exam coaching",+917569008524_
5,IBOP Academy," Ganesh Niwash 3, Borivali West, Mumbai","Entrance Exam Coaching, Law entrance exam coaching",+912249426938_
6,Uni Entree,"Thakur Niwas, Thane West, Mumbai","Entrance Exam Coaching, Management entrance exam coaching",+912249427395_
7,Bhanwar Rathore Design Studio,Also Servicing in Mumbai,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949070852_
8,Arkin Nata Classes," Anand Nagar, Vasai West, Mumbai","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249432020_
9,Deep Institute," Borivali w, Borivali, Mumbai","Entrance Exam Coaching, Management entrance exam coaching",+912249471311_
10,Synergy School of Business Skills - Cadd Centre,"A-303, Andheri East, Mumbai","Job Training Centres, Digital marketing job training",+912249426709_
11,I Step Learning," S.G Barve Marg, Kurla East, Mumbai","Job Training Centres, Engineering and technician job training",+912249433069_
12,Dimensional Academy Private Limited OPC,"Mumbai - 400069, Andheri East, Mumbai","Job Training Centres, Engineering and technician job training",+912249434626_
13,Financial Planning Academy," Shimpoli Road, Borivali West, Mumbai","Job Training Centres, Banking, Finance & GST job training",+912249431554_
14,Radiance Ladies Salon Spa & Academy," Dattani Park, Kandivali East, Mumbai","Job Training Centres, Beauty and spa job training",+912249410113_
15,National Academy Of Media And Events," Janki Devi School Road, Andheri West, Mumbai","Job Training Centres, Arts & media job training",+912249437671_
16,Prodigenius Edtech Solutions Pvt. Ltd.," Link Road, Malad West, Mumbai","Job Training Centres, Digital marketing job training",+912249427574_
17,NIFSE-Jogeshwari,"Balasaheb trauma care hospital, Jogeshwari East, mumbai","Job Training Centres, Occupational safety job training",+912249427899_
18,Safety Rise Technical Services Pvt Ltd," Daftary Road, Malad East, mumbai","Job Training Centres, Occupational safety job training",+912249426554_
19,Flame Institute Of Fire Safety Management,"No. A301 Northlanes Mall, Vasai West, Mumbai","Job Training Centres, Occupational safety job training",+912249460216_
