,NAME,LOCATION,COURSES,CONTACT NO.
0,Indian Institute of Fire Engineering,"Chhaoni, Katol Road",Engineering Colleges,
1,Jhulelal Institute of Technology,"Lonara, Godhani",Engineering Colleges,
2,VM Institute of Engineering & Technology,"Dongargaon, Wardha Road",Engineering Colleges,
3,Engineering & Medical Technical Education Guidance Centre,"Rahate Colony, Dhantoli, Nagpur",Engineering Colleges,
4,Suryodaya College of Engineering & Technology,"Vihirgaon Road, Vihirgaon",Engineering Colleges,
5,Gondia Education Societys Manoharbhai Patel Institute of Engineering & Technology,"Tirora Road, Nagpur",Engineering Colleges,
6,Vidarbha Institute of Technology,"Umrer Road, Bhiwapur",Engineering Colleges,
7,Tulsiramji Gaikwad-Patil College of Engineering & Technology,"Mohagaon, Wardha Road",Engineering Colleges,
8,Abhyasa," LIT Road, Ram Nagar, Nagpur","Entrance Exam Coaching, Medical entrance exam coaching",+912249441515_
9,Suhas Biotechnology Guidance Centre," Old Kailash Nagar, Ayodhya Nagar, Nagpur","Entrance Exam Coaching, Science entrance exam coaching",+912249428992_
10,Vikalp Education," Behind Ram Mandir, Ram Nagar, Nagpur","Entrance Exam Coaching, Law entrance exam coaching",+912249431815_
11,Nirmal Home Tutorial," Tapasya Vidhyalaya, Ring Road, Nagpur","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249428774_
12,DQ Labs," surendra nagar, Laxmi Nagar, Nagpur","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249427380_
13,I Fly Aviation," 2nd Floor, Shankar Nagar","Job Training Centres, Aviation job training",+919021116382_
14,MD Institute Of Foreign Trade,"nagpur, North Ambazari Road, Nagpur","Job Training Centres, Manufacturing & logistics job training",+912249433027_
15,NSDM INDIA," Dharampeth, Dharampeth, Nagpur","Job Training Centres, Digital marketing job training",+912249430013_
16,Spruce," Navbharat, Ramdaspeth, Nagpur","Job Training Centres, Health & wellness job training",+912249430591_
17,A La Mode Fashion & Interior,"Telephone Exchange, Nagpur City, Nagpur","Job Training Centres, Construction & interior designing job training",+912249448114_
18,Bhawna s Kitchen Cooking and Baking Classes," __Flat no.3/2, Dharampeth, Nagpur","Job Training Centres, Cooking & baking classes",+917569016462_
19,Pace Consultant," Shivaji Nagar, Dharampeth, Nagpur","Overseas Education Consultants, Overseas education",+912249433240_
20,I Fly Aviation," 2nd Floor, Shankar Nagar","Corporate Training, Call centre & BPO training",+919021116382_
21,LOTUS,"Congress Nagar, Dhantoli","Corporate Training, Professional development training",
22,Atlanta Computers Institute,"2nd Floor, Hanuman Nagar, Nagpur","Corporate Training, People skills training",
23,DCS,"Ring road, Pratap Nagar","Corporate Training, People skills training",
24,Open Box Consulting Pvt. Ltd.," Plot No: 2, Wardha Road, Nagpur","Corporate Training, Professional development training",
