,NAME,LOCATION,COURSES,CONTACT NO.
0,Jupiter Global Career Counselor," Patil Lane No 3, College Road, Nashik",Engineering Colleges,+912249432935_
1,Ganpat University,Also Servicing in Nashik,Engineering Colleges,
2,Indian Aerospace and Aerospace,Also Servicing in Nashik,Engineering Colleges,+912249410871_
3,Sanghavi College of Engineering,"No. D-24, Satpur",Engineering Colleges,
4,Sandip University,"Trimbak Road, Mahiravani",Engineering Colleges,
5,SND College of Engineering Reserch,"Babhulgaon Road, Yeola",Engineering Colleges,
6,Shri Ram Institute of Engineering & Technology," Dindori Road, Panchavati",Engineering Colleges,
7,Dhanvantari College of Engineering,"CIDCO, Pawan Nagar",Engineering Colleges,
8,Matoshri College of Engineering & Research Centre," Odhagaon Aurangabad Highway, Eklahare Road, Nashik",Engineering Colleges,
9,Aamdar Kashinathji Mengal Polytechnic," Tal. Igatpuri , Mundhegaon",Engineering Colleges,
10,Rajendra Bhatia's Design IFAAA,Also Servicing in Nashik,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918048031945_
11,Vidya.com Consultancy Pvt. Ltd.,Also Servicing in Nashik,"Entrance Exam Coaching, Management entrance exam coaching",+911140135189_
12,Sambhav Design Studio,Also Servicing in Nashik,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949072673_
13,EQL Classes,Also Servicing in Nashik,"Entrance Exam Coaching, Law entrance exam coaching",+912249434118_
14,Study Smart,Also Servicing in Nashik,"Entrance Exam Coaching, Foreign education entrance exam coaching",
15,INPS Classes,Also Servicing in Nashik,"Entrance Exam Coaching, Computer science entrance exam coaching",+911140169257_
16,My Design Studio,Also Servicing in Nashik,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
17,Swayam Art Academy,Also Servicing in Nashik,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+912249426540_
18,IMS Learning Resources Pvt. Ltd.,Also Servicing in Nashik,"Entrance Exam Coaching, Law entrance exam coaching",+919066021467_
19,Career Launcher,Also Servicing in Nashik,"Entrance Exam Coaching, Law entrance exam coaching",+911140116431_
20,Panache Academy,Also Servicing in Nashik,"Job Training Centres, Aviation job training",+917949070868_
21,Stake India," Stake India Business Court Ring Road, Govind Nagar, Nashik","Job Training Centres, Share market courses",+912249434402_
22,Easy Career," Gangapur Road, Gangapur Link Road, Nashik","Job Training Centres, Digital marketing job training",+912249430161_
23,I Tech System," Beside Westside Mall, College Road, Nashik","Job Training Centres, Digital marketing job training",+912249428944_
24,Technokraft Training & Solutions," college rd nashik, College Road, nashik","Job Training Centres, Digital marketing job training",+919021115187_
25,NJEDUTECH,Also Servicing in Nashik,"Job Training Centres, HR & Administration job training",+919883030081_
26,Maharashtra Paramedical Institute," nashik, College Road, Nashik","Job Training Centres, Health & wellness job training",+912249433294_
27,Foreign Trade Management & Training Centre,Also Servicing in Nashik,"Job Training Centres, Manufacturing & logistics job training",+911140017424_
28,Jaya Agarwal,Also Servicing in Nashik,"Job Training Centres, Arts & media job training",+917949075036_
29,Prasad K Takate," Behind Rath Chkra Society, Indira Nagar","Job Training Centres, Share market courses",+912249429604_
30,Sairam Educational Consultants,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+912249410895_
31,Vidya.com Consultancy Pvt. Ltd.,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+911140135189_
32,Softamo Education Services Pvt. Ltd.,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+912249427852_
33,Shiksha Mitra (OPC) Pvt. Ltd.,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+911140118344_
34,Rex Fuels Management Pvt. Ltd.,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+912249428142_
35,REX GBE SERVICES [ LA SIERRA UNIVERSITY ],Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+912249411354_
36,Girnarsoft Education Services Private limited,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+911140147204_
37,Edifice Education,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+912249460374_
38,Annabella Med Educare,Also Servicing in Nashik,"Overseas Education Consultants, Overseas education",+917569010422_
39,Jupiter Global Career Counselor," Patil Lane No 3, College Road, Nashik","Overseas Education Consultants, Overseas education",+912249432935_
40,Mackwins Education Pvt. Ltd.," Don Bosco School Chouk, College Road, Nashik","Corporate Training, Language lab training",+912249432546_
41,A.S. Institute," Commissioner Office Road, Canada Corner, Nashik","Corporate Training, Language lab training",
42,Hr Remedy India," Nashik, ","Corporate Training, Language lab training",
43,"CADD Centre Gangapur Road, Nashik"," Near Vidya Vikas Circle, ","Corporate Training, Language lab training",
44,HR REMEDY INDIA," Kamgar Nagar, Panchavati","Corporate Training, Professional development training",
45,The Art Of Success,"DGP Nagar No. 2, Ambad","Corporate Training, Call centre & BPO training",
46,WX Consultants Pvt Ltd - Wisdom XTra," Kamgar Nagar, Satpur","Corporate Training, Language lab training",
47,AQumen Development Academy," College Road, College Road, Nashik","Corporate Training, Language lab training",
48,I Cherry Skills,"Ganesh Baba Temple Road, Dwarka","Corporate Training, Language lab training",
49,SME Shaolin (Ajit Thakur Training Company)," Nandini nagar, Midc Ambad, Nashik","Corporate Training, Professional development training",
50,Easy Career," Gangapur Road, Gangapur Link Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249430161_
51,I Tech System," Beside Westside Mall, College Road, Nashik","Multimedia Design Training, CAD & CAM training",+912249428944_
52,A.R. Technology," Racca Colony, Sharanpur Road, Nashik","Multimedia Design Training, CAD & CAM training",+919021113906_
53,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
54,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
55,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
56,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
57,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
58,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
59,Arena Animation," Above Archie gallery, College Road, Nashik","Multimedia Design Training, Animation & Multimedia training",+912249428198_
60,Rajendra Bhatia's Design IFAAA,Also Servicing in Nashik,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+918048031945_
61,Himanshu Ranjan," Above San Infotek, Canada Corner","AMIE Coaching, ENGG / ARCH entrance exam coaching",
62,Axis Academy,"Rokel Lane, Ashok Stambh, Nashik","AMIE Coaching, ENGG / ARCH entrance exam coaching",
63,Abhinav Institute of Technology & Management,"Mahatma Gandhi Road, Vakil Wadi","AMIE Coaching, Management entrance exam coaching",
64,IIT Academy," Gangapur Road, Thatte Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
65,Salunke Classes," Ashok Stambh, Gole Colony, Nashik","AMIE Coaching, ENGG / ARCH entrance exam coaching",
66,Winners Coaching Classes," Nashik, Cidco","AMIE Coaching, ENGG / ARCH entrance exam coaching",
67,Kulkarni Engineering Classes & Science Academy," Unique Commercial Complex, Cidco, Nashik","AMIE Coaching, ENGG / ARCH entrance exam coaching",
68,Graduate Academy,Also Servicing in Nashik,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140120168_
69,The Gate Academy,Also Servicing in Nashik,"AMIE Coaching, Law entrance exam coaching",+914449919914_
70,Success Educational Services,"Archit icon hall no 2 college road nashik__Archit icon hall no 2 college road nashik, College Road, Nashik",Bank Exam Coaching,+912249434398_
71,Apti Academy,Also Servicing in Nashik,Bank Exam Coaching,+912249428242_
72,Data Ishwar Academy," Panchwati, Panchvati",Bank Exam Coaching,
73,Champions Square Institute,"Gangapur Road, Ashok Stambh, Nashik",Bank Exam Coaching,
74,Vihan Classes,"Flat no. 4 Pathardi shivar, Nashik Agra Road",Bank Exam Coaching,
