,NAME,LOCATION,COURSES,CONTACT NO.
0,AR Group of Education," Near Sector 18 Metro Station, Sector 18, Noida",Engineering Colleges,+911140126577_
1,Prince Institute of Innovative Technology,"No. 9, Greater Noida Cd",Engineering Colleges,
2,Beacon Classes,"Shop no 10 c block market, Sector 41, Noida","Entrance Exam Coaching, Medical entrance exam coaching",+911141137494_
3,Sun Academy," Gautam Buddha Nagar, Sector 18, Noida","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140147000_
4,Bigben The Language School," 3rd Floor, Sector 62, Noida","Entrance Exam Coaching, Management entrance exam coaching",+911140118826_
5,Bigben The Language School," Ithum Building, Sector 62","Entrance Exam Coaching, Foreign education entrance exam coaching",+911140119183_
6,Bigben The Language School," 3rd Floor, Sector 62","Entrance Exam Coaching, Management entrance exam coaching",+911140125279_
7,Arohan Academy Of Skill Development Pvt. Ltd.," Sector-59, Sector 59, Noida","Job Training Centres, Arts & media job training",+911140116427_
8,S & S Care Skills Academy Pvt. Ltd," Gautham Buddha Nagar, Sector 6, Noida","Job Training Centres, Engineering and technician job training",+919021109311_
9,UN International School,"BR -11 sector-45, Sector 45, Noida","Job Training Centres, Teacher job training",+911140147144_
10,Fiducia Solutions," 2nd, Sector 63, Noida","Job Training Centres, Digital marketing job training",+911140139241_
11,VLCC Health Care Ltd,"K- 65/66, Sector 18","Job Training Centres, Beauty and spa job training",+911140468192_
12,Pralipsa Marine Services Pvt. Ltd.," G Block, Sector 3","Job Training Centres, Engineering and technician job training",+911140016503_
13,Innovians Technologies," 7th Floor, Sector 62","Corporate Training, People skills training",
14,IIFA Academy,"Atta Market, Sector 27, Noida","Corporate Training, People skills training",
15,Learn Well Training Academy," 1st Floor, Sector 18","Corporate Training, Language lab training",
16,Sachdeva Coaching Centre,"No. Q/46, Sector 12","Corporate Training, Professional development training",
17,Vardhnam Consulting,"No. B308, Sector 93","Corporate Training, People skills training",
18,Black Box Digital Lab," Vishal Chambers, Sector 18, Noida","Multimedia Design Training, Adobe training",+911140130165_
19,Croma Campus," Noida, Sector 3","Multimedia Design Training, CAD & CAM training",+911140016749_
20,Cetpa Infotech Pvt. Ltd.," Sector 2, Sector 2, Noida","Multimedia Design Training, CAD & CAM training",+911141135473_
21,Advanced Educare Training Pvt. Ltd.,"Noida - 201301, Sector 18, Noida","Multimedia Design Training, CAD & CAM training",+911140142421_
22,Crazy Mediaworks," Chokhani Square, Sector 18, Noida","Multimedia Design Training, Adobe training",
23,Evan Web Solution," Floor, Sector 27","Multimedia Design Training, Animation & Multimedia training",
24,SUNRISE COMPUTER TRAINING CENTER," Near Roshan Complex, Sector 66, Noida","Multimedia Design Training, CAD & CAM training",
