,NAME,LOCATION,COURSES,CONTACT NO.
0,welltech infotech,"Sri Dilip Kumar Jha Road No 8 Hno 19 New Pp Colony, Paltiputra Colony, Patna",Engineering Colleges,+919021108091_
1,V. Kumar E-Media Education Pvt. Ltd.,"1st Floor, Anisabad",Engineering Colleges,
2,MBIT Grant,"MBIT Forbesganj, Bailey Road",Engineering Colleges,
3,Patna Education pvt.ltd,"3rd floor DD complex Saguna more Danapur patna, Bailey Road",Engineering Colleges,
4,Career Path Guru,"Boring Road, Patna - 800001",Engineering Colleges,
5,EASY COUNSELLING,"chauraha, Boring Road, Patna",Engineering Colleges,
6,Law Prep Tutorial," Bihar 800001, Boring Canal Road, Patna","Entrance Exam Coaching, Law entrance exam coaching",+911140130257_
7,Academy Of Fashion & Art," Exhibition Road, Ashiananagar, Patna","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140140245_
8,A.K Info," Near Laddo Gopal Sweets.Kumhrar Nayatola, Kumhrar, Patna","Job Training Centres, Engineering and technician job training",+911141109095_
9,VLCC Health Care Ltd," EAST BORING, Canal Road","Job Training Centres, Beauty and spa job training",+911140467860_
10,Semsols Technologies Pvt. Ltd.," Sukirti Complex, S.P. Verma Road, Patna","Job Training Centres, Digital marketing job training",+917569006128_
11,Institute Of Professional Metamorphosis,"East Boring Canal Road, Boring Canal Road, Patna","Job Training Centres, Engineering and technician job training",+919883018191_
12,Sinotech Education Service," krishna apartment, Boring Road, Patna","Overseas Education Consultants, Overseas education",+911140121464_
13,Rhein Konsultant," Landmark- Bazaar Kolkata, Khushrupur","Overseas Education Consultants, Overseas education",+911140139778_
14,Appin Technology Lab,"Lakshmi Centre, Ashok Rajpath","Corporate Training, Professional development training",
15,Crazy 24x7 IT Research & Development," 3rd Floor, Dak Bungalow Road, Patna","Corporate Training, People skills training",
16,PrabTech Private Limited,"New Bypass Road, Ramkrishan Nagar","Corporate Training, Language lab training",
17,Career Advisors," Ram Krishna Nagar, Hanuman Nagar","Corporate Training, Professional development training",
18,Whip Smart Technologies," Jagdeo path patna, Jagdeo Path","Corporate Training, Language lab training",
19,Speak Well English Academy,"Near Ram Lakhan Path, Kankarbagh","Corporate Training, Language lab training",
20,Alam,"Lohya Path, Jagdeo Path, Patna","Corporate Training, Language lab training",
21,SimplifyCareer," Boring Road, ","Corporate Training, Language lab training",
22,IISPL Patna," Patna-800001, Fraser Road Area","Corporate Training, Language lab training",
23,HUP Consultants Pvt Ltd,"208-A Patlipura Colony, Pataliputra, Patna","Corporate Training, People skills training",
24,Corel Draw,"Boring road, Boring Canal Road, Patna","Multimedia Design Training, Animation & Multimedia training",
25,Sprite Info Solutions," Saguna More, Danapur Cantt","Multimedia Design Training, Adobe training",
26,Mandavi Classes,"Rajeev Nagar Road no 6 patna, Rajeev Nagar, Patna","Multimedia Design Training, Adobe training",
27,Verma Infosolutions Pvt. Ltd.,"Shivaji Colony, Beur Road","Multimedia Design Training, Adobe training",
28,Computer Foundation Pvt. Ltd.,"Basant Vihar Colony, Boring Road, Patna","Multimedia Design Training, CAD & CAM training",+911140016524_
29,Megasoft Educations," Sumathi Palace, Boring Road, Patna","Multimedia Design Training, CAD & CAM training",
30,Megasoft Educations,"Sumathi Place, Boring Road, Patna","Multimedia Design Training, CAD & CAM training",+911140117447_
