,NAME,LOCATION,COURSES,CONTACT NO.
0,Vidyasarita Academy," Katraj Kondhwa Bypass Road, Kondhwa Budruk, pune","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918055896140_
1,Qbix Academia," pune, Koregaon Park, Pune","Entrance Exam Coaching, Foreign education entrance exam coaching",+912249427136_
2,JE Promets Education Academy," opp ruby hall clinic, Dhole Patil Road, Pune","Entrance Exam Coaching, Foreign education entrance exam coaching",+912249472896_
3,Sai Vidya Educations," Pheonix Mall, Viman Nagar, Pune","Entrance Exam Coaching, Law entrance exam coaching",+917620790259_
4,Sai Vidya Educations,Also Servicing in Pune,"Entrance Exam Coaching, Law entrance exam coaching",+912249465386_
5,TARGET POINT INSTITUTE,"Pune - 411005__Above Panchali hotel, Shivaji Nagar, Pune","Entrance Exam Coaching, Common entrance exam coaching",+912249429553_
6,Raise Academy," Pune-Solapur Road, Hadapsar, Pune","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+919021109059_
7,A.R.H. Design Academy," Mayur Colony, Kothrud, Pune","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918956871482_
8,Bhanwar Rathore Design Studio,Also Servicing in Pune,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949070852_
9,SGS Academy," Wakad Road, Hinjewadi, Pune","Entrance Exam Coaching, Management entrance exam coaching",+918928799251_
10,Frankfinn Institute of Air Hostess Training," Karve Road, Kothrud, Pune","Job Training Centres, Aviation job training",+918657557640_
11,Financial Planning Academy,Also Servicing in Pune,"Job Training Centres, Banking, Finance & GST job training",+912249431554_
12,Seven Mentor & Training Pvt. Ltd.," Pune R.S, Shivaji Nagar, Pune","Job Training Centres, Arts & media job training",+912249429890_
13,MIFM - Mindstone Institute of Financial Market,Also Servicing in Pune,"Job Training Centres, Share market courses",+917569011642_
14,Toppers Trading Institute for Share Market," Bugh Bus Stop, Sadashiv Peth, Pune","Job Training Centres, Share market courses",+912249429286_
15,INIFD KOTHRUD PUNE,"Above Raj Motors, Kothrud","Job Training Centres, Construction & interior designing job training",+919021119887_
16,Digital Seed," bekhrai nagar, Hadapsar, Pune","Job Training Centres, Digital marketing job training",+912249428148_
17,Infinite Graphix Technologies," Jangali Maharaj Rd, Shivaji Nagar, Pune","Job Training Centres, Digital marketing job training",+912249428410_
18,Tanay Bora Films," Opp Apte School, Shivaji Nagar","Job Training Centres, Arts & media job training",+912249433412_
19,CVP INSTITUTE," Aundh, Hinjewadi, Pune","Job Training Centres, Beauty and spa job training",+912249431634_
20,Education Overseas Consultancy Pvt. Ltd.,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+912249433617_
21,My College Khoj," Viman Nagar Road, Viman Nagar, Pune","Overseas Education Consultants, Overseas education",+912249430231_
22,Girnarsoft Education Services Private limited,"Next to Starbucks, Koregaon Park","Overseas Education Consultants, Overseas education",+912249427842_
23,Migrare Overseas Education consultant,"Pune - 411048, Undri, Pune","Overseas Education Consultants, Overseas education",+919021103607_
24,Sairam Educational Consultants,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+912249410895_
25,Foundation Of International Education Services,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+912249437171_
26,Vidya.com Consultancy Pvt. Ltd.,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+911140135189_
27,Softamo Education Services Pvt. Ltd.,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+912249427852_
28,Onebounce Study Abroad Consultants LLP,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+919021103980_
29,Admivo Abroad Education Consulting,Also Servicing in Pune,"Overseas Education Consultants, Overseas education",+917949070989_
30,Erudition Infinite," Vadgaonsheri Road, Kalyani Nagar, Pune","Corporate Training, People skills training",+912249428184_
