,NAME,LOCATION,COURSES,CONTACT NO.
0,International School of Technology & Sciences," Eastgonagudem, Rajanagaram, Rajahmundry",Engineering Colleges,
1,Bonam Venkata Chalamayya Engineering College,"Palacharla, Palacharla, Rajahmundry",Engineering Colleges,
2,Sri Sai Madhavi Institute of Science & Technology,"Mallampudi, Srirampuram",Engineering Colleges,
3,Eluru College of Engineering & Technology," Pedavegi, Rajahmundry, Rajahmundry",Engineering Colleges,
4,Krishna's Pragati Institute of Technology," Rajahmundry, Rajanagaram",Engineering Colleges,
5,Sri Sai Madhavi Institute of Science & Technology,"Mallampudi, Rajanagaram",Engineering Colleges,
6,Chaitanya Institute of Engineering & Technology,"Chaitanya Knowledge City, Chaitanya Nagar",Engineering Colleges,
7,Adithya Engineering Colleges,"Adithya Nagar, Rajahmundry",Engineering Colleges,
8,Benaiah Institute of Technology & Science," Korukonda, Rajahmundry",Engineering Colleges,
9,Godavari Institute of Engineering & Technology College," NH 5, Rajahmundry",Engineering Colleges,
10,Satya Academy," Nandamgani Raju Junction, Jampet, Rajahmundry","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",
11,Career Point,Also Servicing in Rajahmundry,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918048103653_
12,S.S. Medical Academy,Also Servicing in Rajahmundry,"Entrance Exam Coaching, Medical entrance exam coaching",+918048043715_
13,Study Smart,Also Servicing in Rajahmundry,"Entrance Exam Coaching, Foreign education entrance exam coaching",
14,INPS Classes,Also Servicing in Rajahmundry,"Entrance Exam Coaching, Computer science entrance exam coaching",+911140169257_
15,My Design Studio,Also Servicing in Rajahmundry,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
16,IMS Learning Resources Pvt. Ltd.,Also Servicing in Rajahmundry,"Entrance Exam Coaching, Law entrance exam coaching",+919066021467_
17,Career Launcher,Also Servicing in Rajahmundry,"Entrance Exam Coaching, Law entrance exam coaching",+911140116431_
18,Sowrya Consultancy Pvt Ltd.,Also Servicing in Rajahmundry,"Entrance Exam Coaching, Management entrance exam coaching",+918048031220_
19,Academy Of Science,"Haripuram, Rajahmundry - 533103","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",
20,Greenhatsz Safety Solutions Pvt. Ltd.,Also Servicing in Rajahmundry,"Job Training Centres, Occupational safety job training",+917569002279_
21,Jd Institute Of Fashion Technology,Also Servicing in Rajahmundry,"Job Training Centres, Arts & media job training",+918048104251_
22,Jaya Agarwal,Also Servicing in Rajahmundry,"Job Training Centres, Arts & media job training",+917949075036_
23,Rivendale Early Learning Centre,Also Servicing in Rajahmundry,"Job Training Centres, Teacher job training",+918048032524_
24,VDC Engineers,Also Servicing in Rajahmundry,"Job Training Centres, Engineering and technician job training",+918099974026_
25,Fashionbox institute of design,Also Servicing in Rajahmundry,"Job Training Centres, Fashion and apparel design training",+917949074567_
26,AIDM: Asian Institute Of Digital Marketing,Also Servicing in Rajahmundry,"Job Training Centres, Digital marketing job training",+911140147372_
27,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Rajahmundry,"Job Training Centres, Banking, Finance & GST job training",
28,Digital Platter,Also Servicing in Rajahmundry,"Job Training Centres, Digital marketing job training",+912249427635_
29,Comet Technologies,Also Servicing in Rajahmundry,"Job Training Centres, Engineering and technician job training",
30,IVY Overseas,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+917569003962_
31,Bhagyalaxmi educational services,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918043691230_
32,Destinex Global Services Pvt. Ltd.,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918043691265_
33,Shine Medico Consultancy,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918048093016_
34,Way 2 Overseas Education,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918048104180_
35,Jobance Careers Pvt Ltd,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918048049897_
36,Storm Consultancy,"near hdfc bank, Danavaipeta, Rajahmundry","Overseas Education Consultants, Overseas education",+917569006118_
37,Sowrya Consultancy Pvt Ltd.,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918048031220_
38,Videsh Consultz,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+917569004046_
39,Sahasra Overseas Educational & Financial Services,Also Servicing in Rajahmundry,"Overseas Education Consultants, Overseas education",+918048103247_
40,Fly Hub Overseas Education & Immigration Services," 533101, Rajamundry","Corporate Training, People skills training",
41,Ligit Technologies Ltd.,Also Servicing in Rajahmundry,"Corporate Training, Professional development training",
42,Winners Academy,"Sagar Hospital Street, Danavaipeta","Corporate Training, Language lab training",
43,Giant leap,Also Servicing in Rajahmundry,"Corporate Training, People skills training",
44,Edukrrish World Of English Language,Also Servicing in Rajahmundry,"Corporate Training, People skills training",
45,Maac Animatons & Namit Enterprises,Also Servicing in Rajahmundry,"Multimedia Design Training, Adobe training",+914449851801_
46,iCAD TECHNOLOGIES," Lalacheruvu, Kambala Cheruvu, Rajahmundry","Multimedia Design Training, CAD & CAM training",
47,Winners Academy,"Sagar Hospital Street, Danavaipeta","Multimedia Design Training, Adobe training",
48,MECHSTER,"Gandhipuram, Rajahmundry - 533103","Multimedia Design Training, CAD & CAM training",
49,MAAC,Also Servicing in Rajahmundry,"Multimedia Design Training, Adobe training",
50,Arena Animation," Routhu Mansions, Innespeta, Rajahmundry","Multimedia Design Training, Adobe training",
51,AH CAREER PVT LTD,"c/o Datapro Computers, Danavaipeta, Rajahmundry","Multimedia Design Training, CAD & CAM training",
52,Satya Academy," Nandamgani Raju Junction, Jampet, Rajahmundry","AMIE Coaching, ENGG / ARCH entrance exam coaching",
53,Winners Academy,"Sagar Hospital Street, Danavaipeta","AMIE Coaching, Management entrance exam coaching",
54,The Gate Academy,Also Servicing in Rajahmundry,"AMIE Coaching, Law entrance exam coaching",+914449919914_
55,Manikanta,"ILTD Junction near Alcot gardens, Rajahmundry","AMIE Coaching, ENGG / ARCH entrance exam coaching",
56,9 Giridhar's Datta Aditya Academy,Also Servicing in Rajahmundry,Bank Exam Coaching,
57,Sreedher's College for Competetive Exams," By Pass Raod, Danavaipeta",Bank Exam Coaching,
58,Harshith Institute,Also Servicing in Rajahmundry,Bank Exam Coaching,
59,Trace - Training And Research Academy For Career Excellence,Also Servicing in Rajahmundry,Bank Exam Coaching,
60,SS Institue Of Competitive Exams," Opp To Gandhi Park Main Gate, Gandhipuram, Rajahmundry",Bank Exam Coaching,
61,Career Launcher,Also Servicing in Rajahmundry,Bank Exam Coaching,+911140116431_
62,Elan Academy,Also Servicing in Rajahmundry,Bank Exam Coaching,+917569008302_
63,IMS Learning Resources Pvt. Ltd.,Also Servicing in Rajahmundry,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
64,Guru's Classes,Also Servicing in Rajahmundry,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
65,The Prayas India,Also Servicing in Rajahmundry,"CAT Coaching Centers, Law entrance exam coaching",+912249433642_
66,The Gate Academy,Also Servicing in Rajahmundry,"CAT Coaching Centers, Law entrance exam coaching",+914449919914_
67,IMS LALKOTHI,Also Servicing in Rajahmundry,"CAT Coaching Centers, Law entrance exam coaching",+918657608031_
68,Winners Academy,"Sagar Hospital Street, Danavaipeta","CAT Coaching Centers, Management entrance exam coaching",
69,Lpro Academy LLP,Also Servicing in Rajahmundry,"CAT Coaching Centers, Management entrance exam coaching",
70,Career Launcher,Also Servicing in Rajahmundry,"CAT Coaching Centers, Law entrance exam coaching",+911140116431_
71,Elan Academy,Also Servicing in Rajahmundry,"CAT Coaching Centers, Management entrance exam coaching",+917569008302_
72,IMS Learning Resources Pvt. Ltd.,Also Servicing in Rajahmundry,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
73,Guru's Classes,Also Servicing in Rajahmundry,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
74,The Prayas India,Also Servicing in Rajahmundry,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433642_
75,The Gate Academy,Also Servicing in Rajahmundry,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+914449919914_
76,IMS LALKOTHI,Also Servicing in Rajahmundry,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+918657608031_
77,Winners Academy,"Sagar Hospital Street, Danavaipeta","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
