,NAME,LOCATION,COURSES,CONTACT NO.
0,Ganpat University,Also Servicing in Surat,Engineering Colleges,
1,Hindustan Aerospace & Engineering,Also Servicing in Surat,Engineering Colleges,+917303178220_
2,Sha-Shib Aerospace Engineering,Also Servicing in Surat,Engineering Colleges,
3,Swarrnim Startup & Innovation University,Also Servicing in Surat,Engineering Colleges,
4,Pacific School of Engineering," NH8, Kadodara, Surat",Engineering Colleges,
5,Silver Oak College of Engineering & Technology,Also Servicing in Surat,Engineering Colleges,
6,Amity University Information Centre,"Ring road, Majura Gate, Surat",Engineering Colleges,
7,Av Home Batch Tution,"Suman darshan, Singanpore Road",Engineering Colleges,
8,Bhagwan Mahavir College of Engineering & Technology," Vesu, Surat Road",Engineering Colleges,
9,C.K. Pithawalla College of Engineering & Technology,"Dumas Road, Surat - 395007",Engineering Colleges,
10,Vegas Consultancy Services,Also Servicing in Surat,"Entrance Exam Coaching, Law entrance exam coaching",+917949071787_
11,Bhanwar Rathore Design Studio,"Surat, A.K. Road","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949081499_
12,Swastik Academy,Also Servicing in Surat,"Entrance Exam Coaching, Foreign education entrance exam coaching",+917949070200_
13,LK Academy," Beside vidyabharti school, Bhatar Road, Surat","Entrance Exam Coaching, Law entrance exam coaching",+919579203949_
14,Aspire Square Career Consultant," West Field Shopping Complex, Ghod Dod Road","Entrance Exam Coaching, Foreign education entrance exam coaching",+917949070678_
15,Ket s Nata Tutorial," New Citylight, Althan, Surat","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+917949072563_
16,Rajendra Bhatia's Design IFAAA,Also Servicing in Surat,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+918048031945_
17,IMS Learning Resources Pvt. Ltd.," Pooja Abhishek Shopping Complex, Ghod Dod Road, Surat","Entrance Exam Coaching, Law entrance exam coaching",+919021116715_
18,British Academy - Madhavi Khandwala,Also Servicing in Surat,"Entrance Exam Coaching, Foreign education entrance exam coaching",+917949070272_
19,Vikramaditya Academy,Also Servicing in Surat,"Entrance Exam Coaching, School entrance exam coaching",+911140497196_
20,Western India Institute Of Aeronautics Pvt. Ltd.,Also Servicing in Surat,"Job Training Centres, Engineering and technician job training",+917949072606_
21,Red & White Multimedia Education," Gaushala, A.K. Road, Surat","Job Training Centres, Digital marketing job training",+917949072083_
22,Simba Institute," Gujarat, Varachha, surat","Job Training Centres, Digital marketing job training",+917949072570_
23,VLCC Health Care Ltd,Also Servicing in Surat,"Job Training Centres, Beauty and spa job training",+918048031670_
24,VLCC Health Care Ltd," 105-Millionaire Business Park L P Savani Road, Adajan","Job Training Centres, Beauty and spa job training",+917949070808_
25,International Aviation Academy," Udhana Magdalla Road, Vesu, Surat","Job Training Centres, Aviation job training",+919021108976_
26,International Maritime Consultancy Services,Also Servicing in Surat,"Job Training Centres, Engineering and technician job training",+917569005112_
27,Foreign Trade Management & Training Centre,Also Servicing in Surat,"Job Training Centres, Manufacturing & logistics job training",+911140017424_
28,Jaya Agarwal,Also Servicing in Surat,"Job Training Centres, Arts & media job training",+917949075036_
29,Etc Digital Marketing Academy,"No. 504-505 Western Business Park , Vesu, Surat","Job Training Centres, Digital marketing job training",+917949071790_
30,Vegas Consultancy Services,Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+917949071787_
31,China Mbbs Consultancy - Dr.Jogadia,Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+917949070451_
32,mbbsuniversities.com,Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+919021109647_
33,Aspire Square Career Consultant," West Field Shopping Complex, Ghod Dod Road","Overseas Education Consultants, Overseas education",+917949070678_
34,Shiksha Mitra (OPC) Pvt. Ltd.,Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+911140118344_
35,Sharp International Immigration Services,Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+917949070719_
36,Rex Fuels Management Pvt. Ltd.,Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+912249428142_
37,REX GBE SERVICES [ LA SIERRA UNIVERSITY ],Also Servicing in Surat,"Overseas Education Consultants, Overseas education",+912249411354_
38,Yuva Overseas," Rajhans Ornate Shopping Mall, Athwa, Surat","Overseas Education Consultants, Overseas education",+919883035899_
39,Delphic Overseas,"Surat - 395009, Adajan Road, Surat","Overseas Education Consultants, Overseas education",+917949072181_
40,I.M. Possible Training Solutions,"Western Corridor Opp Gujarat Gas Company, Adajan","Corporate Training, Call centre & BPO training",+917949073234_
41,Sheetal Academy Spoken English," Navdi Ovara, Nanpura, Surat","Corporate Training, People skills training",+919021118069_
42,Stock Market Live Training," Vibhag2, Adajan, Surat","Corporate Training, Professional development training",+917949070608_
43,Sharanam Transformative Learning Pvt. Ltd.,Also Servicing in Surat,"Corporate Training, Language lab training",+917949071735_
44,Shreeji Classes,"Udhana Main Road, Surat - 394210","Corporate Training, Language lab training",
45,Care Education Technical Analysis Academy,"No. 206/207, Ghod Dod Road","Corporate Training, Professional development training",
46,Trend Expert Trading Academy," 1st Floor , Adajan","Corporate Training, Professional development training",
47,Indian Institute of Technology Training,"No. 14B, New Textile Market, Surat","Corporate Training, Language lab training",
48,Veta Spoken English,"Ring Road, Ring Road","Corporate Training, Professional development training",
49,Yoinsights Technologies," Khand Bazar, Varachha, Surat","Corporate Training, People skills training",
50,Arena Animation,"City Light Town, Athwa, Surat","Multimedia Design Training, Adobe training",+919021117328_
51,Maya Academy Of Advanced Cinematics," Bhatar Road, Bhatar Road","Multimedia Design Training, CAD & CAM training",+917949071262_
52,Frameboxx 2.0 Animation," Opposite. Marvella Corridor , Vesu, Surat","Multimedia Design Training, Animation & Multimedia training",+917949071132_
53,Drashya Solutions," Nanpura, Nanpura, Surat","Multimedia Design Training, Adobe training",+917949072547_
54,MUZAI Computerz," No. 1/379 Royal Blue Residency, Nanpura, Surat","Multimedia Design Training, Adobe training",+917949070705_
55,Shield School Of Design,Also Servicing in Surat,"Multimedia Design Training, Animation & Multimedia training",+912249447435_
56,Madfox Design Studio,"Chowki Street, Nanpura","Multimedia Design Training, Animation & Multimedia training",
57,pixel films institute,"Varachha Road, Surat - 395006","Multimedia Design Training, Adobe training",
58,Metr Designing Studio,"Choryasi, Surat - 395010","Multimedia Design Training, Engineering design training",
59,Cnc,"Adajan, Surat - ","Multimedia Design Training, CAD & CAM training",
60,Rajendra Bhatia's Design IFAAA,Also Servicing in Surat,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+918048031945_
61,Magical Education,"Shubham Park, Adajan","AMIE Coaching, ENGG / ARCH entrance exam coaching",
62,Modulas Training Institute," Anjana Society, Varachha Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",
63,ICE Gate,"No. 1005/1006, Ghod Dod Road, Surat","AMIE Coaching, Management entrance exam coaching",
64,Education World,"Galemandi, Surat","AMIE Coaching, ENGG / ARCH entrance exam coaching",
65,Allen Career Institute,"No. U8, Begampura","AMIE Coaching, ENGG / ARCH entrance exam coaching",
66,ProTalent,"Ram Chowk, Ghod Dod Road, Surat","AMIE Coaching, Law entrance exam coaching",
67,MegaEducare," Bhatar Char Rasta, Bhatar Road","AMIE Coaching, Management entrance exam coaching",
68,Graduate Academy,Also Servicing in Surat,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140120168_
69,Graduate Academy,"No. 08/f-154, Surat Dumas Road","AMIE Coaching, ENGG / ARCH entrance exam coaching",+917949074237_
70,LK Academy," Beside vidyabharti school, Bhatar Road, Surat",Bank Exam Coaching,+919579203949_
71,IBS Institute of Banking Studies," beside topaz furniture near sosyo circle fly over bridge , Udhana Magdalla Road, Surat",Bank Exam Coaching,+917949072135_
72,NS Academy," Bhatar, Surat Road, Surat",Bank Exam Coaching,+917949072658_
73,Yuva Upnishad Foundation,"2nd Floor, Adajan",Bank Exam Coaching,
74,Keval Class," Navsari, Navsari Bazar",Bank Exam Coaching,
75,Pro Talent Academy,"Ram Chowk, Ghod Dod Road, Surat",Bank Exam Coaching,
76,ProTalent,"Ram Chowk, Ghod Dod Road, Surat",Bank Exam Coaching,
77,MegaEducare," Bhatar Char Rasta, Bhatar Road",Bank Exam Coaching,
78,Mahendra Educational Pvt. Ltd.," Majura Gate, Ring Road",Bank Exam Coaching,
79,Nishant Academy," Althan Bhimrad Road , Althan, Surat",Bank Exam Coaching,+917949073232_
