,NAME,LOCATION,COURSES,CONTACT NO.
0,Aarupadai Veedu Institute Of Technology,Also Servicing in Trichy,Engineering Colleges,+914446294334_
1,SVS College of Engineering,"Shankaran Pillai Street, Chinthamani",Engineering Colleges,
2,Kongunadu College of Engineering & Technology," Thottiyam, Trichirappalli",Engineering Colleges,
3,MAM College of Engineering & Technology," Siruganur, Tiruchirapalli",Engineering Colleges,
4,Sudharsan Engineering College,"Pudukkottai Road, Subramaniyapuram",Engineering Colleges,
5,Cauvery College of Engineering & Technology,"perur, Karur Main Road",Engineering Colleges,
6,MAM College of Engineering & Technology,"Siruganur, Trichy Madras Truck Road",Engineering Colleges,
7,Arignar Anna Institute of Science & Technology," Valasaravakkam, Trichy, Trichy",Engineering Colleges,
8,K. Ramakrishnan College of Engineering,"Kariyamanikam Road, Samayapuram",Engineering Colleges,
9,Kurinji College of Engineering & Technology," Trichy-Dindigul NH-Road, Manapparai",Engineering Colleges,
10,Point Academy NEET/IIT/JEE Coaching Center," TVS Tolgate, Sangaliandalpuram, Trichy","Entrance Exam Coaching, Management entrance exam coaching",+914449855023_
11,Storm Overseas Education," 6th Cross Street, Thillai Nagar, trichy","Entrance Exam Coaching, Foreign education entrance exam coaching",+914446295146_
12,Storm Overseas Education,Also Servicing in Trichy,"Entrance Exam Coaching, Foreign education entrance exam coaching",+914449901565_
13,Nivedita Academy," 10th Cross Main Road, Thillai Nagar","Entrance Exam Coaching, Law entrance exam coaching",+919021107953_
14,The Princeton Review,"North East Extension, Thillai Nagar, Trichy","Entrance Exam Coaching, Management entrance exam coaching",+914449918448_
15,Akshara Education," 11th Cross West, Thillai Nagar, Trichy","Entrance Exam Coaching, Law entrance exam coaching",+914449856045_
16,I-Arch Nata Coaching Centre," Thillai Nagar East, Thillai Nagar","Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449905661_
17,Ed-Trix,Also Servicing in Trichy,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449908949_
18,T.I.M.E NEET JEE Coaching Centre,Also Servicing in Trichy,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449851983_
19,Axent Institute,Also Servicing in Trichy,"Entrance Exam Coaching, ENGG / ARCH entrance exam coaching",+914449925655_
20,TWG Group," S R C College Road, Chathiram","Job Training Centres, Engineering and technician job training",+914449852783_
21,IAFC," Periyasamy Towers, Chathiram Bus Stand, Trichy","Job Training Centres, Engineering and technician job training",+914446293368_
22,Unique MEP Engineering Academy," 4th Cross Thillai Nagar West , Thillai Nagar, Trichy","Job Training Centres, Engineering and technician job training",+917306847837_
23,Evershine Institute of Testing and Training," Thillai Nagar, Thillai Nagar, Trichy","Job Training Centres, Occupational safety job training",+914449852989_
24,A.K. Safety Training Consultancy Pvt. Ltd.,Also Servicing in Trichy,"Job Training Centres, Occupational safety job training",+919021119371_
25,Synergy School of Business Skills,"Trichy - 620001, Cantonment, Trichy","Job Training Centres, Digital marketing job training",+914446281914_
26,Jaya Agarwal,Also Servicing in Trichy,"Job Training Centres, Arts & media job training",+917949075036_
27,Innovative Engineering Solution,Also Servicing in Trichy,"Job Training Centres, Engineering and technician job training",+914449853526_
28,Techie Training & Inspections," Old Karur Road, Mela Chinthamani Road, Trichy","Job Training Centres, Occupational safety job training",+919021109982_
29,Beauty Friendly Saloon And Academy," Mc Donalds Road, Cantonment","Job Training Centres, Beauty and spa job training",+914446292544_
30,Storm Overseas Education," 6th Cross Street, Thillai Nagar, trichy","Overseas Education Consultants, Overseas education",+914446295146_
