,NAME,LOCATION,COURSES,CONTACT NO.
0,Career Counseling and Motivational Consultancy," Lanka, Varanasi City",Engineering Colleges,+911140467512_
1,Career Counselling & Consultancy For Colleges,"Aushan Ganj, Maheshpur",Engineering Colleges,
2,"Easy Roper Services,"," Ravindrapuri, Bhelupur, Varanasi",Engineering Colleges,
3,Manish Consultancy,"Rathyatra Crossing, Bhelupura, Varanasi",Engineering Colleges,
4,Indian Overseas Educational Consultancy,"Kabir Nagar, Lanka, Varanasi",Engineering Colleges,
5,NFCI Hotel Management & Culinary Institute," Kaiwalyadham Extension Colony, Durgakund, Varanasi","Job Training Centres, Cooking & baking classes",+911140145040_
6,Dizi Global Solution," Sanpoornand, Sigra, Varanasi","Job Training Centres, Digital marketing job training",+911141109836_
7,North Star Academy," Near Madhuban Lawn, Varanasi City, Varanasi","Job Training Centres, Engineering and technician job training",+911140126324_
8,Digital Growth World,"F-2/12 Mint House , Nadesar, Varanasi","Job Training Centres, Digital marketing job training",+911140016725_
9,Dream Zone," sankatmochan crossing, Lanka, Varanasi","Job Training Centres, Arts & media job training",+911140145482_
10,Yoga In Varanasi,"Nadesar, Varanasi Cantonment, Varanasi","Corporate Training, People skills training",
11,Adecco India Pvt. Ltd.,"Amar Nagar, Sigra","Corporate Training, People skills training",
12,Young Skilled India,"MCIIE IIT BHU, Lanka Road","Corporate Training, Language lab training",
13,Amritaz IT Solutions Pvt. Ltd.,"Kasturba Nagar, Sigra","Corporate Training, Language lab training",
14,Digital India Club,"Luxa Aurangabad Road, Ramapura Luxa","Corporate Training, Language lab training",
15,Ntpl Solutions,"D-63/13-7A, Drmo",Corporate Training,
16,SAHYOG PARIWAR (Skill Developmet,"Chandmari, Varanasi - 221003","Corporate Training, Professional development training",
17,VedantSri Varanasi Computer Institute,"Kabir Nagar Road, Kabir Nagar","Corporate Training, Professional development training",
18,Mahendra Educational Pvt. Ltd.,"Barhar Kothi, Durgakund","Corporate Training, Professional development training",
19,International Institute of Financial Markets,"Senpura Chatganj, B.H.U. Road","Corporate Training, Professional development training",
20,Arena Animation Sigra,"Chhittupura, Sigra","Multimedia Design Training, Animation & Multimedia training",+911140016611_
21,IIHT Indian Institute Of Hardware And Software Technology," Chetmani Crossing, Bhelupur, Varanasi","Multimedia Design Training, CAD & CAM training",+911141109755_
22,Dream Zone," sankatmochan crossing, Lanka, Varanasi","Multimedia Design Training, CAD & CAM training",+911140145482_
23,Aptech Computer Education,"UP Collage Road, Varanasi","Multimedia Design Training, Animation & Multimedia training",
24,Arena Animation Academy,"Rathyatra Crossing, Sigra","Multimedia Design Training, Animation & Multimedia training",
25,Aruns Academy," SAKETNAGAR COLONY. Contact : 9935954949, B.H.U. Road, Varanasi","Multimedia Design Training, Adobe training",
26,Navodaya Institute for Skill Devlopment & Foundation,"Kerakatpur, Lohta Bazar","Multimedia Design Training, Adobe training",
27,Animex Multimedia & Animation,"Cotton Mill Compound, Chaukaghat","Multimedia Design Training, Adobe training",
28,Suryansh Tutorials,"D64/29K-R Bank colony sigra , Sigra, Varanasi","AMIE Coaching, Law entrance exam coaching",
29,Ambition Gurukul,"Ravindrapuri Extension, Lanka, Varanasi","AMIE Coaching, ENGG / ARCH entrance exam coaching",
30,Pie Education,"Nadesar, Chaukaghat","AMIE Coaching, Management entrance exam coaching",
31,Career Point," Sankat Mochan Crossing, Durgakund","AMIE Coaching, Management entrance exam coaching",
32,Neha Tuition Point,"Mahmoorganj Road, Sigra, Varanasi",Bank Exam Coaching,
33,RD Insutie of Systematic Learning,"Assi Lanka Road, Lanka Road, Varanasi",Bank Exam Coaching,
34,Pinnacle Institute,"2nd Floor, Maldahiya",Bank Exam Coaching,
35,Mahendra Educational Pvt. Ltd.,"Barhar Kothi, Durgakund",Bank Exam Coaching,
36,Aryan Civil Academy," Padeypur, Sigra, Varanasi",Bank Exam Coaching,
37,Success Mantra," Ravindrapuri, Bhelupur",Bank Exam Coaching,
38,SATYAM TUITION BUREAU," Sigra crossing, Sigra, Varanasi","CAT Coaching Centers, Management entrance exam coaching",
39,Neha Tuition Point,"Mahmoorganj Road, Sigra, Varanasi","CAT Coaching Centers, Management entrance exam coaching",
40,IMS Learning Resources Pvt. Ltd.," Lanka Road, Lanka Road, Varanasi","CAT Coaching Centers, Management entrance exam coaching",
41,Suryansh Tutorials,"D64/29K-R Bank colony sigra , Sigra, Varanasi","CAT Coaching Centers, Law entrance exam coaching",
42,Suryansh Tutorials,"D64/29K-R Bank colony sigra , Sigra, Varanasi","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
43,Career Help Line," P.N. Plaza, Sigra, Varanasi","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140131049_
44,RAU Study Centre,"Madhav market near heritage hospital , Lanka, varanasi","CTET Coaching, UGC NET coaching",
45,Pinnacle institute,"Anandbagh, Durgakund","CTET Coaching, UGC NET coaching",
46,SN Coaching Classes,"LANKA , B.H.U. Road","CTET Coaching, UGC NET coaching",
47,Pinnacle Institute," Maldahiya, Varanasi Cantonment, Varanasi","CTET Coaching, UPSC exam coaching",
