,NAME,LOCATION,COURSES,CONTACT NO.
0,Swami Vivekananda Institute of Science & Technology,Also Servicing in Mumbai,Engineering Colleges,+911140136102_
1,Ganpat University,Also Servicing in Mumbai,Engineering Colleges,
2,Indian Aerospace and Aerospace," Maharashtra 400705, Turbhe, Mumbai",Engineering Colleges,+912249410871_
3,Rahul Group of Schools & College,"Navghar Road, Bhayander East",Engineering Colleges,
4,Excel Engineering Classes," Shree Nanan Devi Sharda Marg, Andheri East, Mumbai",Engineering Colleges,
5,Ecube Global College," SV Road, Thane West, Mumbai",Engineering Colleges,
6,National College," Thane West, Thane, Mumbai",Engineering Colleges,
7,Atharva Institute of Information Technology," Malad Marve Road, Malad West",Engineering Colleges,
8,Premier Institute of Management & Engineering,"Mira Road East, Thane East, Mumbai",Engineering Colleges,
9,D.Y. Patil University,"Sector 4, Navi Mumbai",Engineering Colleges,
10,BALAJI EDUCATION SERVICES,"HAWARE FANTASIA BUSINESS PARK, Vashi","MBBS Colleges, Medical Colleges",
11,Compro girls,"Mumbai Nala sopra west, Navi Mumbai","MBBS Colleges, Medical Colleges",
12,Holy Angels College of Alternative Medicines,"No. 3, Borivali West","MBBS Colleges, Medical Colleges",
13,Lakshya Engineering College," 2nd Floor, Mulund West","MBBS Colleges, Medical Colleges",
14,Excel Educational Services,Also Servicing in Mumbai,"MBBS Colleges, Medical Colleges",
15,Luchhu Plastic,"Navghar Road, Bhayander","MBBS Colleges, Medical Colleges",
16,Infinity Educational Institute," Sakinaka, Andheri East","MBBS Colleges, Medical Colleges",
17,Terna Medical College & Hospitals,"Sector 12, Nerul","MBBS Colleges, Medical Colleges",
18,Topiwala National Medical College,"Dr. A.L. Nair Road, Nerul","MBBS Colleges, Medical Colleges",
19,Pace Junior Science Colleges," Mandpeshwar, Borivali West","MBBS Colleges, Medical Colleges",
20,ICE College of Management," Sector 16, Nerul",Hotel Management Degree Colleges,+912249410955_
21,Sahyog College Of Management Studies,"Jambhali naka, Thane West",Hotel Management Degree Colleges,+912249428273_
22,Mumbai College of Hotel Management & Catering Technology,"Mumbai - 401101, Bhayander West",Hotel Management Degree Colleges,+912249426894_
23,ISMT Business School,"mumbai - 400091, Borivali West",Hotel Management Degree Colleges,+912249430084_
24,Ajeenkya D Y Patil University,Also Servicing in Mumbai,Hotel Management Degree Colleges,+912249428558_
25,National Institute Of Hospitality Management," Bhabola Naka, Vasai West",Hotel Management Degree Colleges,+912249433520_
26,Kapol College,"Mahaveer Nagar, Kandivali West",Hotel Management Degree Colleges,
27,Arun Muchhala International College of Hotel Management," Anand Nagar, Thane West",Hotel Management Degree Colleges,
28,ITM Institute of Hotel Management," Oshiwara, Andheri West",Hotel Management Degree Colleges,
29,ICE College,"Naupada East, Thane West",Hotel Management Degree Colleges,
30,I Nature Education Solution,Also Servicing in Mumbai,MBA Colleges,+912249410939_
31,The Little Flower's College,"The little flower colllege andheri, Andheri East, mumbai",MBA Colleges,+912249429322_
32,Sir M Visvesvarya Institute Of Management Studies,"Mumbai - 400031, Wadala West, Mumbai",MBA Colleges,+912249411017_
33,Swami Vivekananda Institute of Science & Technology,Also Servicing in Mumbai,MBA Colleges,+911140136102_
34,Sahyog College Of Management Studies,"Jambhali naka, Thane West, Mumbai",MBA Colleges,+912249428273_
35,Imarticus Learning Pvt.Ltd," Sahar Road, Andheri East",MBA Colleges,+912249431224_
36,Indian Institute Of Aviation & Management," Near Bhal Gaon, Kalyan East, Mumbai",MBA Colleges,+912249428735_
37,TIIFS Vashi," Sector 9, Vashi, Mumbai",MBA Colleges,
38,ISMT Business School,"mumbai - 400091, Borivali West, Mumbai",MBA Colleges,+912249430084_
39,Institute Of Business Studies & Research," undefined, C.B.D. Belapur, Mumbai",MBA Colleges,+912249410550_
40,AIMS Pharmacy Academy," Opposite Anupam Mall, Goregaon East, Mumbai",Pharmacy Colleges,+912249426550_
41,pahramacy,"Sakinaka mumbai , Dadar East",Pharmacy Colleges,
42,Sky Classes,"Naupada Village, Bandra East",Pharmacy Colleges,
43,Pharma Academy,"Goregaon West, Mumbai - ",Pharmacy Colleges,
44,Phoenix Pharma Academy,"Kandivali, Mumbai - 400101",Pharmacy Colleges,
45,oksaree customer care number.. 6289701803,"Wadala, Mumbai - -",Pharmacy Colleges,
46,Medical,"Thane, Mumbai - 400604",Pharmacy Colleges,
47,AIMS PHARMACY ACADEMY,"Goregaon East, Mumbai - 400063",Pharmacy Colleges,
48,Sandip Institute of Technology & Research Centre,"2nd Floor, Mulund West",Pharmacy Colleges,
49,My College Khoj,Also Servicing in Mumbai,Pharmacy Colleges,+912249430231_
50,Global Education Trust," Linking Road undefined undefined, Bandra West, Mumbai",Nursing Colleges,+912249412204_
51,Lalita Girdhar Hinduja College of Nursing," Kondivita Lane, Andheri East",Nursing Colleges,
52,Aarya Education Centre," Tank Road, Bhandup West",Nursing Colleges,
53,CEDP Skill Institute," 60 feet Road, Vasai West",Nursing Colleges,
54,IISDET," NAVI MUMBAI, Airoli",Nursing Colleges,
55,Dr. Minakshi - OM Institute," Kurla East, Kurla East, Mumbai",Nursing Colleges,
56,Pb bsc nursing course,"Churchgate, Mumbai - ",Nursing Colleges,
57,Thakur Institute Of Pharmacy,"karnataka, Bhayander East, Mumbai",Nursing Colleges,
58,St. Johns Paramedical College,"Bhavani Shankar Road, Dadar West",Nursing Colleges,
59,New Peggy's Nursery," Chembur East, Chembur",Nursing Colleges,
60,Columbus travel academy,Also Servicing in Mumbai,Aviation Colleges,
61,Indian Institute Of Aviation & Management," Near Bhal Gaon, Kalyan East, Mumbai",Aviation Colleges,+912249428735_
62,Kenpro Learning,Also Servicing in Mumbai,Aviation Colleges,+918048067154_
63,Costa Training Institute,"Palm Beach Road, Sanpada, Mumbai",Aviation Colleges,
64,TNC AVIATION MUMBAI," Mira-Road (E), Mira Road",Aviation Colleges,
65,Academy of Carver Aviation Pvt. Ltd.," Girgaum, Girgaon",Aviation Colleges,
66,FLYING JET STREAM AVIATION,"BUILDING NO.65 3RD SRIPRASTHA COMPLEX NALASOPARA WEST , Vasai, Mumbai",Aviation Colleges,
67,Fortune Fly Aviation," Sakinaka Mumbai – 400 072., Andheri East",Aviation Colleges,
68,Flyby Aviation LLP,"Info@flywithflyby.com, Chembur East",Aviation Colleges,
69,JETSKILL," Andheri East, Mumbai Central",Aviation Colleges,
