,NAME,LOCATION,COURSES,CONTACT NO.
0,Ganga Group of Institutions," Near Hans Satsang Bhawan, Punjabi Bagh, Delhi",Engineering Colleges,+911140130992_
1,Dev Bhoomi Group of Institutes,Also Servicing in Delhi,Engineering Colleges,+911140185798_
2,AR Group of Education,Also Servicing in Delhi,Engineering Colleges,+911140126577_
3,Swami Vivekananda Institute of Science & Technology,Also Servicing in Delhi,Engineering Colleges,+911140136102_
4,Mangalmay Group of Institutions,Also Servicing in Delhi,Engineering Colleges,+911140131069_
5,IITM Group Of Institutions," Sector 7, Rohini, Delhi",Engineering Colleges,+911140128577_
6,Ram Naresh Pal," Durga Najafgar, Delhi Cantt, Delhi",Engineering Colleges,+911140017579_
7,Applied Education Point," Sector 2, Rohini, Delhi",Engineering Colleges,+911140149252_
8,Royal Coaching Centre,Also Servicing in Delhi,Engineering Colleges,+911140139653_
9,SSR Consultants," Engineer Enclave, Pitampura, Delhi",Engineering Colleges,+911140016669_
10,AR Group of Education,Also Servicing in Delhi,"MBBS Colleges, Medical Colleges",+911140126577_
11,CareerMate,Also Servicing in Delhi,"MBBS Colleges, Medical Colleges",+911140147232_
12,AIIM Academy," Pocket-C, Mayur Vihar 2, Delhi","MBBS Colleges, Medical Colleges",
13,Admission Time(Infogenies group),Also Servicing in Delhi,"MBBS Colleges, Medical Colleges",
14,addmission counslants,"k-54a shyam nagar, Delhi Cantt, Delhi","MBBS Colleges, Medical Colleges",
15,Dream High Education Consultancy," 1st Floor, Patparganj","MBBS Colleges, Medical Colleges",
16,Adv," marg, Connaught Place, Delhi","MBBS Colleges, Medical Colleges",
17,Rajshree Consultant,"IP Extension, Patparganj, Delhi","MBBS Colleges, Medical Colleges",
18,MBBS in Russia 2020,"Bawana, Delhi - 110066","MBBS Colleges, Medical Colleges",
19,Medical,"Alipur, Delhi - 273015","MBBS Colleges, Medical Colleges",
20,UEI Global Education Pvt. Ltd.," Sector-3, Rohini",Hotel Management Degree Colleges,+911140016677_
21,The Global Institute of Hotel Management," Mahendru Enclave., Model Town",Hotel Management Degree Colleges,+911140148688_
