S.NO,NAME,ADDRESS,PHONE NO.,MOBILE NO.,EMAIL,WEBSITE
1,Dp career management academy srivilliputhur,"No.32, Tower Street, Near Andal Temple Tower, Srivilliputhur, Tamil Nadu, Pincode - 626125",+91 4563 263677,+91 9488402705,msu.dpcma@gmail.com,NIL
2,Insurance punditz jabalpur,Pincode - 482001,+91 761 4004478,+91 9770867475,anand.perfect@gmail.com,www.insurancepunditz.com
3,Intact lucknow,Pincode - 226010,+91 522 4000461,+91 9889647678,info.intactindia@gmail.com,www.intactlearning.com
4,Lotus learning academy auth st centre m s university tamilnadu cuttack,"Ruby Plaza,1st Floor,Link Road,Arunodaya Market, Beside N.M.Tutorial., Link Rd, Old LIC Colony, Cuttack, Odisha, Pincode - 753012",+91 671 3208594,+91 9338822611,lotus.learning.academy@gmail.com,NIL
5,Shri m d shah mahila college of arts and commerce mumbai,"BJ Patel Rd, Near Liberty Garden, Malad West, Mumbai, Maharashtra, Pincode - 400064",+91 22 28824860,+91 9899999999,mdshah.ignou.smd4064@gmail.com,NIL
6,Alltere life varsiry online manonmaniam sundaranar university coimbatore,Pincode - 641043,+91 0 8144121001,+91 8144121001,bell.pathfinder@gmail.com,www.msuonlinecourses.com
7,Cmc academy new delhi,"8,Vaishali Enclave,Main Metro Road,  Pitam Pura,(Opp. Metro Pillar No. 351), Pincode - 110026",+91 11 30783040,+91 9212517772,cmc.punjabibagh@gmail.com,www.cmcltd.com
8,Iifca bangalore,"Koramangala Industrial Layout, Koramangala, Bengaluru, Pincode - 560071",+91 80 41638548,+91 9900252243,lipi.iifca@gmail.com,www.iifca.com
9,Ecl academy new delhi,"Nandi Vithi Rd, Greater Kailash I, New Delhi, Delhi, Pincode - 110048",+91 11 46582579,+91 9891257001,info@educareer.in,www.eclonline.in
10,Dynamic institute of computer education and science technology jaipur,"D-56, Chhayadeep-2 Colony, Rup Nagar, Gopalpura, Jaipur, Rajasthan, Pincode - 302015",+91 141 2592018,+91 9783277847,arun_dci@yahoo.co.in,NIL
11,Mg techno savvy pvt ltd jaipur,"B-121, Mangal Marg, Bapu Nagar, Bapu Nagar, Jaipur, Rajasthan, Pincode - 302015",+91 141 4027763,+91 9252672449,mangal82@ymail.com,www.mgtechnosavvy.in
12,National career academy udaipur,"Nokha, Central Area, Udaipur, Rajasthan, Pincode - 313001",+91 294 242356,+91 9214534834,kumar.ias786@gmail.com,www.ncacademy.webs.com
13,Vidya guru new delhi,"20/1A, 2nd Floor, Jail Road, Near Tilak Nagar Metro Station (Gate No. 4), Opp. 588 Bus Stop, Prem Nagar, Pincode - 110018",+91 11 011,+91 9654899726,karansardana5216@gmail.com,NIL
14,Disha competitive classes kalyan dombivali,"Laxmi Villa , 3rd FloorOpp. Kailash Lassi, Nehru Road, Near Rly. Station, Dombivali (East), Thane, Maharashtra, Pincode - 421201",+91 251 2873015,+91 9322832513,dishacompetitive@yahoo.co.in,www.dishagovtjobs.com
15,Dr anushka law college udaipur rajasthan udaipur,"Airport Rd, Near Transport Nagar, Pratap Nagar, Udaipur, Rajasthan, Pincode - 313001",+91 294 5133351,+91 09772223458,info@anushkaacademy.com,www.anushkaacademy.com
16,Tara institute new delhi,"Plot No 3, 3rd Floor, Main Road, Opposite Rajkiya Inter College, Amaltash Marg, Chaura Raghunathpur, Raghunathpur, Pincode - 110062",+91 11 32029600,+91 9999265274,tarainstitute@ymail.com,www.tarainstitute.com
