,NAME,LOCATION,COURSES,CONTACT NO.
0,Aarupadai Veedu Institute Of Technology,Also Servicing in Hyderabad,Engineering Colleges,+914446294334_
1,Ganpat University,Also Servicing in Hyderabad,Engineering Colleges,
2,Academy of Aviation & Engineering,Also Servicing in Hyderabad,Engineering Colleges,+917306941475_
3,Lord's Institute of Engineering & Technology,"Himayat Sagar, Golconda",Engineering Colleges,
4,Nishitha College of Engineering & Technology," Kandukur, Shamshabad",Engineering Colleges,
5,Institute of Aeronautical Engineering,"Dundigal Village, Quthbullapur",Engineering Colleges,
6,Siddhartha Institute of Engineering & Technology,"Ibrahimpatnam, Vanasthalipuram",Engineering Colleges,
7,International School of Engineering," Ilabs Centre, Madhapur",Engineering Colleges,
8,Muffakham Jah College of Engineering And Technology,"Road No. 3, Banjara Hills",Engineering Colleges,
9,Kohinoor Technical Institute Pvt. Ltd.,"No. 3/4/660, Narayanaguda",Engineering Colleges,
10,Eduking,"Babu Jagjivanram Colony, Malkajgiri, Hyderabad","MBBS Colleges, Medical Colleges",
11,MEDICAL INSTITUTE FOR NATUROPATHY ACUPUNCTURE AND,"Kukatpally, Hyderabad - 500072","MBBS Colleges, Medical Colleges",
12,EDWISEINDIA,", Hyderabad - ","MBBS Colleges, Medical Colleges",
13,dissertationand journal services,"hyderabad, Secunderabad","MBBS Colleges, Medical Colleges",
14,Manadesham Educational Services,"Hyderabad, Ameerpet","MBBS Colleges, Medical Colleges",
15,Pharmacology tutions," A- 219 WESTERN PLAZA, Gachibowli","MBBS Colleges, Medical Colleges",
16,IRIS,"Kundanbagh Colony, Begumpet","MBBS Colleges, Medical Colleges",
17,Swayam edu consultants,"Kalyan nagar venture 3, Moti Nagar","MBBS Colleges, Medical Colleges",
18,MNR Educational Colleges & MNR Eudcational Trust,"Bhagyanagar Phase-III, Kukatpally","MBBS Colleges, Medical Colleges",
19,International School of Medicine,"No. 303, Ameerpet","MBBS Colleges, Medical Colleges",
20,Vainavi Educational Institutions," Opp. Moosapet Bus Stop, Moosapet",Hotel Management Degree Colleges,+918048104655_
21,Sun Educational Institutions," VST Cross Roads, Ram Nagar",Hotel Management Degree Colleges,+918048092927_
22,John Bauer College Of Hotel Management & Catering Technology," Secunderabad, Tarnaka",Hotel Management Degree Colleges,+918048045252_
23,Green Fields College of Catering & Hotel Management,"Srinagar Colony, Ameerpet",Hotel Management Degree Colleges,
24,Blooms College of Hotel Management & Catering Technology,"Om Nagar, Langar Houz",Hotel Management Degree Colleges,
25,Institute Of I .T & Manag...,"Masab Tank Road, Ramachandra Puram",Hotel Management Degree Colleges,
26,Institute of Hotel Management Shri Shakti,"Begumpet, Hyderabad - 500016",Hotel Management Degree Colleges,
27,Royal Hotel Management Services,"IAS Colony, Toli Chowki",Hotel Management Degree Colleges,
28,excel college of hotel management,"LB Nagar, Hyderabad - 500068",Hotel Management Degree Colleges,
29,greekwings," bhoiguda X Road, Bhoiguda",Hotel Management Degree Colleges,
30,Vishwa Vishwani School of Business,"Hyderabad., Hakimpet",MBA Colleges,+918043691876_
31,Sun Educational Institutions," VST Cross Roads, Ram Nagar, Hyderabad",MBA Colleges,+918048092927_
32,Hyderabad school of business,"Gouri Shankar Nagar Colony, Banjara Hills, Hyderabad",MBA Colleges,+918048121219_
33,Mba academy," India, Narayanaguda, Hyderabad",MBA Colleges,+919883035813_
34,Ganpat University,Also Servicing in Hyderabad,MBA Colleges,
35,Nishitha College of Engineering & Technology," Kandukur, Shamshabad",MBA Colleges,
36,Don Bosco Degree College,"Kalyan Nagar, Erragadda",MBA Colleges,
37,GBS School of Business Studies,"Road No. 3, Banjara Hills, Hyderabad",MBA Colleges,
