,NAME,LOCATION,COURSES,CONTACT NO.
0,Institute Of Engineering & Management,"Action Area 111, New Town, Kolkata",Engineering Colleges,+911140139566_
1,Aarupadai Veedu Institute Of Technology,Also Servicing in Kolkata,Engineering Colleges,+914446294334_
2,Indrasan Education Pvt. Ltd," 3RD FLOOR__Shayama Prasad Mukherjee Road, Kalighat",Engineering Colleges,+911140116653_
3,Dream Link Solution," Near Sengupta Hotel, Jadavpur, Kolkata",Engineering Colleges,+911141137645_
4,Swami Vivekananda Institute of Science & Technology,"Dakshin Gobindapur, Sonarpur, Kolkata",Engineering Colleges,+911140136102_
5,Bharat Technology," Beliaghata Main Road, Beleghata",Engineering Colleges,+911140166287_
6,Ganpat University,Also Servicing in Kolkata,Engineering Colleges,
7,Institute of Aeronautics & Engineering,Also Servicing in Kolkata,Engineering Colleges,+918099937201_
8,Vision & Voice Educare Society,"Priyanath Ghosh Road, Santoshpur",Engineering Colleges,
9,Confidence Institute of Technology,"Durgapur, Dhapa",Engineering Colleges,
10,East India College Of Allied Health Science," Ajay Nagar, Santoshpur, Kolkata","MBBS Colleges, Medical Colleges",+919883041964_
11,Apex Study Centre," Bara Bazar, Dalhousie, Kolkata","MBBS Colleges, Medical Colleges",+911140116039_
12,Vidyarthi Education,"Shakespeare Sarani, Elgin","MBBS Colleges, Medical Colleges",
13,Para medical,"Kalighat, Kolkata - 700026","MBBS Colleges, Medical Colleges",
14,Satish rock,"Kalighat, Kolkata - 700026","MBBS Colleges, Medical Colleges",
15,Future Guru Educational Consultancy," Saltlake, Salt Lake City","MBBS Colleges, Medical Colleges",
16,Fortune Education," Room 506, Park Street","MBBS Colleges, Medical Colleges",
17,EDUCATION WORLD NGO,"SA;ATLAKE CITY SECTOR-2, Salt Lake City","MBBS Colleges, Medical Colleges",
18,Eduguide,"P-21A old ballygunge road kolkata 19, Ballygunge","MBBS Colleges, Medical Colleges",
19,Shikhshabharati career foundation,"bd 78 salt lake, Salt Lake City","MBBS Colleges, Medical Colleges",
20,NIMAS,Also Servicing in Kolkata,Hotel Management Degree Colleges,
21,Indrasan Education Pvt. Ltd," 3RD FLOOR__Shayama Prasad Mukherjee Road, Kalighat",Hotel Management Degree Colleges,+911140116653_
22,IMS Group of Institutes," Kalikapur, Kalinagar",Hotel Management Degree Colleges,+911140137557_
23,Radiance Academy Of Management Studies," Feeder Road, Belgharia",Hotel Management Degree Colleges,+911140121602_
24,Indian Institute of Hotel Management," Swimming Pool, Salt Lake City",Hotel Management Degree Colleges,
25,Sikkim Manipal University,"Salt Lake City, Salt Lake City",Hotel Management Degree Colleges,
26,GNK Institute of Management Studies,"Sector 1, Salt Lake City",Hotel Management Degree Colleges,
27,Bengal Nalanda Group College,"Moulali, Taltala",Hotel Management Degree Colleges,
