,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Elite Academy,"84, Janmabhoomi Marg,","2nd Floor, Fort,",Mumbai - 400 001,Fax: 022 - 66 33 13 98. ,Website : www.elite-academy.com,,,,,,,,,,,,,,,,,,,,,,
2,Coaching Classes For IIT ,"Address: Maharashtra, Mumbai (MMR)",Mobile : 9870026176 ,Phone : 67704856,"Message: IITians FOUNDATION Coaching Center in Mumbai, Provide *IIT- JEE 2009; 2 Years International Coaching, *IIT- JEE 2008: 1 Year International Coaching, *AIEEE 2008: 1 Year International Coaching, *CET 2008: 1 Year International Coaching, *Target IIT: for 8th, 9th &amp; 10th Student, through Well Experienced &amp; Educated Professors. Excellent Coaching Faculty. Low Fee Cost. Contact for More detail.",,,,,,,,,,,,,,,,,,,,,,,
3,TUITION / COACHING FOR IIT,Contact : Quantum Tutorials,Mobile : 9833481242 ,"Address : 384, Powai Plaza, Opp. Pizza Hut,"," Hiranadani Gardens, Powai, Mumbai - 76",Message: QUANTUM TUTORIALS (TUITION FOR IIT JEE/ MHT-CET/ AIEEE BY EX-IITIANS) Emphasis on fundamental concepts and problem solving. Small batch size of maximum 10 students. ,Timings: Monday to Saturday 7:00 PM ? 9:00 PM ,Sunday 11:00 am to 3:00pm ,Admission in progress,,,,,,,,,,,,,,,,,,,
4,N. M. Tutors,Mobile : 9969158541 ,Address: Maharashtra - Mumbai (MMR),"Message: We Provide Excellent Coaching for IIT, MH-CET, XIth, XIIth Science HSC, IB, CBSE, ICSE. Admission Open.",,,,,,,,,,,,,,,,,,,,,,,,
5,Excellent Coaching,Contact : N. M. Tutors,Mobile : 9969158541 ,Address: Maharashtra - Mumbai (MMR),"Message: N.M Tutors Trusted name for I.I.T, MH - CET, XIth, XIIth Science, Home Science, IB, CBSE, ICSE, Immediately call for start Coaching.","<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/engineering-coaching/mumbai-engineering.html"" target=""_blank"" title=""IIT Coaching Institutes In Mumbai""><font color=""#FF0000"">More IIT Coaching Institutes In Mumbai</font></a></div>",,,,"<div class=""pull-left mode2""><script async="""" src=""//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js""></script><!-- Responsive coaching --><ins class=""adsbygoogle"" data-ad-client=""ca-pub-6233003600462508"" data-ad-format=""auto"" data-ad-slot=""6164471508"" style=""display:block""></ins><script>(adsbygoogle = window.adsbygoogle || []).push({});</script></div><a name=""MBA""></a><h2 title=""MBA Coaching Mumbai"">MBA Coaching in Mumbai</h2>",,,,,,,,,,,,,,,,,,
6, Career Forum ,"No.3, 1st Floor, Alankar Building, Opp. Dena Bank, S.V. Road, Andheri (W), Mumbai-400 058","2 (2), Pankaj Mahal, 111, Bbr, Opp. K.C. College, Churchgate Reclamation, Mumbai-400020","Dwarka Blgd., Opp. Punjab National Bank, Shivaji Path, Thane (W), Mumbai-400601","Vikas A, Opp. Vaishali, Lane Behind The British Library, Next To Theosophical Society, Off F.C. Road, Pune-411004","Corporate Office: Career Forum Ltd., 110-111/10, Baner Road, Off N.H -4,","Near Sadanand Resorts, Pune-411 045","26207213, 26204509,22833533, 22839675",E-mail : Careerforum@cflogic.Com,"25306898, 25390386,020-25654129,020-30616677/88/99",,,,,,,,,,,,,,,,,,
7,Career Launcher,"Borivali: 28012126, 28655161","Dadar: 24164997, 24181217","Thane: 2537001, 25370002","Vt: 22063279, 22066248",Vasai: 95250-2341576,"Vile Parle: 26133344, 26123297","Vashi: 30974802, 9820579604",Dombivli: 95251-5613438,"<a href=""https://www.careerlauncher.com"" rel=""nofollow"">Www.Careerlauncher.Com</a>",,,,,,,,,,,,,,,,,,
8,IMS,"1st Floor, Ramakant Building, Tilak Road, Santacruz (W), Mumbai","1/45, Ac Market, Tardeo, Mumbai","67, Jayant Building, Near Sion Cirle, Sion (W), Mumbai","3rd Floor, Siddarth Arcade, L.T. Road, Borivali (W), Mumbai","2nd Floor, Manjula Arcade, Gokhale Road, Thane (W), Mumbai","205, Arenja Corner, Sector 17, Opp. St. Lawrence School, Vashi, Mumbai","3rd Floor, Everest Shopping Complex, Near Station, Dombivli (E), Mumbai","17/18, 2nd Floor, Sagar Arcade, F.C. Road, Deccan, Pune","117, Arora Towers, East Wing, M.G. Road, Camp, Pune",,"PH : 26007242, 26056726, 26465778,24942855,"," 24953439/4637,24020224/0568,28332074/75,25397070/9168,","27896984, 55913554,2802760/61",Mumbai@imsindia.Com,"<a href=""https://www.imsindia.Com "" rel=""nofollow"">Www.Imsindia.Com </a>","4003455/8726, 4028517/18,4023604/06,Pune@imsindia.Com",,,,,,,,,,,
9,Kits,"511, Paradise Towers, Opp. Alok Restaurant, Thane (W), Mumbai.","1, Nand-ashish Apts., 60 Ft. Road, Opp. Pravin Classes, Ghatkopar (E), Mumbai.","10, Church Avenue, Near Khar Subway, Santacruz (W), Mumbai.","A-402, Rizvi Palace, Opp. Independence Cafe, Hill Road, Bandra (W), Mumbai.","27, 4th Floor, Tardeo A/C Market Building, Tardeo"," Classes At : Vile Parle, Dadar, Thane","5370001, 5330001,5090130,6493175, 6041909,6400730, 6559061,4911222",,,,,,,,,,,,,,,,,,,,
10,Time ,Andheri (E) : 26833059,Dadar (W) : 56624122,Thane (W) : 25376896,Vashi : 55911087,,,,,,,,,,,,,,,,,,,,,,,
11,"Vidyasagar Classes54, Mahalaxmi Niwas, Hindu Colony, 1 Lane, Dadar (E), Mumbai-400014.","24143243, 24143244, Thane: 25401033, Andheri : 26254289, Vashi : 55912005, Pune : 5539534",E-mail : Vsagar3@vsnl.Com,"<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/mba-coaching/mumbai.html"" target=""_blank"" title=""MBA Coaching Institutes In Mumbai""><font color=""#FF0000"">More MBA Coaching Institutes In Mumbai</font></a></div>",,,,"<a name=""TOEFL""></a><h2 title=""TOEFL Coaching Mumbai"">TOEFL Coaching in Mumbai</h2>",,,,,,,,,,,,,,,,,,,,
12,Edstar TOEFL Prep,"D-WING, Central Bombay Infotec Park","101, Sane Guruji Marg","Jacob Circle, Mahalaxmi",Mumbai - 400011,Tel: 022 - 23015639 / 23015602 / 23015591,,,,,,,,,,,,,,,,,,,,,,
13,Center for American Education (CAE),"F-34, Dhanraj Mahal",Next to Honkong Restaurant ,Near Regal Cinema ,Appollo Bunder ,Mumbai - 400 039,"India<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/study-abroad-exams/toefl-exam/tofel-coaching.html"" target=""_blank"" title=""TOEFL Coaching Institutes In Mumbai""><font color=""#FF0000"">More TOEFL Coaching Institutes In Mumbai</font></a></div>",,,,"<a name=""GMAT""></a><h2 title=""GMAT Coaching Mumbai"">GMAT Coaching in Mumbai</h2>",,,,,,,,,,,,,,,,,
14,1. Edstar GMAT Prep class,"D-WING, Central Bombay Infotec Park,","101, Sane Guruji Marg,","Jacob Circle, Mahalaxmi,",Mumbai - 400011,Tel: 022 - 23015639 / 23015602 / 23015591,,,,,,,,,,,,,,,,,,,,,,
15,"2. Center for American Education (CAE)F-34 , Dhanraj Mahal,","Next to Honkong Restaurant,"," Near Regal Cinema, ","Appollo Bunder, ",Mumbai - 400 039. ,India,"Tel. 91-22-56372944<div align=""right""><a class=""links"" href=""https://www.coachingindians.com/management/gmat-exam-coaching.html"" target=""_blank"" title=""GMAT Coaching Institutes In Mumbai""><font color=""#FF0000"">More GMAT Coaching Institutes In Mumbai</font></a></div>",,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AGG Group of Institutes,Web Sitehttp://www.aakashinstitute.com,"Aakash Tower, Plot No. 4,Sector-11 MLU, Dwarka",NEW delhi,Tel: 11-45543147 / 4,E-Mailashish@i2k2.in,,,,,,,,,,,,,,,,,,,,,,
18,"Shar Study Circle,","28, Jia Sarai, ","Near IIT, New Delhi-110016. ","Phone : 011-26529998, 26528213.",Website - www.sharstudycircle.com,,,,,,,,,,,,,,,,,,,,,,,
19, Narayan IIT Academy ,"2 Years Classroom Program for Xth Class Students (01-Nov-2007) Delhi &amp; NCR ? Delhi . Two-Year Classroom Programme (X Board appeared) IIT-JEE app. year: 2009 Fee Details Lumpsum: Rs.78,000 + S.T. * Two-Year Classroom Programme(X Board appeared/XI studying) Course commenceme...",,,,,,,,,,,,,,,,,,,,,,,,,,
