,NAME,LOCATION,COURSES,CONTACT NO.
0,Ganpat University,Also Servicing in Pune,Engineering Colleges,
1,AISSMS College of Engineering,"Kennedy Road, Pune",Engineering Colleges,
2,Parvatibai Genba Moze College of Engineering,"Haveli, Wagholi",Engineering Colleges,
3,MES College of Engineering,"Bund Garden Road, Sangamwadi",Engineering Colleges,
4,Shastri Group of Institute," NDA Road, Warje Malwadi",Engineering Colleges,
5,Hindustan Aerospace & Engineering,"No. 528/2, Aundh",Engineering Colleges,
6,Dr. Bhanuben Nanavati College Of Architecture,"Hingne Cummins College Campus, Karve Nagar",Engineering Colleges,
7,Purandar College of Engineering & Management Research,Also Servicing in Pune,Engineering Colleges,
8,Vishwakarma Institutes,"City Post Office Road , Budhwar peth",Engineering Colleges,
9,NBN Sinhgad School of Engineering,"Off Sinhgad Road, Ambegaon Budruk",Engineering Colleges,
10,Davao Medical School Foundation," Subhash Nagar, Shukrawar Peth","MBBS Colleges, Medical Colleges",
11,BCM Educational Consultant," viman nagar, Viman Nagar","MBBS Colleges, Medical Colleges",
12,MBBS College,"Anand Nagar Main Road, Anand Nagar","MBBS Colleges, Medical Colleges",
13,Excel Educational Services,Also Servicing in Pune,"MBBS Colleges, Medical Colleges",
14,BJ Medical College,"Jayaprakash Narayanan Road, Camp","MBBS Colleges, Medical Colleges",
15,AIIM Academy," Delhi-110091, Pune, Pune","MBBS Colleges, Medical Colleges",
16,Numen PTE LTD,Also Servicing in Pune,"MBBS Colleges, Medical Colleges",+912249470322_
17,Softamo Education Services Pvt. Ltd.,Also Servicing in Pune,"MBBS Colleges, Medical Colleges",+912249427852_
18,IIRMA Education Consultancy Pvt.Ltd,Also Servicing in Pune,"MBBS Colleges, Medical Colleges",
19,GYAN JYOTI EEDUCATION TRUST NIGDI,"Pune, New Sangvi","MBBS Colleges, Medical Colleges",
20,UEI Global Education Pvt. Ltd.,"Plot No. 825-C, Shivaji Nagar",Hotel Management Degree Colleges,+919021102791_
21,ICE College of Management,Also Servicing in Pune,Hotel Management Degree Colleges,+912249410955_
22,Ajeenkya D Y Patil University," Taluka Haveli, Lohegaon",Hotel Management Degree Colleges,+912249428558_
23,International Institute of Hotel Management,"Viman Nagar, Pune",Hotel Management Degree Colleges,
24,Hotel management,"Chakan, Pune - 410501",Hotel Management Degree Colleges,
25,Ice hospitality,"Pune satara road balajinager opposite elora park hotel, Katraj",Hotel Management Degree Colleges,
26,IICCM | International Institute of Culinary and Cruise Ship Management," Near Columbia Asia Hospital, Kharadi",Hotel Management Degree Colleges,
27,Sai Restaurant,"Sainath Nagar, Vadgaon Sheri",Hotel Management Degree Colleges,
28,Saraswati Institute Pune,"No. 554, Wagholi",Hotel Management Degree Colleges,
29,Metropolitan Group of Institutes,"Manjari Phata, Hadapsar",Hotel Management Degree Colleges,
30,Sputnik Education Services,Also Servicing in Pune,MBA Colleges,+911140142431_
31,I Nature Education Solution,"Charholi Bk, Lohegaon, Pune",MBA Colleges,+912249410939_
32,Institute Of Business Studies & Research,Also Servicing in Pune,MBA Colleges,+912249410550_
33,Ganpat University,Also Servicing in Pune,MBA Colleges,
34,Dhole Patil Education Society,"No. 1284, Kharadi",MBA Colleges,
35,Pune Institute of Business Management," Paud Road, Pirangut",MBA Colleges,
36,Poona School of Business,"Katraj Dehu Road, Ambegaon Budruk",MBA Colleges,
37,Indian School of Business Management & Administration,"MG Road, Camp",MBA Colleges,
